pi1,pi2
0.01,
0.02,
0.021,
0.022,
0.023,
0.024,
0.025,
0.026,
0.027,
0.028,0.00019355482319012137
0.029,0.0010647097847076242
0.03,0.001936120582209818
0.04,0.010663438595753963
0.05,0.019412363531023578
0.06,0.028179994263993136
0.07,0.03696398200105785
0.08,0.04576239618429891
0.09,0.05457362927240877
0.1,0.06339632749274665
0.11,0.07222933946452868
0.12,0.08107167731236331
0.13,0.08992248681979999
0.14,0.09878102416660145
0.15,0.10764663755698688
0.16,0.11651875256112394
0.17,0.125396860294681
0.18,0.13428050777734613
0.19,0.14316929003452109
0.2,0.15206284353160554
0.21,0.16096084072837996
0.22,0.16986298548696674
0.23,0.17876900919290778
0.24,0.18767866746690495
0.25,0.19659173735557245
0.26,0.205508014918366
0.27,0.21442731313505325
0.28,0.22334946010851633
0.29,0.23227429750165754
0.3,0.24120167914718227
0.31,0.25013146986627466
0.32,0.25906354439532064
0.33,0.2679977864602978
0.34,0.2769340879484064
0.35,0.2858723481805479
0.36,0.29481247324502763
0.37,0.3037543754285032
0.38,0.3126979726829471
0.39,0.321643188164643
0.4,0.3305899498055944
0.41,0.3395381899425606
0.42,0.3484878449640996
0.43,0.3574388550116358
0.44,0.36639116369133173
0.45,0.37534471781117157
0.46,0.38429946716846664
0.47,0.3932553643121496
0.48,0.40221236436989855
0.49,0.41117042486085287
0.5,0.42012950553354195
0.51,0.4290895682182196
0.52,0.43805057669000275
0.53,0.44701249655001907
0.54,0.45597529508854656
0.55,0.46493894120577733
0.56,0.4739034052893645
0.57,0.4828686591315845
0.58,0.49183467585370366
0.59,0.5008014298123374
0.6,0.5097688965382215
0.61,0.5187370526605803
0.62,0.5277058758494997
0.63,0.5366753447510991
0.64,0.5456454389407106
0.65,0.5546161388760575
0.66,0.5635874258252245
0.67,0.5725592818558485
0.68,0.5815316897702951
0.69,0.5905046330696392
0.7,0.5994780959320558
0.71,0.6084520631587977
0.72,0.6174265201561853
0.73,0.6264014528995921
0.74,0.6353768479118344
0.75,0.6443526922199528
0.76,0.6533289733516098
0.77,0.6623056793026757
0.78,0.6712827985048146
0.79,0.6802603198254839
0.8,0.6892382325319186
0.81,0.6982165262731233
0.82,0.7071951910726682
0.83,0.7161742173034797
0.84,0.7251535956770334
0.85,0.7341333172289496
0.86,0.7431133732937811
0.87,0.7520937555086149
0.88,0.7610744557878614
0.89,0.7700554663160503
0.9,0.7790367795370274
0.91,0.7880183881431477
0.92,0.7970002850644732
0.93,0.8059824634507614
0.94,0.8149649166858759
0.95,0.8239476383481652
0.96,0.8329306222212692
0.97,0.8419138622941197
0.98,0.850897352721321
0.99,0.8598810878519644
