pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
0.05,0.05,0.637260434891277,0.1380937265683571,0.2246458385403658,0.0155638413224634,0.0116132451594812,0.0141347369378748,-0.0515416145963484,0.0373612272568373
0.05,0.1,0.6049777555611116,0.1426605848537856,0.2523616595851031,0.0170238437217108,0.01266265250877,0.0169868013364815,-0.032959510122468,0.0423121063540216
0.05,0.15,0.5668155461134738,0.1431269682579345,0.2900574856285919,0.0175908063561035,0.0128822503869177,0.0175772209002548,0.0038035491127227,0.0433417216740903
0.05,0.2,0.5285288677830531,0.1449942514371396,0.3264768807798044,0.0175954604640732,0.0137705743143038,0.0186744217545827,0.036488377905525,0.0462155703831904
0.05,0.25,0.4852276930767323,0.1392624343914012,0.3755098725318666,0.0186967348192611,0.0143669102792582,0.0206773297359391,0.0969850037490641,0.0494111502944556
0.05,0.3,0.44635616095976,0.1336590852286925,0.4199847538115467,0.0185065898441092,0.014881305321207,0.0210876863950417,0.1526665833541616,0.0508502970374558
0.05,0.35,0.408061484628842,0.1229815046238445,0.4689570107473142,0.0184667327563738,0.0152541521506618,0.0224971365169466,0.2229940014996251,0.0530054408182704
0.05,0.4,0.3727688077980496,0.1067200699825048,0.5205111222194443,0.01749915103093,0.0139123369566405,0.0214745300010339,0.3070709822544346,0.049299203914315
0.05,0.45,0.3424696325918541,0.0966920769807555,0.5608382904273925,0.0169912518694173,0.0144149977353475,0.0221249088919396,0.3674541364658815,0.0509549043626346
0.05,0.5,0.3152479380154964,0.0840002499375159,0.6007518120469885,0.0169199441893924,0.0142990996198192,0.0221114367995539,0.4327513121719566,0.0507096360391923
0.05,0.55,0.2927255686078479,0.0734743814046489,0.633800049987501,0.0164477861301408,0.013541580632389,0.0208296905881365,0.4868512871782031,0.0479128518529145
0.05,0.6,0.2714688827793048,0.0635263684078979,0.6650047488127961,0.0154380404837047,0.0129936664199617,0.0200509906848299,0.5379520119970002,0.0460383235247534
0.05,0.65,0.2526945763559112,0.0515916020994751,0.6957138215446149,0.0153067041872745,0.0118219782379107,0.0194922505477727,0.5925306173456646,0.0431362070235943
0.05,0.7,0.2363661584603865,0.0424068982754314,0.7212269432641862,0.0144147023716718,0.0107276461724788,0.0182255996850317,0.6364131467133234,0.0396808920299893
0.05,0.75,0.2223146713321685,0.0329502624343919,0.7447350662334431,0.0141286130670424,0.0090008763771151,0.0165475615288737,0.6788345413646593,0.0345493142831041
0.05,0.8,0.2104341414646347,0.0262209447638095,0.7633449137715553,0.0132282169648437,0.0083191148091126,0.0154330653063094,0.7109030242439364,0.0320712949245347
0.05,0.85,0.1985266183454137,0.0195353661584607,0.7819380154961241,0.0132551632878117,0.0073971150742801,0.014982795365377,0.7428672831792027,0.0297770255139374
0.05,0.9,0.1880769807548112,0.0116213446638342,0.8003016745813522,0.0127930869019904,0.0057748449582155,0.0138950070059384,0.7770589852536837,0.0254446969223695
0.05,0.95,0.1785391152211943,0.0058545363659085,0.8156063484128973,0.0123807928710955,0.0041704718007965,0.0130538978733395,0.8038972756810802,0.0213948414749326
0.1,0.05,0.4812831792051987,0.2012044488877787,0.3175123719070223,0.0164510953887614,0.0132500071774488,0.0151972007092638,-0.084896525868535,0.0416972150641616
0.1,0.1,0.4588430392401914,0.2012471882029494,0.3399097725568608,0.0161449483480347,0.0140756929746573,0.0161832508159904,-0.062584603849038,0.0443346367653051
0.1,0.15,0.4371259685078726,0.2012151962009496,0.3616588352911773,0.0165912364809862,0.0150372181276241,0.0181384350907985,-0.0407715571107218,0.0482128713460467
0.1,0.2,0.4153509122719306,0.197853036740815,0.3867960509872523,0.0165906247559443,0.0157509808075845,0.0188109647387208,-0.0089100224943777,0.0503129263538899
0.1,0.25,0.3926560859785039,0.1926500874781309,0.4146938265433622,0.016223291699794,0.0146817584306971,0.0183252008005071,0.0293936515871003,0.0476887176619013
0.1,0.3,0.3701907023244205,0.1841767058235441,0.4456325918520376,0.0161569760020746,0.0164479335250872,0.02096940574994,0.0772791802049493,0.0538652728001144
0.1,0.35,0.3493171707073239,0.1751659585103715,0.475516870782306,0.0164311328761318,0.0169620738969996,0.0223398361185919,0.1251849537615629,0.0562639839125912
0.1,0.4,0.3296885778555359,0.1662851787053233,0.5040262434391386,0.0164056237919196,0.0169032956187338,0.0219804699929215,0.1714558860284918,0.0557870612303893
0.1,0.45,0.3095251187203192,0.1501387153211695,0.5403361659585092,0.0156824880485257,0.0165140093026856,0.0211658501883683,0.2400587353161701,0.0541938687937396
0.1,0.5,0.2901152211947009,0.1371609597600597,0.5727238190452388,0.0155375181659527,0.0169114335725458,0.0225699790653702,0.2984018995251193,0.0563928462104619
0.1,0.55,0.2736663334166453,0.122104223944014,0.6042294426393414,0.0154074458875507,0.0148159334722398,0.0201400929221855,0.3600209947513133,0.0497719598666651
0.1,0.6,0.2572749312671825,0.1085798550362413,0.6341452136965755,0.0149008521199802,0.0153450703510599,0.0209774797750009,0.4169855036240928,0.0516676204771208
0.1,0.65,0.2429737565608598,0.0930262434391405,0.6639999999999989,0.0141889767463944,0.0159191256389828,0.020817504653536,0.4779475131217178,0.0526557559315017
0.1,0.7,0.2296755811047254,0.0766693326668333,0.6936550862284432,0.0141509266858563,0.0127701950564412,0.0183178193229656,0.5403164208947765,0.0438582094358481
0.1,0.75,0.2171687078230449,0.0630799800049988,0.7197513121719603,0.0134704595524748,0.0123734838101319,0.0182119435783985,0.5935913521619627,0.0429589111986625
0.1,0.8,0.2063286678330424,0.0493224193951513,0.7443489127718086,0.0133411468940975,0.012057612522596,0.0180138343903411,0.6457040739815059,0.0421290594355333
0.1,0.85,0.1963254186453391,0.0355766058485381,0.768097975506121,0.0131463902357621,0.0093416375746897,0.0159486174447943,0.6969447638090447,0.0346318925941738
