pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m
0.3,0.7,0.0421089727568111,0.1172146963259193,0.8406763309172726,0.0063731171313186,0.0153417777315411,0.0165372446959723,0.606246938265434,0.0472208001590545,0.7610144963759089
0.3,0.75,0.0405763559110224,0.094233191702075,0.8651904523869053,0.0062289429935821,0.0122209393270522,0.0136480115335639,0.6767240689827553,0.0380898901876684,0.7977856785803579
0.3,0.8,0.0391622094476384,0.0744651337165708,0.8863726568357913,0.0060147677858019,0.013041734797885,0.0142773366621529,0.7374423894026496,0.0403608062579231,0.8295589852536869
0.3,0.85,0.0377948012996754,0.0580262434391402,0.9041789552611867,0.0060425270348388,0.010211222312227,0.0117361393570563,0.7881264683829062,0.0321585839815104,0.8562684328917802
0.3,0.9,0.0365993501624597,0.0390489877530619,0.9243516620844776,0.0060996056903381,0.0091666024022044,0.0110287149234071,0.8462536865783536,0.029361919727816,0.8865274931267164
0.3,0.95,0.0352484378905278,0.0186013496625846,0.9461502124468912,0.0058853430812658,0.006407401047067,0.0087295865068085,0.9089475131217218,0.0215443886009426,0.9192253186703369
0.35,0.05,0.0571564608847791,0.3183729067733074,0.6244706323419159,0.007279870457057,0.0141486185111323,0.0146522421432708,-0.0122751812046988,0.0429494791655355,0.4367059485128739
0.35,0.1,0.0560102474381406,0.30978480379905,0.6342049487628078,0.0072042449266914,0.0153243084352197,0.015899008947215,0.0146353411647077,0.0465476258176545,0.4513074231442116
0.35,0.15,0.0548837790552365,0.3008837790552358,0.6442324418895273,0.0072121937935119,0.0151785453622925,0.0160239650917207,0.0424648837790556,0.0463810558163058,0.466348662834291
0.35,0.2,0.0538050487378156,0.2906400899775049,0.6555548612846762,0.0071988182713466,0.0158677481827732,0.0166594433276446,0.0742746813296663,0.048394939693191,0.4833322919270143
0.35,0.25,0.0526370907273186,0.2790644838790294,0.6682984253936484,0.0070441297499418,0.0174708568991278,0.0184073469033426,0.1101694576355896,0.0533490607015982,0.5024476380904725
0.35,0.3,0.051048237940515,0.2627123219195201,0.6862394401399644,0.0068622097402636,0.0162664523062756,0.0168489511271912,0.1608147963009241,0.0493818557397426,0.5293591602099466
