pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2
0.3,0.7,0.1322307923,0.237363984,0.6304052237,0.0153704671,0.0327800793,0.0351511593,0.1556772557,0.09839467,0.4456078355,0.052726739,0.389463924,0.0830267199
0.3,0.75,0.1289540115,0.2102447888,0.6608011997,0.0152131087,0.0335658457,0.0362467193,0.2403116221,0.1011859309,0.4912017996,0.054370079,0.461258944,0.0856144228
0.3,0.8,0.1258274181,0.1789736316,0.6951989503,0.0150083992,0.0323347703,0.0351978385,0.3372516871,0.0976697683,0.5427984254,0.0527967578,0.5425061193,0.0831369758
0.3,0.85,0.1221834291,0.1405184204,0.7372981505,0.014856309,0.0305055786,0.0337365439,0.4562613097,0.0925018124,0.6059472257,0.0506048159,0.6419440489,0.0796854112
0.3,0.9,0.1186743314,0.0982486878,0.7830769808,0.014712989,0.0270205276,0.0307138859,0.5865796051,0.0823270171,0.6746154711,0.0460708288,0.7500732314,0.0725459203
0.3,0.95,0.1150682329,0.0532033242,0.8317284429,0.0143054756,0.0211621417,0.0255835232,0.7253217946,0.0651250655,0.7475926643,0.0383752848,0.8649875443,0.0604280501
0.35,0.05,0.1500807548,0.3690829043,0.4808363409,0.0160687609,0.0222820433,0.0229552483,-0.2573294676,0.0635873953,0.2213471882,0.034203246,0.0086576069,0.055768579
0.35,0.1,0.1486144464,0.3654630592,0.4859224944,0.0159382544,0.0223128305,0.0232369803,-0.2450036241,0.0640233574,0.2289322919,0.0347308808,0.0210141516,0.0564530322
0.35,0.15,0.147131942,0.3618354911,0.4910325669,0.0158712244,0.0234454432,0.0244735888,-0.2326384154,0.0677584753,0.2365974756,0.0365788235,0.0334288063,0.0594573082
0.35,0.2,0.1455026743,0.3582132967,0.496284029,0.0158500063,0.0237367149,0.024789951,-0.2201425644,0.0687151325,0.2444482754,0.0371225149,0.0461869598,0.0602258937
0.35,0.25,0.1439773807,0.3530610597,0.5029615596,0.0157223739,0.0244238467,0.0254911675,-0.2031605599,0.0709518042,0.254452162,0.0382075774,0.0624096723,0.0619294626
0.35,0.3,0.1423649338,0.3478783304,0.5097567358,0.0157494993,0.0252873591,0.0265352789,-0.185999925,0.0738442469,0.2646453387,0.0397718636,0.0789181987,0.0644660768
0.35,0.35,0.1407642339,0.341843939,0.517391827,0.0157649078,0.0262620927,0.0275795599,-0.166296051,0.0769611384,0.2760903274,0.041360779,0.0974672548,0.0670031031
0.35,0.4,0.139179955,0.3349651587,0.5258548863,0.0155968953,0.0266431337,0.0280580118,-0.1440754311,0.0783222141,0.288788103,0.0420677081,0.118027816,0.0681654769
0.35,0.45,0.1376406148,0.3258654836,0.5364939015,0.0155494731,0.0276422137,0.0292146278,-0.1152370657,0.0816177865,0.3047427643,0.043814852,0.143874749,0.0709754152
0.35,0.5,0.1358356911,0.317447838,0.5467164709,0.0154590702,0.0291741848,0.0309021456,-0.0881792052,0.0865659313,0.3200754186,0.0463504879,0.1687099483,0.0750751519
0.35,0.55,0.1340091227,0.3052874281,0.5607034491,0.0153791039,0.0304012295,0.0322543997,-0.0498714071,0.0905174776,0.3410553612,0.0483808457,0.2026905828,0.0783603826
0.35,0.6,0.1322174706,0.2910205949,0.5767619345,0.0153034603,0.0310621508,0.0329395827,-0.0052792552,0.0926056143,0.3651429018,0.049409374,0.2417038359,0.0800249989
0.35,0.65,0.1301504124,0.2737270432,0.5961225444,0.0152484439,0.0322861631,0.0343697077,0.0486684579,0.096608376,0.3941838165,0.0515545616,0.2887394282,0.0834994132
0.35,0.7,0.128132167,0.251884179,0.6199836541,0.0151227429,0.0324144737,0.0345167565,0.1162152962,0.0970619049,0.4299754811,0.0517751348,0.3467087504,0.0838566606
0.35,0.75,0.1258788303,0.2254884529,0.6486327168,0.0150324955,0.0333938904,0.0358479727,0.197655811,0.1004698517,0.4729490752,0.0537719591,0.4163101548,0.087090781
0.35,0.8,0.123372107,0.1951904524,0.6814374406,0.0149054993,0.0324650269,0.0351097803,0.2910565359,0.0978652648,0.522156161,0.0526646705,0.4960075212,0.085297381
0.35,0.85,0.1206566858,0.1564864784,0.7228568358,0.0146930352,0.0313664059,0.0343212727,0.409883879,0.0948956649,0.5842852537,0.0514819091,0.5966337824,0.0833817429
0.35,0.9,0.1178093977,0.1119913022,0.7701993002,0.0145208969,0.0289358187,0.0322312357,0.5462166958,0.0878551899,0.6552989503,0.0483468536,0.7116498316,0.0783041069
0.35,0.95,0.1145963509,0.0595235191,0.82588013,0.0143576266,0.0217895414,0.0262302253,0.7068330917,0.0670857359,0.738820195,0.039345338,0.8469235049,0.0637249651
0.4,0.05,0.1346596851,0.3754946763,0.4898456386,0.0152069489,0.0220518914,0.0227708309,-0.2611437141,0.0633304437,0.23481982,0.0340241975,0.008347735,0.0565872145
0.4,0.1,0.1341088728,0.3722752562,0.493615871,0.0152406848,0.0227188386,0.0235053107,-0.2509346413,0.0654966848,0.240477868,0.0351144154,0.0177170441,0.0584124518
0.4,0.15,0.1333091477,0.3688512372,0.4978396151,0.0153149638,0.0233537955,0.0241427795,-0.2398628593,0.0674679461,0.2468043364,0.0360911721,0.0282133634,0.0599966093
0.4,0.2,0.1327405649,0.3652642339,0.5019952012,0.0152340608,0.0239750852,0.0247650046,-0.2285332667,0.0694592788,0.2530132717,0.0370890698,0.038540305,0.061542885
0.4,0.25,0.1322124719,0.3602035241,0.507584004,0.0152075993,0.0242785019,0.0252030713,-0.2128230442,0.0705671042,0.2613879655,0.0377696759,0.0524288972,0.0626315137
0.4,0.3,0.1315522119,0.3555101225,0.5129376656,0.0152045632,0.0252597753,0.0263642105,-0.1980825794,0.0738322069,0.2694207073,0.0395036801,0.0657331459,0.0655170312
0.4,0.35,0.1306562359,0.3494501125,0.5198936516,0.0151235269,0.0258051763,0.0269225506,-0.1790065734,0.0755808957,0.2798442639,0.040371884,0.0830192903,0.066904548
0.4,0.4,0.1299571357,0.3431475131,0.5268953512,0.0151262623,0.0261693308,0.0273350452,-0.1593996751,0.0767659411,0.2903437766,0.0409999619,0.1004190365,0.0679296278
0.4,0.45,0.1292170957,0.3348683829,0.5359145214,0.0151175551,0.0276196291,0.0290603487,-0.1338222444,0.0815689532,0.3038724194,0.043588333,0.1228323477,0.0722171358
0.4,0.5,0.1284163959,0.3266060235,0.5449775806,0.0150587443,0.0286669905,0.0301669179,-0.1082344664,0.0848962621,0.3174663709,0.0452503769,0.1453547264,0.0749670429
0.4,0.55,0.1275102224,0.3139090227,0.5585807548,0.0149538876,0.0286490354,0.0302043037,-0.0692372907,0.084936834,0.3378711322,0.0453064556,0.1791596298,0.0750599495
0.4,0.6,0.1264050737,0.3006781555,0.5729167708,0.0149550564,0.0299038372,0.0316373164,-0.0284395401,0.0889993755,0.3593751562,0.0474559747,0.2147856997,0.078621093
0.4,0.65,0.1252882029,0.2845364159,0.5901753812,0.0149617581,0.031326247,0.033224094,0.0211025494,0.0935511378,0.3852630717,0.049836141,0.2576746347,0.0825643538
0.4,0.7,0.1241915771,0.2673325169,0.608475906,0.0148571584,0.0326536199,0.0346708132,0.0738108723,0.0977869056,0.412713859,0.0520062199,0.3031528052,0.086159559
0.4,0.75,0.1226714571,0.2408073732,0.6365211697,0.0147901013,0.033663249,0.0359207494,0.1549064234,0.101156772,0.4547817546,0.0538811241,0.3728473789,0.0892657438
0.4,0.8,0.1210371407,0.2109416396,0.6680212197,0.0147134683,0.0327527,0.0352369308,0.2461379405,0.0986325895,0.5020318295,0.0528553961,0.4511273546,0.0875664033
0.4,0.85,0.1192283179,0.1731957761,0.707575906,0.0146722183,0.0329698735,0.0358764689,0.3611843539,0.0997641741,0.561363859,0.0538147033,0.5494237028,0.0891557033
