N,pi1,pi2,pi3,q1,q2,q3,l,f0,f1,f2,f3,sdf0,sdf1,sdf2,sdf3,Q,sdQ,Nrea,simTime,ic
1000,0.1,0.1,0.1,5.0,7.0,10.0,0.1,0.2817854,0.1474672,0.2205936,0.3501538,0.0144419302,0.0121092743,0.0145725234,0.016865472,-0.0743408,0.0309570712,5,2000,E
1000,0.1,0.1,0.1,5.0,7.0,10.0,0.15,0.2659534,0.141903,0.2191442,0.3729994,0.0146405884,0.0128488751,0.0155923124,0.0190253883,-0.0646618,0.0321981649,5,2000,E
