iter,f0,f1,f2
      0,    0.0000000000,    0.5000000000,    0.5000000000
      1,    0.1206500000,    0.4289700000,    0.4503800000
      2,    0.2159800000,    0.3735100000,    0.4105100000
      3,    0.2920800000,    0.3283400000,    0.3795800000
      4,    0.3552000000,    0.2906700000,    0.3541300000
      5,    0.4084900000,    0.2593600000,    0.3321500000
      6,    0.4551800000,    0.2328000000,    0.3120200000
      7,    0.4943500000,    0.2102500000,    0.2954000000
      8,    0.5281600000,    0.1916800000,    0.2801600000
      9,    0.5590800000,    0.1741800000,    0.2667400000
     10,    0.5855500000,    0.1591700000,    0.2552800000
     11,    0.6108000000,    0.1455100000,    0.2436900000
     12,    0.6314100000,    0.1333700000,    0.2352200000
     13,    0.6498000000,    0.1234200000,    0.2267800000
     14,    0.6663400000,    0.1139500000,    0.2197100000
     15,    0.6819000000,    0.1051400000,    0.2129600000
     16,    0.6950000000,    0.0969300000,    0.2080700000
     17,    0.7073300000,    0.0901500000,    0.2025200000
     18,    0.7193900000,    0.0843100000,    0.1963000000
     19,    0.7318300000,    0.0775700000,    0.1906000000
     20,    0.7417300000,    0.0727300000,    0.1855400000
     21,    0.7513200000,    0.0678600000,    0.1808200000
     22,    0.7599700000,    0.0635500000,    0.1764800000
     23,    0.7677900000,    0.0598200000,    0.1723900000
     24,    0.7753800000,    0.0561000000,    0.1685200000
     25,    0.7822000000,    0.0519700000,    0.1658300000
     26,    0.7890400000,    0.0486400000,    0.1623200000
     27,    0.7951400000,    0.0453300000,    0.1595300000
     28,    0.8009000000,    0.0423200000,    0.1567800000
     29,    0.8056000000,    0.0397600000,    0.1546400000
     30,    0.8105600000,    0.0374300000,    0.1520100000
     31,    0.8148000000,    0.0354900000,    0.1497100000
     32,    0.8196700000,    0.0331500000,    0.1471800000
     33,    0.8239800000,    0.0308800000,    0.1451400000
     34,    0.8279500000,    0.0289600000,    0.1430900000
     35,    0.8310600000,    0.0275600000,    0.1413800000
     36,    0.8343800000,    0.0259400000,    0.1396800000
     37,    0.8385200000,    0.0241800000,    0.1373000000
     38,    0.8427500000,    0.0228600000,    0.1343900000
     39,    0.8457000000,    0.0218000000,    0.1325000000
     40,    0.8483300000,    0.0206800000,    0.1309900000
     41,    0.8514800000,    0.0194600000,    0.1290600000
     42,    0.8542200000,    0.0184800000,    0.1273000000
     43,    0.8575800000,    0.0172000000,    0.1252200000
     44,    0.8599800000,    0.0161400000,    0.1238800000
     45,    0.8619000000,    0.0153100000,    0.1227900000
     46,    0.8636800000,    0.0145300000,    0.1217900000
     47,    0.8654500000,    0.0139000000,    0.1206500000
     48,    0.8673700000,    0.0132500000,    0.1193800000
     49,    0.8697100000,    0.0124900000,    0.1178000000
     50,    0.8721000000,    0.0117500000,    0.1161500000
