iter,f0,f1,f2
     54,    0.8788100000,    0.0090200000,    0.1121700000
     55,    0.8801800000,    0.0085500000,    0.1112700000
     56,    0.8809500000,    0.0081300000,    0.1109200000
     57,    0.8824900000,    0.0076400000,    0.1098700000
     58,    0.8844000000,    0.0072100000,    0.1083900000
     59,    0.8867500000,    0.0067100000,    0.1065400000
     60,    0.8883000000,    0.0062700000,    0.1054300000
     61,    0.8890600000,    0.0059900000,    0.1049500000
     62,    0.8899000000,    0.0058000000,    0.1043000000
     63,    0.8908500000,    0.0055400000,    0.1036100000
     64,    0.8916800000,    0.0053500000,    0.1029700000
     65,    0.8928900000,    0.0052100000,    0.1019000000
     66,    0.8936900000,    0.0048700000,    0.1014400000
     67,    0.8954700000,    0.0044900000,    0.1000400000
     68,    0.8959400000,    0.0041600000,    0.0999000000
     69,    0.8969900000,    0.0037300000,    0.0992800000
     70,    0.8979900000,    0.0035300000,    0.0984800000
     71,    0.8985400000,    0.0033100000,    0.0981500000
     72,    0.8994800000,    0.0031100000,    0.0974100000
     73,    0.9002300000,    0.0028600000,    0.0969100000
     74,    0.9005400000,    0.0028400000,    0.0966200000
     75,    0.9009000000,    0.0027700000,    0.0963300000
     76,    0.9017700000,    0.0028100000,    0.0954200000
     77,    0.9024300000,    0.0027900000,    0.0947800000
     78,    0.9037800000,    0.0025900000,    0.0936300000
     79,    0.9047700000,    0.0024200000,    0.0928100000
     80,    0.9051300000,    0.0023200000,    0.0925500000
     81,    0.9064900000,    0.0022100000,    0.0913000000
     82,    0.9069100000,    0.0021400000,    0.0909500000
     83,    0.9074800000,    0.0021000000,    0.0904200000
     84,    0.9077200000,    0.0020900000,    0.0901900000
     85,    0.9079600000,    0.0019800000,    0.0900600000
     86,    0.9087100000,    0.0019200000,    0.0893700000
     87,    0.9091700000,    0.0019200000,    0.0889100000
     88,    0.9098200000,    0.0018500000,    0.0883300000
     89,    0.9105200000,    0.0016600000,    0.0878200000
     90,    0.9114600000,    0.0015400000,    0.0870000000
     91,    0.9117200000,    0.0014500000,    0.0868300000
     92,    0.9117500000,    0.0014200000,    0.0868300000
     93,    0.9124000000,    0.0014200000,    0.0861800000
     94,    0.9130200000,    0.0013600000,    0.0856200000
     95,    0.9136900000,    0.0012900000,    0.0850200000
     96,    0.9140400000,    0.0011700000,    0.0847900000
     97,    0.9148500000,    0.0011100000,    0.0840400000
     98,    0.9152900000,    0.0009300000,    0.0837800000
     99,    0.9149700000,    0.0009100000,    0.0841200000
    100,    0.9162400000,    0.0008300000,    0.0829300000
    101,    0.9166600000,    0.0007900000,    0.0825500000
    102,    0.9172600000,    0.0007600000,    0.0819800000
    103,    0.9183600000,    0.0007000000,    0.0809400000
    104,    0.9187600000,    0.0006700000,    0.0805700000
    105,    0.9201600000,    0.0006200000,    0.0792200000
    106,    0.9207800000,    0.0005600000,    0.0786600000
    107,    0.9213000000,    0.0004800000,    0.0782200000
    108,    0.9223900000,    0.0004600000,    0.0771500000
    109,    0.9222900000,    0.0004100000,    0.0773000000
    110,    0.9220200000,    0.0004300000,    0.0775500000
    111,    0.9227700000,    0.0004000000,    0.0768300000
    112,    0.9231900000,    0.0003600000,    0.0764500000
    113,    0.9237700000,    0.0003500000,    0.0758800000
    114,    0.9229200000,    0.0003000000,    0.0767800000
    115,    0.9231400000,    0.0002800000,    0.0765800000
    116,    0.9229000000,    0.0002700000,    0.0768300000
    117,    0.9233500000,    0.0002500000,    0.0764000000
    118,    0.9232300000,    0.0002200000,    0.0765500000
    119,    0.9231000000,    0.0001900000,    0.0767100000
    120,    0.9234400000,    0.0001900000,    0.0763700000
    121,    0.9228800000,    0.0001900000,    0.0769300000
    122,    0.9226900000,    0.0001500000,    0.0771600000
    123,    0.9231600000,    0.0001400000,    0.0767000000
