0.00 0.126582 0.000324489 0.379757 0.000468912 0.265815 0.000429933 0.227846 0.000407235 40001
0.05 0.126477 0.000324095 0.384691 0.000485869 0.264005 0.000439986 0.224827 0.000413725 40001
0.10 0.126355 0.00032651 0.390036 0.000497405 0.262027 0.000449364 0.221582 0.000421165 40001
0.15 0.126214 0.000325897 0.395907 0.00050743 0.259808 0.000452473 0.218071 0.000426492 40001
0.20 0.126048 0.000324422 0.402338 0.000534408 0.257355 0.000462419 0.214258 0.000434865 40001
0.25 0.125854 0.000327218 0.409487 0.000554443 0.254567 0.000474547 0.210091 0.000438817 40001
0.30 0.125621 0.000327126 0.417468 0.000572939 0.251398 0.000491399 0.205512 0.000444323 40001
0.35 0.125347 0.000327382 0.426464 0.000582057 0.24774 0.000507117 0.200449 0.000460481 40001
0.40 0.125011 0.000328559 0.436661 0.000619397 0.243533 0.000521092 0.194795 0.000458229 40001
0.45 0.124602 0.000327495 0.448335 0.00062215 0.238607 0.000529319 0.188455 0.000464097 40001
0.50 0.124102 0.000329206 0.461911 0.00063969 0.23274 0.000542991 0.181246 0.000464453 40001
0.55 0.123474 0.000328702 0.477818 0.000680734 0.225707 0.00055352 0.173002 0.000473216 40001
0.60 0.122683 0.000330503 0.496773 0.000700726 0.217076 0.000556984 0.163468 0.000485401 40001
0.65 0.121682 0.000330648 0.519564 0.000733986 0.206427 0.000575127 0.152327 0.000489469 40001
0.70 0.120396 0.000327247 0.547474 0.000755368 0.192935 0.000597374 0.139195 0.000477615 40001
0.75 0.118736 0.000328805 0.581831 0.000769328 0.175837 0.000579337 0.123597 0.000484525 40001
0.80 0.116591 0.000328213 0.624627 0.000791174 0.153762 0.000600272 0.105019 0.000450593 40001
0.85 0.113863 0.000322468 0.677497 0.00076468 0.125572 0.000560825 0.0830683 0.000424678 40001
0.90 0.11047 0.000320345 0.741677 0.000697295 0.0901784 0.000507235 0.0576742 0.000375392 40001
0.95 0.106471 0.000314863 0.816249 0.000556904 0.0477397 0.000386632 0.0295406 0.000267304 40001
1.00 0.102045 0.000309085 0.897955 0.000309085 0 0 0 0 40001
