0.00 0.151515 0.000353294 0.303046 0.000452751 0.212114 0.000396811 0.181811 0.000373775 0.151514 0.000352835 40001
0.05 0.150625 0.000350361 0.309339 0.000466365 0.211475 0.000399274 0.179842 0.000383816 0.148719 0.000355528 40001
0.10 0.149697 0.000351289 0.316218 0.000482163 0.210687 0.000420417 0.177689 0.000389643 0.145709 0.000360772 40001
0.15 0.148728 0.000350502 0.323786 0.000505164 0.209717 0.000416343 0.17528 0.000397702 0.14249 0.000363659 40001
0.20 0.147701 0.000351218 0.332172 0.000516433 0.208506 0.000441613 0.172612 0.000404007 0.139009 0.000370972 40001
0.25 0.146615 0.000349327 0.341511 0.000543807 0.207059 0.000447534 0.169595 0.00041173 0.13522 0.00036677 40001
0.30 0.145441 0.000351168 0.352069 0.000568755 0.205215 0.000456894 0.166184 0.000424654 0.131091 0.000367917 40001
0.35 0.144176 0.000352329 0.363995 0.000597587 0.202954 0.000483076 0.162328 0.000419554 0.126546 0.000377482 40001
0.40 0.142783 0.000350014 0.377708 0.000632655 0.200105 0.000497502 0.157853 0.000435864 0.121552 0.000378266 40001
0.45 0.141244 0.000348744 0.393507 0.000637431 0.196547 0.000511528 0.152698 0.000429372 0.116003 0.000382723 40001
0.50 0.139516 0.000348135 0.412059 0.000673382 0.191967 0.000525729 0.146666 0.000450201 0.109793 0.000378508 40001
0.55 0.137553 0.000348261 0.43389 0.000714089 0.186117 0.000541757 0.139589 0.000446173 0.102851 0.000378239 40001
0.60 0.135299 0.000345591 0.45994 0.000758862 0.178562 0.000543206 0.131169 0.000452519 0.0950302 0.000371587 40001
0.65 0.132678 0.000345315 0.491141 0.000784265 0.168811 0.000571087 0.121188 0.000464349 0.0861831 0.000363162 40001
0.70 0.12962 0.000342392 0.528791 0.000789117 0.156078 0.000567293 0.109272 0.000450084 0.0762395 0.000354099 40001
0.75 0.12605 0.000340173 0.573911 0.000820657 0.139715 0.000560744 0.0952175 0.000434467 0.0651063 0.000336086 40001
0.80 0.121942 0.000336008 0.627303 0.000788114 0.119012 0.000540644 0.0788712 0.00042257 0.0528723 0.000308809 40001
0.85 0.117329 0.000329756 0.688455 0.000779721 0.0939159 0.000525905 0.0605002 0.000375833 0.0397989 0.000274246 40001
0.90 0.11233 0.000324123 0.756034 0.000683479 0.064713 0.000452051 0.0406241 0.000321155 0.0262986 0.000220934 40001
0.95 0.107167 0.000316397 0.826841 0.000542992 0.0329407 0.000326902 0.0201739 0.00022577 0.0128778 0.000163482 40001
1.00 0.10204 0.000309926 0.89796 0.000309927 0 0 0 0 0 0 40001
