0.00 0.163936 0.000362381 0.491806 0.000492155 0.344258 0.000466284 40001
0.05 0.160962 0.000361044 0.498702 0.000508735 0.340336 0.000480794 40001
0.10 0.158047 0.000361238 0.505965 0.000510634 0.335988 0.000483983 40001
0.15 0.155158 0.000356626 0.513677 0.000523096 0.331165 0.000498201 40001
0.20 0.152314 0.000354967 0.521859 0.00056301 0.325828 0.000527383 40001
0.25 0.149492 0.000355549 0.530658 0.000565151 0.319851 0.00052898 40001
0.30 0.146691 0.000353252 0.540159 0.000578656 0.31315 0.000537786 40001
0.35 0.143904 0.000352955 0.550439 0.000596165 0.305657 0.000552817 40001
0.40 0.141119 0.000349257 0.561727 0.000610905 0.297154 0.000564561 40001
0.45 0.138329 0.000346081 0.574224 0.000628531 0.287447 0.000585497 40001
0.50 0.135518 0.000343684 0.588097 0.00064376 0.276385 0.000591583 40001
0.55 0.132674 0.000342839 0.603648 0.000674364 0.263677 0.000615496 40001
0.60 0.129774 0.000341431 0.62128 0.00068569 0.248946 0.000627943 40001
0.65 0.12681 0.0003376 0.641328 0.000694027 0.231862 0.000634174 40001
0.70 0.123744 0.000336024 0.664421 0.000684359 0.211834 0.000621374 40001
0.75 0.120556 0.000331298 0.691121 0.000723411 0.188323 0.000651255 40001
0.80 0.117213 0.000330306 0.722109 0.000705331 0.160678 0.00063226 40001
0.85 0.113693 0.000324554 0.758121 0.000674936 0.128186 0.000597241 40001
0.90 0.109976 0.00032202 0.799526 0.000617363 0.090498 0.000526588 40001
0.95 0.106081 0.000316594 0.846364 0.000512725 0.0475547 0.000398048 40001
1.00 0.102042 0.000308405 0.897958 0.000308405 0 0 40001
