loops,interac_r,coms,counts,probs
0,60.0,67,7,0.00014603108375925734
0,60.0,68,2,4.1723166788359233e-05
0,60.0,69,6,0.00012516950036507772
0,60.0,70,2,4.1723166788359233e-05
0,60.0,72,2,4.1723166788359233e-05
0,60.0,73,3,6.258475018253886e-05
0,60.0,74,6,0.00012516950036507772
0,60.0,75,1,2.0861583394179617e-05
0,60.0,77,5,0.00010430791697089809
0,60.0,79,9,0.00018775425054761655
0,60.0,80,3,6.258475018253886e-05
0,60.0,81,4,8.344633357671847e-05
0,60.0,83,3,6.258475018253886e-05
0,60.0,84,2,4.1723166788359233e-05
0,60.0,85,3,6.258475018253886e-05
0,60.0,86,3,6.258475018253886e-05
0,60.0,87,3,6.258475018253886e-05
0,60.0,88,2,4.1723166788359233e-05
0,60.0,89,1,2.0861583394179617e-05
0,60.0,90,2,4.1723166788359233e-05
0,60.0,91,1,2.0861583394179617e-05
0,60.0,92,5,0.00010430791697089809
0,60.0,93,11,0.0002294774173359758
0,60.0,94,10,0.00020861583394179617
0,60.0,96,2,4.1723166788359233e-05
0,60.0,97,2,4.1723166788359233e-05
0,60.0,99,1,2.0861583394179617e-05
0,60.0,100,5,0.00010430791697089809
0,60.0,101,1,2.0861583394179617e-05
0,60.0,102,3,6.258475018253886e-05
0,60.0,104,1,2.0861583394179617e-05
0,60.0,105,1,2.0861583394179617e-05
0,60.0,106,2,4.1723166788359233e-05
0,60.0,107,3,6.258475018253886e-05
0,60.0,109,4,8.344633357671847e-05
0,60.0,110,2,4.1723166788359233e-05
0,60.0,111,2,4.1723166788359233e-05
0,60.0,112,2,4.1723166788359233e-05
0,60.0,113,5,0.00010430791697089809
0,60.0,114,7,0.00014603108375925734
0,60.0,115,5,0.00010430791697089809
0,60.0,116,3,6.258475018253886e-05
0,60.0,117,6,0.00012516950036507772
0,60.0,118,3,6.258475018253886e-05
0,60.0,119,2,4.1723166788359233e-05
0,60.0,120,8,0.00016689266715343693
0,60.0,121,6,0.00012516950036507772
0,60.0,122,4,8.344633357671847e-05
0,60.0,123,2,4.1723166788359233e-05
0,60.0,124,5,0.00010430791697089809
0,60.0,125,4,8.344633357671847e-05
0,60.0,126,3,6.258475018253886e-05
0,60.0,127,2,4.1723166788359233e-05
0,60.0,128,8,0.00016689266715343693
0,60.0,129,5,0.00010430791697089809
0,60.0,130,1,2.0861583394179617e-05
0,60.0,131,5,0.00010430791697089809
0,60.0,133,1,2.0861583394179617e-05
0,60.0,134,5,0.00010430791697089809
0,60.0,135,6,0.00012516950036507772
0,60.0,136,12,0.00025033900073015544
0,60.0,137,7,0.00014603108375925734
0,60.0,138,10,0.00020861583394179617
0,60.0,139,8,0.00016689266715343693
0,60.0,140,1,2.0861583394179617e-05
0,60.0,141,7,0.00014603108375925734
0,60.0,142,4,8.344633357671847e-05
0,60.0,143,4,8.344633357671847e-05
0,60.0,144,2,4.1723166788359233e-05
0,60.0,145,3,6.258475018253886e-05
0,60.0,146,1,2.0861583394179617e-05
0,60.0,147,4,8.344633357671847e-05
0,60.0,148,7,0.00014603108375925734
0,60.0,149,6,0.00012516950036507772
0,60.0,150,4,8.344633357671847e-05
0,60.0,151,5,0.00010430791697089809
0,60.0,152,6,0.00012516950036507772
0,60.0,153,7,0.00014603108375925734
0,60.0,154,3,6.258475018253886e-05
0,60.0,155,5,0.00010430791697089809
0,60.0,156,2,4.1723166788359233e-05
0,60.0,157,5,0.00010430791697089809
0,60.0,158,1,2.0861583394179617e-05
0,60.0,160,8,0.00016689266715343693
0,60.0,161,5,0.00010430791697089809
0,60.0,162,4,8.344633357671847e-05
0,60.0,163,7,0.00014603108375925734
0,60.0,164,4,8.344633357671847e-05
0,60.0,165,1,2.0861583394179617e-05
0,60.0,166,5,0.00010430791697089809
0,60.0,167,9,0.00018775425054761655
0,60.0,168,1,2.0861583394179617e-05
0,60.0,169,4,8.344633357671847e-05
0,60.0,170,2,4.1723166788359233e-05
0,60.0,171,4,8.344633357671847e-05
0,60.0,172,4,8.344633357671847e-05
0,60.0,174,4,8.344633357671847e-05
0,60.0,175,3,6.258475018253886e-05
0,60.0,176,6,0.00012516950036507772
0,60.0,177,3,6.258475018253886e-05
0,60.0,178,5,0.00010430791697089809
0,60.0,179,6,0.00012516950036507772
0,60.0,180,9,0.00018775425054761655
0,60.0,181,8,0.00016689266715343693
0,60.0,182,2,4.1723166788359233e-05
0,60.0,183,5,0.00010430791697089809
0,60.0,184,5,0.00010430791697089809
0,60.0,185,5,0.00010430791697089809
0,60.0,187,8,0.00016689266715343693
0,60.0,188,6,0.00012516950036507772
0,60.0,190,3,6.258475018253886e-05
0,60.0,191,6,0.00012516950036507772
0,60.0,192,3,6.258475018253886e-05
