loops,interac_r,coms,prob,dprob
0,60.0,1.4142135623730951,0.39797592415042077,0.0022593677152038276
0,60.0,2.449489742783178,0.15828273143709384,0.0016848121104664601
0,60.0,3.4641016151377544,0.11458399914775753,0.0014702367013391107
0,60.0,4.47213595499958,0.06807286673058485,0.0011625980422548443
0,60.0,5.477225575051661,0.05407478427612656,0.0010439444458399823
0,60.0,6.48074069840786,0.03095770746777458,0.0007994795342247854
0,60.0,7.483314773547883,0.028251837647810803,0.0007648069112747769
0,60.0,8.48528137423857,0.021242143389794396,0.0006655617999203342
0,60.0,9.486832980505138,0.020368594865239162,0.0006520238376560597
0,60.0,10.363503603551374,0.017586651827089114,0.0007068335837644166
0,60.0,11.13063158660583,0.00870987878381301,0.00048146150693587135
0,60.0,11.954543970466931,0.01090427966466565,0.0005191884092852362
0,60.0,12.839444053992494,0.00945576669473022,0.0004666683256803018
0,60.0,13.789846272920128,0.006922119807715437,0.000385636875782427
0,60.0,14.810599230862955,0.004269841843322864,0.00029259089503808235
0,60.0,15.906910435107276,0.003150445739968484,0.00024262676521848766
0,60.0,17.08437286340518,0.003946007951886231,0.00026185182805908225
0,60.0,18.348993497296128,0.005787437439022584,0.0003055680759238282
0,60.0,19.707223967524023,0.0019071886392622072,0.0001696776532616609
0,60.0,21.165993467891493,0.002536777666447057,0.0001887173252642135
0,60.0,22.732744105465763,0.002676867422495406,0.00018701046275062023
0,60.0,24.415468867479934,0.0023946362953914725,0.00017068793415669927
0,60.0,26.222752398622855,0.0017290751605910073,0.00014001923506758656
0,60.0,28.163814796748376,0.0015039916420947694,0.00012602110528984092
0,60.0,30.248558650433633,0.0009368444282496636,9.602088571851114e-05
0,60.0,32.48761955835476,0.0007437306614441199,8.256540249798911e-05
0,60.0,34.89242038821124,0.0009574927287699308,9.036654541901358e-05
0,60.0,37.47522955200833,0.0007084256267680546,7.502173534425039e-05
0,60.0,40.24922359499621,0.0004891420354967613,6.016687445105618e-05
0,60.0,43.22855441757213,0.0004347287824986785,5.473390720499126e-05
