pi1,pi2,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
0.01,0.01,0.115052951,0.0748351484,0.8101119006,0.0550004994,0.2274349637,0.2360341465,0.6604416039,0.6866194152,0.8086420538,0.1114398469,0.97966741,1.6956508651,0.9033865838,0.0742912535,2.4835668364,0.2436842425
0.01,0.03,0.1143109937,0.0379102367,0.8477787696,0.0548379673,0.1573094141,0.1679551292,0.7719582961,0.4765394858,0.8125301532,0.1080141925,0.9768963052,1.3837050261,0.9416249528,0.0885305164,2.039586566,0.1636362691
0.01,0.05,0.1136400186,0.016527868,0.8698321134,0.054684836,0.0830336598,0.0997141407,0.8367763773,0.2553730584,0.8129457636,0.1081964291,0.9742120933,1.125776175,0.9541684626,0.103387502,1.1771918213,0.1348103907
0.01,0.07,0.1135497554,0.0149444068,0.8715058378,0.0545115701,0.073175166,0.0914823599,0.8416170243,0.2264766511,0.8127445996,0.1081431196,0.9704579023,1.1223689792,0.9499644032,0.11884983,1.1628786202,0.1450444333
0.01,0.09,0.1133472346,0.0150976542,0.8715551112,0.0545562006,0.0739871378,0.0922503101,0.8413598029,0.2289589056,0.812856643,0.1093738732,0.9668402036,1.1587464721,0.9453081286,0.1355391251,1.33318682,0.1606836885
0.01,0.11,0.1129559039,0.0114108616,0.8756332345,0.0543359467,0.0558698172,0.0777977309,0.8528115114,0.1760150262,0.8156150962,0.1038906475,0.9636712004,1.1074546601,0.9439019202,0.1523581234,1.0693690936,0.1689175552
0.01,0.13,0.1125658585,0.0122980683,0.8751360731,0.0543435124,0.0625536393,0.083159557,0.8505399364,0.1957494516,0.8160962616,0.1054043948,0.9605359276,1.157329493,0.9410848396,0.1706696822,1.3687543134,0.1847227836
0.01,0.15,0.1122610776,0.0092491163,0.8784898061,0.0543454017,0.0430743216,0.0692862579,0.8599915735,0.1400974458,0.8181299675,0.1014032334,0.957147083,1.1001658474,0.9369133288,0.1899373928,0.9298976679,0.1980858094
0.01,0.17,0.1120391331,0.0086301282,0.8793307387,0.0542303106,0.041726095,0.0682925332,0.8620704824,0.1362209937,0.8193581605,0.1000524863,0.9534265413,1.1100544864,0.9339459745,0.2097897504,0.988661168,0.2139744344
0.01,0.19,0.1117530617,0.0082867854,0.8799601528,0.054155538,0.0417399497,0.0683697839,0.8633865819,0.136422058,0.8208322919,0.0966339408,0.9499333441,1.1063896248,0.9323885301,0.2307278079,1.1063472113,0.2273292453
0.01,0.21,0.1115178348,0.0100901917,0.8783919734,0.0539597813,0.0489527908,0.0727862748,0.85821159,0.1563600453,0.81875981,0.1018861891,0.9461964402,1.1767064742,0.9256459296,0.2522037037,1.427786464,0.2511161312
0.01,0.23,0.1108612847,0.0097118578,0.8794268576,0.0539917108,0.0481430613,0.0723152676,0.8600031421,0.1541583933,0.8204333917,0.1003255299,0.9446939087,1.1863081849,0.9248162279,0.2755439799,1.511040707,0.2723270377
0.01,0.25,0.1108345771,0.0111724926,0.8779929303,0.053972208,0.0557216535,0.0775018818,0.8556479452,0.1755649242,0.8191090085,0.1036465466,0.9402813282,1.2617742866,0.9232343683,0.2992730613,1.9119371915,0.2967024287
0.01,0.27,0.1103704074,0.0096087407,0.8800208519,0.0539305357,0.0499092826,0.0735297007,0.8608033706,0.1592120104,0.8218361838,0.098938743,0.9386121149,1.2336075029,0.9219429481,0.3236736388,1.8027655912,0.3193600043
0.01,0.29,0.1103479844,0.0092896776,0.880362338,0.0537685164,0.0443005262,0.0696282455,0.8617829828,0.1433087252,0.8212826079,0.0996907297,0.9348424458,1.2277084062,0.9151579399,0.34758387,1.6419251389,0.3319684357
0.01,0.31,0.1101981647,0.0083163495,0.8814854858,0.0537542602,0.0409665549,0.0674964425,0.8648527868,0.1340067909,0.8226819724,0.0982577159,0.9324341204,1.2189043374,0.914620008,0.3730462241,1.5897549887,0.3510749014
0.01,0.33,0.1095376156,0.0082982112,0.8821641732,0.0535028857,0.0398122084,0.0665892934,0.8655677509,0.1307186141,0.8238146178,0.0960291966,0.9338386896,1.2232036911,0.9137333025,0.3994199058,1.621495422,0.3750286158
0.01,0.35,0.1094320706,0.0067614525,0.883806477,0.0536437465,0.0351452276,0.0640359236,0.870283572,0.1181423616,0.8259149498,0.0946248276,0.9352600746,1.1938018353,0.9174302349,0.4228310592,1.4888925461,0.3919000209
0.01,0.37,0.109533331,0.008962188,0.881504481,0.0534557316,0.0420805361,0.0680820936,0.863580105,0.1371681924,0.8224510301,0.1008545309,0.9348309673,1.3025811642,0.9158120851,0.4472296151,1.8954472975,0.4209422405
0.01,0.39,0.1092973899,0.0080285643,0.8826740458,0.0533633915,0.0414558834,0.0674333341,0.8666169172,0.135122175,0.8247328168,0.0963799048,0.9363980448,1.2830798015,0.9205873175,0.4785651438,1.9861197465,0.4533367563
0.01,0.41,0.1084098975,0.0072296212,0.8843604813,0.0532454677,0.0375810837,0.0650235401,0.869901239,0.1244509934,0.8270441675,0.0940501029,0.9525169257,1.2624667643,0.927595204,0.4995325249,1.8554850697,0.4741028642
0.01,0.43,0.1085452922,0.0074065769,0.8840481308,0.0532491242,0.0375702404,0.0650653797,0.869234977,0.124493816,0.8263003535,0.0960369266,0.9611056455,1.2870907829,0.9316750304,0.5234984067,1.9276124077,0.4993531537
0.01,0.45,0.1081803835,0.0097816974,0.8820379191,0.0530564931,0.0479293886,0.0713214989,0.8624745242,0.1530151738,0.8241586746,0.1000059692,0.9741461363,1.4298265275,0.9510682243,0.5538081275,2.6404220031,0.5628286703
0.01,0.47,0.1079930017,0.0063496983,0.8856573,0.0530297477,0.0329542627,0.0623763395,0.8729579034,0.1120893192,0.8288777806,0.0907191543,0.9872556496,1.2518264243,0.9490553752,0.5911496067,1.8103729406,0.5479056688
0.01,0.49,0.1076278073,0.0067076088,0.8856645839,0.0530964204,0.0343250391,0.06306918,0.8722493662,0.1156025715,0.8287616667,0.0927414075,1.0175823661,1.2948665215,0.96970981,0.6153783284,1.9618366196,0.5766109041
0.03,0.01,0.1174572071,0.2558798872,0.6266629057,0.0558920148,0.3739423798,0.3807703362,0.1149031314,1.1259252784,0.7794799157,0.1401867801,0.9722869365,1.5649339358,0.7111747129,0.088727764,1.1136275685,0.3929743552
0.03,0.03,0.1147311743,0.0674308566,0.8178379691,0.0549899864,0.1842324295,0.1933913599,0.6829762559,0.5565989449,0.7815014104,0.1376300369,0.9725647168,1.0346740405,0.9042349309,0.1024131419,0.6683037758,0.1959962977
0.03,0.05,0.1140409183,0.0445474346,0.8414116471,0.0549600338,0.1302610417,0.1417145503,0.7523167779,0.3949879297,0.7838142607,0.1363868032,0.9698026422,0.9756518013,0.91725363,0.1182008018,0.5277527762,0.174810287
0.03,0.07,0.1137825544,0.0449317671,0.8412856786,0.0547371248,0.1283967065,0.1401187948,0.7514221445,0.3896431827,0.7815151212,0.1420667116,0.9661872577,0.9956908815,0.9086051267,0.1342865951,0.5814097449,0.1914185281
0.03,0.09,0.1133263827,0.0434934124,0.8431802049,0.0545823844,0.1221142646,0.1342208884,0.7561933802,0.3708889713,0.7815061235,0.1414468042,0.9630673685,0.99746219,0.9036325819,0.1512691879,0.6255893888,0.1986962394
0.03,0.11,0.1131435713,0.0472421895,0.8396142393,0.0545804351,0.1356405425,0.146859065,0.7451298604,0.4112600731,0.7832332631,0.1393555182,0.9591739661,1.0433672534,0.9015629055,0.1695355586,0.8194904649,0.2069303854
0.03,0.13,0.1127675224,0.0337681294,0.8534643482,0.0542936312,0.096363707,0.1106962277,0.7859280894,0.2942467533,0.7876899347,0.1350372221,0.9558421546,0.9826617102,0.9004885205,0.1877766782,0.5798034315,0.2140223949
0.03,0.15,0.1125097297,0.0326825437,0.8548077266,0.0543544336,0.0956917733,0.1103040787,0.7894426393,0.2924613706,0.7899982861,0.1328638323,0.9520902189,0.9964251212,0.8990426311,0.2081625355,0.6424578954,0.2239677957
0.03,0.17,0.1120452744,0.0338745314,0.8540801942,0.0541980111,0.0917645033,0.1065060803,0.7863311315,0.2804997879,0.7861521762,0.1387992827,0.9491622603,1.0072394758,0.8858166284,0.2287634858,0.6308582328,0.2456285529
0.03,0.19,0.1116459457,0.0333062449,0.8550478095,0.0540463297,0.0965698414,0.1107756283,0.7884353197,0.2948323483,0.7896094548,0.1372020758,0.9461322789,1.0376341682,0.8920462209,0.250147917,0.7613497281,0.2516638472
0.03,0.21,0.1113551612,0.0299146642,0.8587301746,0.0541163902,0.085764802,0.1013083778,0.7989008462,0.2628052558,0.7929966794,0.1301915571,0.9426556892,1.0138698288,0.8880093864,0.2737886201,0.7145846955,0.2634932963
0.03,0.23,0.1111816332,0.0320288499,0.8567895169,0.0540472899,0.0862338805,0.1017024045,0.792731817,0.2642075149,0.7893648017,0.1343704042,0.9387661483,1.0326609459,0.8754559005,0.2974133849,0.7523538243,0.2869641142
0.03,0.25,0.1110790874,0.0293145285,0.8596063841,0.0539812397,0.0826526849,0.0986894362,0.8009773271,0.25373148,0.7930438105,0.1317387502,0.9347229989,1.0403991648,0.8811547089,0.3215702466,0.7735421603,0.2918462517
0.03,0.27,0.1107671654,0.0294657764,0.8597670582,0.0540091236,0.0824034396,0.098454935,0.8008355054,0.2529587178,0.7931691363,0.1318607692,0.9324395175,1.054250448,0.8772938855,0.3467621306,0.8232957645,0.3136373546
0.03,0.29,0.1102740029,0.0255728925,0.8641531046,0.0538271445,0.0784573867,0.0952129633,0.8130073196,0.2415267507,0.8000440604,0.1246567204,0.9325054059,1.0528605785,0.8891962305,0.3702588141,0.8519685916,0.3258977221
0.03,0.31,0.1101604599,0.0244694541,0.865370086,0.0535789246,0.0724909477,0.0901440514,0.8164311779,0.2239778397,0.8008617846,0.1212335118,0.9292600067,1.034406684,0.8811862838,0.39739175,0.8193606521,0.3417751909
0.03,0.33,0.1096408755,0.0259769343,0.8643821902,0.0534753717,0.0783397232,0.094615064,0.8124283215,0.2407477386,0.8009157711,0.1209485552,0.9328308544,1.0652608911,0.8835904009,0.4203389392,0.9681819589,0.3765461966
0.03,0.35,0.1096370193,0.024528725,0.8658342557,0.0536731867,0.0707395439,0.0887737384,0.8167768058,0.2188725803,0.8005515764,0.1242727172,0.9338371635,1.0605583842,0.8800999768,0.4466758046,0.8707172228,0.376532696
0.03,0.37,0.1090560217,0.0231660656,0.8677779127,0.0534572734,0.0704803506,0.0881777022,0.8214457814,0.2177508673,0.8040034991,0.1205156152,0.9395113051,1.0686888648,0.8885540323,0.4747171409,0.9327562356,0.4005835665
0.03,0.39,0.1090650195,0.021514907,0.8694200736,0.0535285998,0.0630282729,0.0825643688,0.8263902596,0.1963552445,0.8054144321,0.1170157122,0.9469579485,1.0470199276,0.8817277714,0.4969041191,0.8402823167,0.4099651947
0.03,0.41,0.1086586925,0.0212668262,0.8700744814,0.0534527268,0.0594114336,0.0795534355,0.8275408291,0.1856075698,0.805664441,0.1163336609,0.9596201844,1.0467803208,0.8784833922,0.5222185491,0.7958981149,0.4213434198
0.03,0.43,0.1082523655,0.0214984825,0.870249152,0.0532512629,0.0618407827,0.0813151244,0.827252187,0.1926415034,0.8064965187,0.1159517802,0.973842905,1.0714316923,0.8867065562,0.5506087377,0.8884054797,0.4543850829
0.03,0.45,0.1078870282,0.0223594101,0.8697535616,0.0530861372,0.0632764279,0.0821023271,0.8250347413,0.1964931001,0.805736423,0.1173127068,0.9885855385,1.0901100809,0.8934147354,0.5860620881,0.9554462851,0.4783938497
0.03,0.47,0.1078937408,0.0219639376,0.8701423216,0.053070071,0.0622735034,0.0811409909,0.8262144464,0.1933562817,0.8060054986,0.1174767336,1.0103925738,1.1045486882,0.9007674445,0.6139848195,0.9697859847,0.4971242902
0.03,0.49,0.1077507766,0.0197022173,0.8725470061,0.0529690209,0.057177651,0.0777659897,0.8331425715,0.17929561,0.8095735352,0.1124054317,1.0425291551,1.0768329082,0.9043136197,0.6380766426,0.9219104537,0.5202163452
0.05,0.01,0.1188560003,0.3673591602,0.5137848395,0.0560874899,0.3967716781,0.4029101202,-0.2209334809,1.1938528673,0.7500816939,0.1664355402,0.9654120705,1.2548907376,0.5888345288,0.102882378,0.6028374647,0.4183244431
0.05,0.03,0.1148121541,0.1060819081,0.7791059378,0.0548132287,0.215839078,0.2238044034,0.5669421216,0.6509802596,0.7462090192,0.1661944086,0.9685802792,0.9325429754,0.8565731116,0.116270485,0.4242888162,0.2373000588
0.05,0.05,0.1140369193,0.0750383833,0.8109246974,0.0548128098,0.1628658706,0.1726393512,0.6608479309,0.4924996441,0.7513186703,0.163920908,0.9659975246,0.9012608753,0.8774237744,0.1327763715,0.3757863164,0.2107854312
0.05,0.07,0.1138513943,0.0759877174,0.8101608883,0.0546989354,0.1664989396,0.1757490222,0.6581854536,0.5030015812,0.7515800336,0.1669100939,0.9620630602,0.9265342553,0.8689673042,0.1498123707,0.424321427,0.2239823267
0.05,0.09,0.1136065984,0.0641850966,0.8222083051,0.0546259716,0.1434442557,0.1537130302,0.6938381119,0.4340191474,0.7571849895,0.158940937,0.9582019528,0.9099893915,0.873429009,0.1678052721,0.418378623,0.2173201544
0.05,0.11,0.1130393116,0.0791904881,0.8077702003,0.054494351,0.1680663392,0.177368316,0.6493892241,0.5078553497,0.7495491127,0.1659914022,0.9553696044,0.9489294343,0.8556141479,0.1865201647,0.5571657646,0.2372591478
0.05,0.13,0.1125043025,0.0546901846,0.8328055129,0.054381201,0.1171450571,0.1290602842,0.7234251437,0.3555176891,0.7594901275,0.1591273761,0.9525870257,0.8965151569,0.8631112739,0.2061943593,0.3898973476,0.2376577991
0.05,0.15,0.112624701,0.0579926447,0.8293826543,0.0544837765,0.1263127927,0.1374552614,0.7133973649,0.3827197571,0.7590057486,0.1576466546,0.9472218369,0.9169178816,0.8564355386,0.2277797522,0.4786580656,0.2481426624
0.05,0.17,0.1122610776,0.0568997751,0.8308391474,0.0543623687,0.123498283,0.1348821016,0.7170395972,0.37440615,0.7597853394,0.1579785787,0.9437392477,0.9241569608,0.8527325437,0.2495254177,0.5052901798,0.2567753646
0.05,0.19,0.1117294962,0.0529826115,0.8352878923,0.0540517424,0.1112141158,0.1234294467,0.7293226693,0.3377466218,0.7609953226,0.1571519186,0.9412662946,0.914096952,0.8454721617,0.271061931,0.4654139303,0.2676735612
0.05,0.21,0.1114692755,0.0483072089,0.8402235155,0.0542086711,0.1066625148,0.1195267829,0.7436090977,0.3244135445,0.7678783875,0.1518537783,0.9377479993,0.9239303349,0.8518568792,0.2956010028,0.4872761377,0.2728855235
0.05,0.23,0.111041811,0.0511350734,0.8378231156,0.0540862149,0.113301181,0.1256280812,0.7355529689,0.3442666884,0.7665741422,0.1539866335,0.9354207162,0.9442651242,0.8502655067,0.3196670146,0.573728566,0.2869710324
0.05,0.25,0.1112230514,0.0463604099,0.8424165387,0.0538880731,0.1094824695,0.1218916029,0.7496957189,0.3326910075,0.7737065734,0.1455740825,0.929818124,0.9542125897,0.8572100441,0.3435748488,0.6039391057,0.2979162761
0.05,0.27,0.110459528,0.0467061806,0.8428342914,0.0537009765,0.1013768563,0.1144397215,0.7494219302,0.3085212501,0.769478916,0.1522298823,0.9312583942,0.9475209769,0.8430358456,0.3674105559,0.5480347675,0.3065233089
