pi1,pi2,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
0.01,0.01,0.1123177706,0.0052248938,0.8824573357,0.032215922,0.0453275194,0.0575779097,0.8720075481,0.1421176269,0.827092027,0.0522542147,0.9836786053,0.9954806013,0.978923532,0.0426870088,0.6449557472,0.0639930162
0.01,0.03,0.1117813047,0.0024607848,0.8857579105,0.0320332035,0.0084148869,0.0331393742,0.8808363409,0.0408321447,0.8286368658,0.0497090613,0.9812973495,0.9560154247,0.9790871784,0.0508522466,0.1384019225,0.0486612462
0.01,0.05,0.1115205199,0.0027724069,0.8857070732,0.0319915391,0.0091786588,0.0332735689,0.8801622594,0.0421895802,0.8285606098,0.0499103534,0.9785442275,0.9470081051,0.9754218017,0.0595809211,0.1583033773,0.0572174187
0.01,0.07,0.1111970007,0.0027186203,0.8860843789,0.0319736337,0.0092278366,0.0333039005,0.8806471382,0.0423525757,0.8291265684,0.0499558508,0.9759189656,0.9448953619,0.9724180858,0.06876468,0.169875735,0.0660110906
0.01,0.09,0.1110928768,0.0023490627,0.8865580605,0.0320080879,0.0087347553,0.0331900994,0.881859935,0.041394304,0.8298370907,0.049785149,0.972785844,0.9513087371,0.969667101,0.0785254461,0.1661066143,0.0748963296
0.01,0.11,0.1107606598,0.0023416146,0.8868977256,0.0318682107,0.0084190706,0.0329640005,0.8822144964,0.0406693347,0.8303465884,0.0494460008,0.9701779925,0.9480008998,0.9666683054,0.0883193069,0.1717553656,0.0838591807
0.01,0.13,0.1104967758,0.002339865,0.8871633592,0.031747853,0.0087329317,0.0329828439,0.8824836291,0.0412957166,0.8307450387,0.0494742658,0.967395336,0.9488816296,0.9634779846,0.0986139078,0.1867601524,0.0938407443
0.01,0.15,0.1102792802,0.0025784054,0.8871423144,0.0318681752,0.0089723764,0.0331261869,0.8819855036,0.0417599427,0.8307134716,0.0496892803,0.9644444817,0.942498454,0.9593551637,0.1102304309,0.1996076435,0.1047162364
0.01,0.17,0.1099108723,0.0023597601,0.8877293677,0.0318090962,0.008135668,0.032837134,0.8830098475,0.0401039832,0.8315940515,0.049255701,0.9620288849,0.941441661,0.9571378921,0.1218688747,0.1982283111,0.114702221
0.01,0.19,0.1096395901,0.0025025744,0.8878578355,0.0316751203,0.0089050396,0.0329430671,0.8828526868,0.0415320228,0.8317867533,0.0494146007,0.9592751314,0.9437254543,0.9533476993,0.1338194981,0.2259410754,0.1265729747
0.01,0.21,0.1093699575,0.0023029743,0.8883270682,0.0316012862,0.0081636893,0.0326754675,0.8837211197,0.0400705739,0.8324906023,0.0490132013,0.9565113246,0.9440106045,0.9508589725,0.1466706839,0.2186643022,0.1375580771
0.01,0.23,0.1091363659,0.0025569608,0.8883066733,0.0315697052,0.0093055719,0.032940995,0.8831927518,0.0422089669,0.83246001,0.0494114925,0.9535602517,0.9476428321,0.9462395267,0.1604674308,0.267635725,0.1514469692
0.01,0.25,0.1089002749,0.0024726318,0.8886270932,0.0316159202,0.0085681217,0.0327426196,0.8836818295,0.0407133989,0.8329406398,0.0491139293,0.9505847877,0.9416764309,0.9430597589,0.1755347359,0.2605490087,0.1639194299
0.01,0.27,0.1087295176,0.0024378405,0.8888326418,0.0315214858,0.0084895188,0.0326207971,0.8839569608,0.0404669328,0.8332489628,0.0489311957,0.9471753699,0.9448855143,0.9392553225,0.1907437171,0.2662532134,0.177423637
0.01,0.29,0.1082869283,0.0022104974,0.8895025744,0.0315373588,0.0077963315,0.0324744262,0.8850815796,0.0392332994,0.8342538615,0.0487116393,0.9454449389,0.9480297854,0.9380781023,0.2076158712,0.2484577252,0.1915555677
0.01,0.31,0.1079785554,0.0027572607,0.889264184,0.031400585,0.0094635471,0.0328133549,0.8837496626,0.0423734308,0.8338962759,0.0492200324,0.9429461837,0.9554887207,0.9315289998,0.2245386014,0.3214571938,0.2091562145
0.01,0.33,0.1078007498,0.0022995251,0.8898997251,0.0313894372,0.0081852986,0.0323874467,0.8853006748,0.0397270847,0.8348495876,0.0485811701,0.9395083876,0.9559748063,0.9303294082,0.2434217926,0.2841228552,0.2233495911
0.01,0.35,0.1074673832,0.0022416896,0.8902909273,0.0313143514,0.0074884613,0.0321657843,0.8858075481,0.0384603452,0.8354363909,0.0482486765,0.937297682,0.9479074874,0.9277158361,0.2630328895,0.2630630764,0.2394197311
0.01,0.37,0.1073815046,0.002284179,0.8903343164,0.0313573348,0.0080819795,0.0323561814,0.8857659585,0.0395741441,0.8355014746,0.0485342721,0.9330083454,0.9559515478,0.9225813058,0.2849114137,0.3199771443,0.2590938996
0.01,0.39,0.1070075981,0.0024142464,0.8905781555,0.0312134942,0.0084674396,0.0323462066,0.8857496626,0.0402548382,0.8358672332,0.0485193099,0.9314092759,0.9608486378,0.9190287297,0.3064449942,0.3532082447,0.2780913681
0.01,0.41,0.1067523119,0.0019690077,0.8912786803,0.0312335237,0.007106294,0.0320188892,0.8873406648,0.0377830422,0.8369180205,0.0480283338,0.9291169195,0.9595109365,0.9192652976,0.33042991,0.2917273134,0.2968759641
0.01,0.43,0.1065715071,0.0025073232,0.8909211697,0.0312471743,0.0089891077,0.0325115823,0.8859065234,0.0412681656,0.8363817546,0.0487673734,0.926479852,0.9750986896,0.9109164679,0.3554593943,0.4207416942,0.3208603266
0.01,0.45,0.1063083229,0.0023193702,0.8913723069,0.0310072693,0.0082444942,0.0320641198,0.8867335666,0.0396137846,0.8370584604,0.0480961796,0.9250653409,0.9718757668,0.9092797005,0.3793505501,0.3883006788,0.3403457741
0.01,0.47,0.1059426643,0.0023753062,0.8916820295,0.0310840451,0.0083220308,0.0321527467,0.8869314171,0.0398057637,0.8375230442,0.04822912,0.9269016162,0.9740354768,0.9078124516,0.4063035381,0.4105639296,0.363674867
0.01,0.49,0.105748013,0.0023063234,0.8919456636,0.0309935548,0.0081567708,0.0320248115,0.8873330167,0.0394304734,0.8379184954,0.0480372172,0.9272840338,0.9721779269,0.9060112699,0.4334734202,0.4290734049,0.3867060728
0.03,0.01,0.1121394151,0.0094505874,0.8784099975,0.0321314356,0.0357523567,0.0491765867,0.8595088228,0.1133999021,0.8193809548,0.0549748022,0.9817000761,0.9538564859,0.9740121429,0.048437492,0.1595834517,0.055926564
0.03,0.03,0.1118388903,0.0078323419,0.8803287678,0.0320606327,0.0155352743,0.0356294404,0.864664084,0.0565744749,0.8204931517,0.0534441605,0.9789437876,0.9437993692,0.971951312,0.0570218555,0.1107077088,0.0508030736
0.03,0.05,0.111455836,0.0077851037,0.8807590602,0.0319844534,0.0156626045,0.0356597151,0.8651888528,0.0569274836,0.8211385904,0.0534895726,0.9763697471,0.9369357589,0.9683330058,0.0659751693,0.1251004016,0.0586892327
0.03,0.07,0.1113101725,0.0075396651,0.8811501625,0.0319549173,0.0153563923,0.035463402,0.8660708323,0.0560859864,0.8217252437,0.053195103,0.9732973679,0.932198986,0.9646681161,0.0754436243,0.1344068858,0.0664721274
0.03,0.09,0.1109504124,0.0074006498,0.8816489378,0.0318881291,0.0147122934,0.0350657728,0.8668476381,0.0543491414,0.8224734066,0.0525986592,0.9707156272,0.926512748,0.9612404992,0.0852775062,0.1422580319,0.0740628435
0.03,0.11,0.110812047,0.0079451137,0.8812428393,0.0318816845,0.0159387853,0.0356446606,0.8653526118,0.057471829,0.8218642589,0.0534669909,0.9675216794,0.9151486128,0.9557415309,0.0957694293,0.161517953,0.0841053789
0.03,0.13,0.1105287678,0.007900125,0.8815711072,0.0317590802,0.0160932804,0.0356801869,0.8657708573,0.0579302244,0.8223566608,0.0535202803,0.9647166793,0.9100067412,0.9517658802,0.1064289603,0.1701556525,0.0933860991
