pi1,pi2,f0,f1,f2,Q,Qs,niter
0.05,0.45,0.10502823,0.03166227,0.8633095,0.79998496,0.83164723,8.0
0.05,0.47,0.10477847,0.03116461,0.86405692,0.8017277,0.83289231,8.0
0.05,0.49,0.1045302,0.03068293,0.86478687,0.80342101,0.83410394,8.0
0.07,0.01,0.11096075,0.06906414,0.8199751,0.68184682,0.7509109599999999,9.0
0.07,0.03,0.11066239,0.06727223,0.82206538,0.68752092,0.7547931499999999,9.0
0.07,0.05,0.11036705,0.06557885,0.82405411,0.6928964099999999,0.75847526,9.0
0.07,0.07,0.11007456,0.06397557,0.82594987,0.69799873,0.7619743,9.0
0.07,0.09,0.10978482,0.06245495,0.82776023,0.70285033,0.76530528,9.0
0.07,0.11,0.10949771,0.06101037,0.82949192,0.7074711800000001,0.7684815500000001,9.0
0.07,0.13,0.10921311,0.05963596,0.83115093,0.71187901,0.7715149699999999,9.0
0.07,0.15,0.10893095,0.05832644,0.83274262,0.71608974,0.77441618,9.0
0.07,0.17,0.10865112,0.05707708,0.8342718,0.72011764,0.77719472,9.0
0.07,0.19,0.10837356,0.05588363,0.83574281,0.7239755499999999,0.77985918,9.0
0.07,0.21,0.1080982,0.05474223,0.83715957,0.72767511,0.78241734,8.0
0.07,0.23,0.10782495,0.0536494,0.83852565,0.73122685,0.78487625,8.0
0.07,0.25,0.10755378,0.05260195,0.83984427,0.7346403699999999,0.7872423199999999,8.0
0.07,0.27,0.10728461,0.051597,0.84111839,0.73792439,0.78952139,8.0
0.07,0.29,0.1070174,0.05063191,0.84235069,0.74108687,0.79171878,8.0
0.07,0.31,0.1067521,0.04970425,0.84354365,0.74413515,0.7938394,8.0
0.07,0.33,0.10648866,0.0488118,0.84469954,0.74707594,0.7958877400000001,8.0
0.07,0.35,0.10622704,0.04795253,0.84582044,0.74991538,0.79786791,8.0
0.07,0.37,0.10596719,0.04712454,0.84690827,0.75265919,0.79978373,8.0
0.07,0.39,0.10570909,0.04632609,0.84796482,0.75531264,0.80163873,8.0
0.07,0.41,0.10545269,0.04555559,0.84899172,0.75788054,0.80343613,8.0
0.07,0.43,0.10519796,0.04481154,0.84999051,0.7603674300000001,0.80517897,8.0
0.07,0.45,0.10494487,0.04409255,0.85096259,0.76277749,0.80687004,8.0
0.07,0.47,0.10469338,0.04339734,0.85190928,0.7651146,0.80851194,8.0
0.07,0.49,0.10444348,0.04272471,0.85283181,0.76738239,0.8101071,8.0
0.09,0.01,0.11095706,0.08876754,0.8002754,0.6227403199999999,0.71150786,9.0
0.09,0.03,0.11065175,0.08641264,0.80293561,0.63011033,0.71652297,9.0
0.09,0.05,0.11034998,0.08419288,0.80545713,0.6370713699999999,0.7212642499999999,9.0
0.09,0.07,0.11005157,0.08209602,0.80785241,0.64366037,0.7257563899999999,9.0
0.09,0.09,0.10975632,0.08011133,0.81013236,0.6499097,0.73002103,9.0
0.09,0.11,0.10946408,0.07822936,0.81230656,0.6558478400000001,0.7340772,9.0
0.09,0.13,0.10917472,0.07644178,0.8143835,0.66149994,0.73794172,9.0
0.09,0.15,0.1088881,0.07474117,0.81637073,0.66688839,0.74162956,9.0
0.09,0.17,0.10860412,0.07312092,0.81827496,0.67203312,0.74515404,9.0
0.09,0.19,0.10832266,0.0715751,0.82010223,0.67695203,0.74852713,9.0
0.09,0.21,0.10804365,0.0700984,0.82185796,0.68166116,0.75175956,8.0
0.09,0.23,0.10776698,0.06868599,0.82354702,0.68617504,0.75486103,8.0
0.09,0.25,0.10749259,0.06733355,0.82517386,0.69050676,0.7578403100000001,8.0
0.09,0.27,0.1072204,0.06603712,0.82674248,0.6946682399999999,0.76070536,8.0
0.09,0.29,0.10695035,0.0647931,0.82825655,0.69867035,0.7634634499999999,8.0
0.09,0.31,0.10668237,0.06359823,0.8297194,0.7025229399999999,0.76612117,8.0
0.09,0.33,0.1064164,0.06244951,0.83113409,0.7062350700000001,0.7686845800000001,8.0
0.09,0.35,0.10615239,0.06134418,0.83250343,0.7098150700000001,0.7711592500000001,8.0
0.09,0.37,0.1058903,0.06027972,0.83382998,0.71327054,0.7735502599999999,8.0
0.09,0.39,0.10563007,0.0592538,0.83511613,0.7166085299999999,0.7758623299999999,8.0
0.09,0.41,0.10537167,0.05826428,0.83636405,0.71983549,0.7780997700000001,8.0
0.09,0.43,0.10511504,0.05730917,0.83757579,0.72295745,0.78026662,8.0
0.09,0.45,0.10486016,0.05638664,0.83875321,0.72597993,0.78236657,8.0
0.09,0.47,0.10460698,0.05549497,0.83989805,0.72890811,0.7844030799999999,8.0
0.09,0.49,0.10435547,0.05463259,0.84101194,0.73174676,0.78637935,8.0
0.11,0.01,0.11095318,0.10845621,0.78059061,0.56367819,0.6721344,9.0
0.11,0.03,0.11064061,0.10551302,0.78384637,0.57282033,0.6783333500000001,9.0
0.11,0.05,0.11033218,0.10274626,0.78692156,0.58142904,0.6841753,9.0
0.11,0.07,0.11002763,0.10013895,0.78983342,0.58955552,0.6896944700000001,9.0
0.11,0.09,0.10972672,0.09767641,0.79259688,0.59724406,0.6949204699999999,9.0
0.11,0.11,0.10942924,0.09534581,0.79522495,0.60453333,0.6998791400000001,9.0
0.11,0.13,0.10913501,0.09313592,0.79772907,0.6114572300000001,0.70459315,9.0
0.11,0.15,0.10884387,0.09103682,0.80011931,0.61804567,0.70908249,9.0
0.11,0.17,0.10855567,0.08903973,0.8024046,0.6243251400000001,0.71336487,9.0
0.11,0.19,0.10827029,0.08713682,0.80459289,0.63031925,0.71745607,9.0
0.11,0.21,0.1079876,0.0853211,0.8066913,0.6360491,0.7213702,9.0
0.11,0.23,0.1077075,0.08358628,0.80870622,0.64153366,0.72511994,8.0
0.11,0.25,0.10742988,0.08192672,0.8106434,0.64678996,0.72871668,8.0
