file,R,G,B,correct
output0001.jpg,2,7,11,True
output0002.jpg,5,4,11,True
output0003.jpg,1,7,12,True
output0004.jpg,0,6,14,True
output0005.jpg,3,6,11,True
output0006.jpg,4,5,11,True
output0007.jpg,12,3,5,True
output0008.jpg,5,4,11,True
output0009.jpg,4,5,11,True
output0010.jpg,5,5,10,True
output0011.jpg,4,5,11,True
output0012.jpg,2,7,11,True
output0013.jpg,2,6,12,True
output0014.jpg,4,4,12,True
output0015.jpg,6,4,10,True
output0016.jpg,4,5,11,True
output0017.jpg,3,5,12,True
output0018.jpg,3,5,12,True
output0019.jpg,2,6,12,True
output0020.jpg,3,6,11,True
output0021.jpg,6,4,10,True
output0022.jpg,2,6,12,True
output0023.jpg,6,5,9,True
output0024.jpg,0,7,13,True
output0025.jpg,2,6,12,True
output0026.jpg,2,5,13,True
output0027.jpg,3,5,12,True
output0028.jpg,3,5,12,True
output0029.jpg,5,4,11,True
output0030.jpg,3,6,11,True
output0031.jpg,4,7,9,True
output0032.jpg,1,8,11,True
output0033.jpg,2,8,10,True
output0034.jpg,3,6,11,True
output0035.jpg,4,5,11,True
output0036.jpg,4,6,10,True
output0037.jpg,5,6,9,True
output0038.jpg,4,5,11,True
output0039.jpg,6,4,10,True
output0040.jpg,4,5,11,True
output0041.jpg,3,6,11,True
output0042.jpg,7,4,9,True
output0043.jpg,3,4,13,True
output0044.jpg,4,5,11,True
output0045.jpg,5,5,10,True
output0046.jpg,4,4,12,True
output0047.jpg,6,4,10,True
output0048.jpg,6,3,11,True
output0049.jpg,7,3,10,True
output0050.jpg,6,4,10,True
output0051.jpg,7,2,11,True
output0052.jpg,4,3,13,True
output0053.jpg,7,3,10,True
output0054.jpg,7,4,9,True
output0055.jpg,7,3,10,True
output0056.jpg,10,2,8,True
output0057.jpg,8,4,8,True
output0058.jpg,7,5,8,True
output0059.jpg,7,5,8,True
output0060.jpg,7,4,9,True
output0061.jpg,4,7,9,True
output0062.jpg,6,6,8,True
output0063.jpg,6,5,9,True
output0064.jpg,6,4,10,True
output0065.jpg,8,5,7,True
output0066.jpg,5,8,7,True
output0067.jpg,5,8,7,True
output0068.jpg,2,9,9,True
output0069.jpg,5,7,8,True
output0070.jpg,5,9,6,True
output0071.jpg,6,6,8,True
output0072.jpg,6,6,8,True
output0073.jpg,6,7,7,True
output0074.jpg,5,7,7,False
output0075.jpg,5,7,8,True
output0076.jpg,1,8,11,True
output0077.jpg,7,7,5,False
output0078.jpg,5,8,6,False
output0079.jpg,5,6,9,True
output0080.jpg,7,5,7,False
output0081.jpg,6,5,8,False
output0082.jpg,3,6,10,False
output0083.jpg,6,5,9,True
output0084.jpg,7,5,8,True
output0085.jpg,7,6,6,False
output0086.jpg,1,11,8,True
output0087.jpg,3,10,7,True
output0088.jpg,5,9,6,True
output0089.jpg,5,9,6,True
output0090.jpg,1,14,5,True
output0091.jpg,4,12,4,True
output0092.jpg,5,11,4,True
output0093.jpg,3,11,5,False
output0094.jpg,3,8,8,False
output0095.jpg,3,9,7,False
output0096.jpg,5,8,6,False
output0097.jpg,4,8,7,False
output0098.jpg,6,6,7,False
output0099.jpg,5,6,8,False
output0100.jpg,6,5,8,False
output0101.jpg,4,6,9,False
output0102.jpg,7,7,5,False
output0103.jpg,6,6,8,True
output0104.jpg,6,7,6,False
output0105.jpg,6,8,5,False
output0106.jpg,6,9,4,False
output0107.jpg,4,11,4,False
output0108.jpg,5,10,4,False
output0109.jpg,6,9,4,False
output0110.jpg,6,9,4,False
output0111.jpg,8,8,4,True
output0112.jpg,7,9,4,True
output0113.jpg,6,7,6,False
output0114.jpg,5,8,6,False
output0115.jpg,4,8,7,False
output0116.jpg,4,8,7,False
output0117.jpg,2,11,6,False
output0118.jpg,4,12,4,True
output0119.jpg,6,10,3,False
output0120.jpg,8,8,4,True
output0121.jpg,7,9,4,True
output0122.jpg,5,9,5,False
output0123.jpg,7,8,4,False
output0124.jpg,4,10,5,False
output0125.jpg,5,8,6,False
output0126.jpg,4,9,6,False
output0127.jpg,4,9,6,False
output0128.jpg,6,7,6,False
output0129.jpg,6,8,5,False
output0130.jpg,7,8,4,False
output0131.jpg,9,7,4,True
output0132.jpg,5,10,4,False
output0133.jpg,4,10,5,False
output0134.jpg,5,9,5,False
output0135.jpg,4,10,5,False
output0136.jpg,6,8,5,False
output0137.jpg,5,7,7,False
output0138.jpg,6,7,6,False
output0139.jpg,4,7,8,False
output0140.jpg,6,6,7,False
output0141.jpg,5,6,8,False
output0142.jpg,5,7,7,False
output0143.jpg,4,8,7,False
output0144.jpg,6,7,6,False
output0145.jpg,7,6,6,False
output0146.jpg,5,7,7,False
output0147.jpg,6,7,6,False
output0148.jpg,6,7,6,False
output0149.jpg,5,7,7,False
output0150.jpg,4,8,7,False
output0151.jpg,5,8,7,True
output0152.jpg,5,8,6,False
output0153.jpg,6,8,5,False
output0154.jpg,6,10,4,True
output0155.jpg,7,7,6,True
output0156.jpg,7,7,6,True
output0157.jpg,7,8,5,True
output0158.jpg,6,9,5,True
output0159.jpg,5,8,7,True
output0160.jpg,3,9,8,True
output0161.jpg,8,7,5,True
output0162.jpg,4,9,7,True
output0163.jpg,7,8,5,True
output0164.jpg,4,10,5,False
output0165.jpg,3,10,6,False
output0166.jpg,5,9,5,False
output0167.jpg,4,10,5,False
output0168.jpg,4,10,5,False
output0169.jpg,5,9,5,False
output0170.jpg,7,7,5,False
output0171.jpg,6,8,5,False
output0172.jpg,5,8,6,False
output0173.jpg,4,7,8,False
output0174.jpg,6,6,7,False
output0175.jpg,4,8,7,False
output0176.jpg,3,10,6,False
output0177.jpg,4,8,7,False
output0178.jpg,4,7,8,False
output0179.jpg,6,5,8,False
output0180.jpg,6,5,8,False
output0181.jpg,3,8,8,False
output0182.jpg,6,5,8,False
output0183.jpg,2,7,10,False
output0184.jpg,3,7,9,False
output0185.jpg,4,6,9,False
output0186.jpg,3,7,9,False
output0187.jpg,5,6,8,False
output0188.jpg,2,7,10,False
output0189.jpg,6,5,8,False
output0190.jpg,5,6,8,False
output0191.jpg,6,5,8,False
output0192.jpg,5,6,8,False
output0193.jpg,7,5,7,False
output0194.jpg,7,5,7,False
output0195.jpg,5,6,8,False
output0196.jpg,5,6,8,False
output0197.jpg,5,6,8,False
output0198.jpg,6,6,7,False
output0199.jpg,5,6,8,False
output0200.jpg,5,6,8,False
output0201.jpg,4,7,8,False
output0202.jpg,3,7,9,False
output0203.jpg,5,6,8,False
output0204.jpg,1,9,9,False
output0205.jpg,5,7,7,False
output0206.jpg,2,8,9,False
output0207.jpg,6,6,7,False
output0208.jpg,5,8,6,False
output0209.jpg,1,11,7,False
output0210.jpg,3,9,7,False
output0211.jpg,5,8,6,False
output0212.jpg,5,7,7,False
output0213.jpg,5,8,6,False
output0214.jpg,7,7,5,False
