file,R,G,B,correct
output0001.jpg,5,9,6,True
output0002.jpg,2,11,7,True
output0003.jpg,2,11,7,True
output0004.jpg,0,12,8,True
output0005.jpg,0,12,8,True
output0006.jpg,0,12,8,True
output0007.jpg,0,13,7,True
output0008.jpg,8,5,7,True
output0009.jpg,7,5,8,True
output0010.jpg,8,3,9,True
output0011.jpg,11,4,5,True
output0012.jpg,9,4,7,True
output0013.jpg,6,4,10,True
output0014.jpg,2,6,12,True
output0015.jpg,1,6,13,True
output0016.jpg,1,7,12,True
output0017.jpg,0,7,13,True
output0018.jpg,0,6,14,True
output0019.jpg,3,5,12,True
output0020.jpg,2,6,12,True
output0021.jpg,4,5,11,True
output0022.jpg,8,3,9,True
output0023.jpg,7,5,8,True
output0024.jpg,8,6,6,True
output0025.jpg,6,9,5,True
output0026.jpg,4,9,7,True
output0027.jpg,5,9,6,True
output0028.jpg,2,9,9,True
output0029.jpg,1,9,10,True
output0030.jpg,4,7,9,True
output0031.jpg,2,8,10,True
output0032.jpg,3,8,9,True
output0033.jpg,4,8,8,True
output0034.jpg,2,10,8,True
output0035.jpg,5,8,7,True
output0036.jpg,1,11,8,True
output0037.jpg,2,12,6,True
output0038.jpg,6,10,4,True
output0039.jpg,6,12,2,True
output0040.jpg,9,8,3,True
output0041.jpg,9,8,3,True
output0042.jpg,7,9,4,True
output0043.jpg,9,7,4,True
output0044.jpg,6,7,7,True
output0045.jpg,2,9,9,True
output0046.jpg,3,7,10,True
output0047.jpg,2,8,10,True
output0048.jpg,1,6,13,True
output0049.jpg,1,6,13,True
output0050.jpg,1,6,13,True
output0051.jpg,3,6,11,True
output0052.jpg,3,6,11,True
output0053.jpg,4,4,12,True
output0054.jpg,4,3,13,True
output0055.jpg,5,3,12,True
output0056.jpg,6,3,11,True
output0057.jpg,5,2,13,True
output0058.jpg,3,3,14,True
output0059.jpg,3,3,14,True
output0060.jpg,3,2,15,True
output0061.jpg,3,3,14,True
output0062.jpg,3,3,14,True
output0063.jpg,3,3,14,True
output0064.jpg,3,3,14,True
output0065.jpg,3,4,13,True
output0066.jpg,5,3,12,True
output0067.jpg,6,3,11,True
output0068.jpg,4,2,14,True
output0069.jpg,4,1,15,True
output0070.jpg,4,1,15,True
output0071.jpg,5,0,15,True
output0072.jpg,2,1,17,True
output0073.jpg,2,1,17,True
output0074.jpg,3,1,16,True
output0075.jpg,1,2,17,True
output0076.jpg,2,2,16,True
