arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20.0,6.5,0.3,0.3,7,10,0.3,0.1464630542,0.3128327265,0.5407042193,0.0435685825,0.0656070936,0.0702953684,-0.0849612337,0.1919729618,,,,,,,,
20.0,6.5,0.3,0.3,7,10,0.6,0.1298949097,0.2468691369,0.6232359535,0.0424099437,0.0786853989,0.0859024024,0.1294976797,0.235984774,,,,,,,,
20.0,6.5,0.3,0.3,7,10,0.9,0.1102680089,0.0888174484,0.8009145427,0.0399361158,0.0654695753,0.0768503184,0.6232796459,0.2006133579,,,,,,,,
