2,4,5,6,7,9,10,11,13,16
52001170.34327386,18578664.93949843,76682268.47580378,45779648.32700685,70116315.10729092,35667355.96031296,87139467.2278082,63769352.261620626,24283365.72595088,74731162.69390938
149421508.48766816,61382497.78359659,233263164.12796533,162203727.86770964,240654326.96866018,122125710.86135909,309801805.08849925,209952697.75468242,73571659.03525327,264248702.76489606
314288115.8866708,130018170.4527368,492247397.7477647,353135159.0873282,518518267.30909336,264228819.54419672,673223812.9029756,451687929.8966899,152598581.8674194,577403370.0119326
532568798.9162822,223507632.61856616,843228166.0812364,615605267.3990015,896189154.2030964,459793582.31083244,1170434262.07296,785721611.3531895,260636267.68238685,1013645893.9227592
811566173.4363508,341226617.5379917,1292004199.3368535,949620905.6921943,1376920573.262428,708676908.1993608,1800620380.768878,1210163620.5665827,395339050.3264423,1568836738.0636125
1139736727.1721532,482463827.8407847,1829315248.8775837,1353444885.8124595,1956504387.628017,1010141851.2887057,2559285010.8667226,1740397434.532568,562727823.4685365,2241525928.498641
1520557317.778301,646626302.53685,2461413987.461938,1824890415.2060485,2635444752.5853043,1362907776.384038,3440092111.5466366,2356725893.182454,756416969.239398,3030191071.625716
1954632201.8313797,833334447.4646847,3180670937.7241,2362326262.1993637,3406842434.4290285,1765154945.3984747,4440472986.3056555,3057794471.4868813,977542793.3375106,3932645086.4839683
2434950078.2100353,1041977320.9140995,3989696390.115982,2963996222.2796016,4270296951.7978888,2216070977.2933598,5556427592.784882,3839673623.2266703,1225315250.577002,4945751806.068943
2965472738.8408146,1272048392.0657372,4884807838.742773,3629389935.64655,5225628563.88496,2715304181.9028544,6784552413.1361885,4702782885.044111,1498214912.104607,6068724418.239212
3539259649.361673,1523426751.6454015,5864675365.367276,4355918471.218712,6271339597.875169,3261369924.0719123,8119690115.170109,5644185435.214872,1796680707.8063037,7299447173.172199
4162093660.2119107,1794990915.681941,6928678088.619825,5141115568.422857,7398600795.37183,3853869450.1408234,9556022754.472488,6659258117.942631,2120355231.0486326,8634489880.480724
4820665624.978126,2086477058.0328302,8067068982.433983,5983007194.98896,8606812180.142132,4489037354.33482,11092368304.443249,7750067136.714653,2466997196.797023,10072900081.878155
