time,f0,f1,f2
0.0,1.0,0.0,0.0
0.002242596783283524,0.999,0.001,0.0
0.008136308909272314,0.998,0.002,0.0
0.011267287326769251,0.997,0.003,0.0
0.028566279407125694,0.996,0.004,0.0
0.06098519621176766,0.995,0.004,0.001
0.07467021677299714,0.994,0.005,0.001
0.07743488724634248,0.993,0.006,0.001
0.08646229464066607,0.992,0.007,0.001
0.08666432718268006,0.991,0.007,0.002
0.08824858439578347,0.99,0.007,0.003
0.09184035068040798,0.989,0.008,0.003
0.1038896879583244,0.988,0.008,0.004
0.10685030851588918,0.987,0.009,0.004
0.11563830962312678,0.986,0.01,0.004
0.13206622567237936,0.985,0.01,0.005
0.13774131743185983,0.984,0.01,0.006
0.14452172535916924,0.983,0.011,0.006
0.14562967533806803,0.982,0.011,0.007
0.15076522103381468,0.981,0.012,0.007
0.16745941027670377,0.98,0.013,0.007
0.17240503345328315,0.979,0.014,0.007
0.1853850289616062,0.978,0.015,0.007
0.18573897734813838,0.977,0.015,0.008
0.19200184253543576,0.976,0.015,0.009
0.19590715722409618,0.975,0.015,0.01
0.19618597156789488,0.974,0.016,0.01
0.19988199257277597,0.973,0.016,0.011
0.20018291081236236,0.972,0.016,0.012
0.2042082650443487,0.971,0.016,0.013
0.21382326936729193,0.97,0.017,0.013
0.21689023008993494,0.969,0.018,0.013
0.22199926681912382,0.968,0.018,0.014
0.2247903977715273,0.967,0.019,0.014
0.22622294284105227,0.966,0.019,0.015
0.2265062451593698,0.965,0.02,0.015
0.22682411384975626,0.964,0.02,0.016
0.23951970953184826,0.963,0.021,0.016
0.24643238139075943,0.962,0.021,0.017
0.25613726156005684,0.961,0.022,0.017
0.2647378573562305,0.96,0.022,0.018
0.2697341657392323,0.959,0.023,0.018
0.27501190116137353,0.958,0.023,0.019
0.28175293875966195,0.957,0.023,0.02
0.28365314617451515,0.956,0.023,0.021
0.28409280190992137,0.955,0.024,0.021
0.28681448397476705,0.954,0.025,0.021
0.31037105738871085,0.953,0.026,0.021
0.3166934154897994,0.952,0.026,0.022
0.32796037061770966,0.951,0.027,0.022
0.331620559099347,0.95,0.027,0.023
0.3381510120791648,0.949,0.027,0.024
0.3396594826309849,0.948,0.028,0.024
0.3542535152851386,0.947,0.029,0.024
0.3563551576265414,0.946,0.03,0.024
0.36080550031257047,0.945,0.031,0.024
0.3717060959588315,0.944,0.031,0.025
0.37601755540314663,0.943,0.031,0.026
0.3802481037757784,0.942,0.032,0.026
0.3814621652628659,0.941,0.033,0.026
0.38207044643191407,0.94,0.033,0.027
0.39051933531975636,0.939,0.033,0.028
0.4138505420771786,0.938,0.034,0.028
0.42906851750254055,0.937,0.034,0.029
0.42945124806510443,0.936,0.035,0.029
0.431958897548333,0.935,0.035,0.03
0.4355352599479682,0.934,0.035,0.031
0.43714759392866676,0.933,0.035,0.032
0.4456866422719875,0.932,0.035,0.033
0.44688390443733744,0.931,0.035,0.034
0.45307450676809014,0.93,0.035,0.035
0.45920974448525265,0.931,0.034,0.035
0.47776171423160463,0.93,0.034,0.036
0.4789352339076198,0.929,0.035,0.036
0.4791284841737308,0.928,0.035,0.037
0.47917793999836045,0.927,0.036,0.037
0.47963068008519316,0.926,0.036,0.038
0.48157867480115046,0.925,0.037,0.038
0.4882906236970182,0.924,0.038,0.038
0.5083834822461705,0.923,0.038,0.039
0.5109784449538496,0.922,0.039,0.039
0.5120388323295663,0.921,0.04,0.039
0.515227294317801,0.92,0.04,0.04
0.5456436942635831,0.919,0.041,0.04
0.5533095647092297,0.918,0.042,0.04
0.554822675641786,0.919,0.041,0.04
0.5567534103255332,0.918,0.041,0.041
0.5585361771168117,0.917,0.042,0.041
0.5595089658967557,0.916,0.042,0.042
0.5648788955308478,0.915,0.043,0.042
0.5654176337023072,0.914,0.043,0.043
0.5696718541338408,0.913,0.044,0.043
0.5727714300519,0.912,0.045,0.043
0.5735715040951403,0.911,0.045,0.044
0.5851829433863043,0.91,0.045,0.045
0.5957205471710113,0.909,0.046,0.045
0.598681574162278,0.91,0.045,0.045
0.6003699183619412,0.909,0.046,0.045
0.6203229089018159,0.908,0.046,0.046
0.6322182539848075,0.907,0.047,0.046
0.6342206843006503,0.906,0.048,0.046
0.6342789158170029,0.905,0.048,0.047
0.6401587169060607,0.904,0.049,0.047
0.6534420301563457,0.903,0.05,0.047
0.6685207448798234,0.902,0.05,0.048
0.6767425069712739,0.901,0.05,0.049
0.6835494625325218,0.9,0.05,0.05
0.6947459390327406,0.899,0.051,0.05
0.7021843430187215,0.898,0.052,0.05
0.7186134868999212,0.897,0.052,0.051
0.7354601209399898,0.896,0.052,0.052
0.7403332903299294,0.895,0.053,0.052
0.7478565985933042,0.896,0.053,0.051
0.7510747129963264,0.895,0.053,0.052
0.7580158742823899,0.894,0.054,0.052
0.7661036281275284,0.893,0.055,0.052
0.7769097664297399,0.892,0.055,0.053
0.7791733756468829,0.891,0.055,0.054
0.8085934105753678,0.89,0.055,0.055
0.8165570645080645,0.889,0.056,0.055
0.8192908497275438,0.888,0.057,0.055
0.8250149139905534,0.887,0.058,0.055
0.8271660716242331,0.886,0.059,0.055
0.8323906605189528,0.885,0.059,0.056
0.8347881888769586,0.884,0.06,0.056
0.8516984218744785,0.885,0.06,0.055
0.8604801194011884,0.886,0.059,0.055
0.8686786374147842,0.885,0.059,0.056
0.8704907644279576,0.884,0.059,0.057
0.8765655194743222,0.883,0.06,0.057
0.878028789249329,0.882,0.06,0.058
0.8882205492559389,0.881,0.061,0.058
0.8964517171168557,0.88,0.061,0.059
0.90340482903548,0.881,0.06,0.059
0.9064679842779301,0.88,0.06,0.06
0.9127084202018747,0.879,0.061,0.06
0.9152960094079851,0.878,0.062,0.06
0.9157176644703391,0.877,0.062,0.061
0.9159048269064972,0.876,0.062,0.062
0.9232689251104563,0.875,0.062,0.063
0.9320689509329693,0.874,0.062,0.064
0.9330123155801263,0.873,0.062,0.065
0.9548260428782092,0.872,0.063,0.065
0.9627367097268816,0.871,0.063,0.066
0.9643318920580624,0.87,0.063,0.067
0.9767671668599287,0.869,0.063,0.068
0.9844067031026751,0.87,0.062,0.068
0.9871103651425723,0.869,0.062,0.069
0.9913837354127046,0.868,0.063,0.069
0.9936382974138476,0.867,0.064,0.069
0.9965991095151692,0.866,0.065,0.069
1.0123659558027853,0.865,0.066,0.069
1.0178145918329649,0.864,0.067,0.069
1.0183746827035787,0.863,0.068,0.069
1.020961005806221,0.862,0.068,0.07
1.0308291011355266,0.861,0.068,0.071
1.0364658677446135,0.86,0.069,0.071
1.0411231107538588,0.859,0.069,0.072
1.045342313669957,0.858,0.07,0.072
1.0597615297895837,0.857,0.071,0.072
1.0613358013080352,0.856,0.071,0.073
1.0626654385493608,0.855,0.072,0.073
1.0628717703599693,0.854,0.072,0.074
1.071101744654501,0.853,0.072,0.075
1.0782856076156455,0.852,0.073,0.075
1.0836044801694487,0.851,0.073,0.076
1.0916620672024175,0.85,0.073,0.077
1.0934934200750477,0.849,0.074,0.077
1.0942965556251558,0.848,0.075,0.077
1.0949052278804865,0.847,0.076,0.077
1.095132627046992,0.848,0.075,0.077
1.0957422280587048,0.847,0.076,0.077
1.1036493495216713,0.846,0.077,0.077
1.112959215447359,0.845,0.077,0.078
1.1312647829494917,0.844,0.077,0.079
1.1334355852663494,0.843,0.077,0.08
1.141403985190259,0.842,0.077,0.081
1.1441641581417719,0.841,0.077,0.082
1.1517487348728297,0.84,0.077,0.083
1.1600982365594885,0.841,0.077,0.082
1.160374114860057,0.84,0.078,0.082
1.162876632468722,0.839,0.078,0.083
1.1650402492989076,0.838,0.079,0.083
1.169403192412492,0.837,0.079,0.084
1.1700730248389002,0.836,0.079,0.085
1.1745691329742272,0.835,0.08,0.085
1.177856161897249,0.834,0.08,0.086
1.1789359362904646,0.833,0.081,0.086
1.1829613404854817,0.832,0.082,0.086
1.1916222849412774,0.831,0.083,0.086
1.196855328636536,0.83,0.083,0.087
1.1976641775507817,0.829,0.083,0.088
1.1976828652855505,0.828,0.084,0.088
1.1989345809348937,0.827,0.084,0.089
1.2057300000715832,0.828,0.083,0.089
1.2123815092398804,0.827,0.084,0.089
1.2175807128901333,0.826,0.085,0.089
1.2199738229146613,0.825,0.085,0.09
1.2215651986747902,0.824,0.086,0.09
