time,f0,f1,f2
0.0,1.0,0.0,0.0
0.0055972731293137045,0.998,0.0,0.002
0.027026249829211303,0.996,0.002,0.002
0.030737843209253702,0.994,0.002,0.004
0.06165100570405389,0.992,0.002,0.006
0.09330585407560762,0.99,0.002,0.008
0.11263490291062482,0.988,0.002,0.01
0.11981272167638263,0.986,0.004,0.01
0.14885885436201995,0.984,0.006,0.01
0.15311423354852471,0.982,0.006,0.012
0.1703944126021531,0.98,0.008,0.012
0.1708970088404914,0.978,0.01,0.012
0.18904870643180655,0.976,0.012,0.012
0.22059338109712248,0.974,0.012,0.014
0.22822933273581408,0.972,0.014,0.014
0.23094539141427656,0.974,0.014,0.012
0.23408798426363142,0.972,0.016,0.012
0.2726620715150331,0.97,0.018,0.012
0.2946983981632049,0.968,0.018,0.014
0.33285056630203014,0.966,0.018,0.016
0.4080928367540651,0.968,0.018,0.014
0.43128462433063475,0.966,0.018,0.016
0.45850463099976296,0.964,0.02,0.016
0.48952202103687004,0.962,0.022,0.016
0.5090831119212944,0.96,0.024,0.016
0.5136490869874336,0.958,0.026,0.016
0.5263062117980944,0.956,0.026,0.018
0.554709447758035,0.954,0.028,0.018
0.5772583184633777,0.952,0.028,0.02
0.5890290725476026,0.95,0.028,0.022
0.6325164729052939,0.948,0.03,0.022
0.6390704085212161,0.946,0.032,0.022
0.6827114750679397,0.944,0.034,0.022
0.6888704170635748,0.942,0.034,0.024
0.7106042525564711,0.94,0.036,0.024
0.7235690060061121,0.938,0.036,0.026
0.7266337361006443,0.936,0.036,0.028
0.7280203040504866,0.934,0.036,0.03
0.7358874928549394,0.932,0.036,0.032
0.7543923240765441,0.93,0.036,0.034
0.779130251551163,0.928,0.036,0.036
0.7810259405533077,0.926,0.038,0.036
0.7841474463593063,0.928,0.036,0.036
0.8206060157732732,0.926,0.036,0.038
0.8246295594521994,0.924,0.036,0.04
0.8263096698877381,0.922,0.036,0.042
0.8270868246341069,0.92,0.036,0.044
0.8596976477362526,0.918,0.038,0.044
0.8794181700265729,0.916,0.04,0.044
0.9066095079283666,0.914,0.042,0.044
0.9097762535657601,0.912,0.044,0.044
0.9446467613531097,0.91,0.046,0.044
0.9677043863080105,0.908,0.046,0.046
0.9806178518577878,0.906,0.046,0.048
0.9887467697217316,0.904,0.046,0.05
0.9927939898587418,0.902,0.046,0.052
1.0241869723415573,0.9,0.046,0.054
1.0247546470412998,0.898,0.046,0.056
1.032396928288714,0.896,0.046,0.058
1.0382309075882623,0.894,0.046,0.06
1.0397737222024084,0.892,0.046,0.062
1.0467238106319796,0.89,0.048,0.062
1.0548620180773245,0.888,0.048,0.064
1.0550445905103645,0.886,0.05,0.064
1.0573954848067135,0.884,0.05,0.066
1.0611393792856654,0.882,0.052,0.066
1.105315258237135,0.88,0.052,0.068
1.1213692141040237,0.878,0.054,0.068
1.1325259128611997,0.876,0.054,0.07
1.1327048738662164,0.874,0.056,0.07
1.1365607800143898,0.872,0.056,0.072
1.1450505913680908,0.87,0.058,0.072
1.146459752038707,0.868,0.06,0.072
1.1498189191502493,0.866,0.06,0.074
1.1511595790919107,0.864,0.06,0.076
1.171239299028106,0.866,0.058,0.076
1.1727994633262553,0.864,0.06,0.076
1.1750758833044028,0.862,0.062,0.076
1.18675044864141,0.86,0.064,0.076
1.197556675570491,0.858,0.064,0.078
1.202170781436497,0.856,0.066,0.078
1.2129511618436086,0.854,0.066,0.08
1.2148632687769878,0.852,0.066,0.082
1.2184511564912535,0.85,0.066,0.084
1.2285512758090777,0.852,0.064,0.084
1.2603388745111919,0.854,0.064,0.082
1.313104804285019,0.856,0.064,0.08
1.337466525426921,0.854,0.064,0.082
1.3670480877591895,0.852,0.064,0.084
1.3714598099374729,0.85,0.066,0.084
1.3866044534593696,0.848,0.066,0.086
1.3977435290086488,0.846,0.068,0.086
1.401139529435262,0.848,0.068,0.084
1.440861425940752,0.85,0.066,0.084
1.4827418425983974,0.848,0.066,0.086
1.491413467326781,0.846,0.068,0.086
1.49273844534122,0.844,0.07,0.086
1.4984174427197472,0.846,0.068,0.086
1.5018156253942254,0.844,0.068,0.088
1.5052161320912378,0.846,0.068,0.086
1.508713688347581,0.848,0.068,0.084
1.5105799419139876,0.846,0.068,0.086
1.516286092473787,0.844,0.07,0.086
1.5195988469636232,0.842,0.07,0.088
1.5324659266130138,0.844,0.07,0.086
1.5406641080049555,0.842,0.07,0.088
1.5426006330391666,0.84,0.07,0.09
1.5488287193466157,0.838,0.07,0.092
1.553022644151142,0.836,0.072,0.092
1.5697654541747192,0.834,0.074,0.092
1.5751346910067467,0.832,0.076,0.092
1.615585558188678,0.834,0.074,0.092
1.616459742681623,0.836,0.072,0.092
1.649365107126727,0.838,0.07,0.092
1.65542264691315,0.836,0.07,0.094
1.6901636471939907,0.834,0.07,0.096
1.6990386942325113,0.836,0.07,0.094
1.7076568219696164,0.834,0.072,0.094
1.7113486036689884,0.836,0.072,0.092
1.732693207863042,0.834,0.072,0.094
1.764810148816608,0.832,0.074,0.094
1.768772945102197,0.83,0.076,0.094
1.774619978675399,0.828,0.078,0.094
1.7809758388026486,0.826,0.08,0.094
1.7862393363530837,0.824,0.082,0.094
1.788557666869367,0.822,0.082,0.096
1.7901516877166819,0.82,0.084,0.096
1.7907682796136282,0.818,0.086,0.096
1.8056049986542826,0.816,0.086,0.098
1.806046062845082,0.814,0.088,0.098
1.8268615156094474,0.812,0.09,0.098
1.8312834338400883,0.814,0.09,0.096
1.8374108685034243,0.816,0.09,0.094
1.8374935146242743,0.814,0.092,0.094
1.8383665995161647,0.812,0.094,0.094
1.839433535793567,0.814,0.092,0.094
1.8436768652227629,0.812,0.092,0.096
1.8548740237752321,0.81,0.092,0.098
1.8794045711247733,0.808,0.094,0.098
1.8885235615585156,0.81,0.092,0.098
1.9088523731078355,0.808,0.092,0.1
1.9271153991785577,0.81,0.092,0.098
1.9348817252972672,0.808,0.092,0.1
1.9457222323559942,0.81,0.09,0.1
1.964785103612942,0.808,0.09,0.102
1.9661126522605628,0.806,0.092,0.102
1.9692387762508368,0.804,0.094,0.102
1.9994718161453886,0.802,0.094,0.104
2.0027087572089726,0.8,0.096,0.104
2.0146913904651482,0.802,0.096,0.102
2.019092725135767,0.8,0.096,0.104
2.022452090451778,0.798,0.098,0.104
2.055612102649859,0.796,0.1,0.104
2.058439763433703,0.794,0.1,0.106
2.062108849555693,0.792,0.102,0.106
2.0637081921592424,0.79,0.102,0.108
2.0948367607974077,0.788,0.102,0.11
2.103483575444986,0.786,0.102,0.112
2.106199762674735,0.784,0.102,0.114
2.110806007387977,0.782,0.104,0.114
2.112280367827067,0.78,0.104,0.116
2.1275484406887486,0.778,0.106,0.116
2.1333759978523337,0.776,0.108,0.116
2.137732156451679,0.774,0.108,0.118
2.1426805626748178,0.772,0.108,0.12
2.1435883348483076,0.77,0.11,0.12
2.1544329825141944,0.768,0.11,0.122
2.1620985492535727,0.766,0.112,0.122
2.166585517067679,0.764,0.112,0.124
2.1691354968587215,0.766,0.112,0.122
2.1698090150914218,0.768,0.11,0.122
2.171924630908154,0.77,0.108,0.122
2.17404471995858,0.772,0.108,0.12
2.1777517074375945,0.77,0.108,0.122
2.179208400072738,0.768,0.11,0.122
2.1801608477273846,0.766,0.112,0.122
2.1819715382184173,0.764,0.112,0.124
2.1842738805016064,0.762,0.114,0.124
2.189386109998569,0.76,0.114,0.126
2.2101020614621287,0.758,0.116,0.126
2.224573992472148,0.76,0.116,0.124
2.2248514337465526,0.758,0.116,0.126
2.2273153411249766,0.756,0.116,0.128
2.2283699399410066,0.754,0.118,0.128
2.2381565207706706,0.752,0.118,0.13
2.251189577025569,0.75,0.12,0.13
2.2639163738769135,0.748,0.12,0.132
2.2843544202436106,0.746,0.12,0.134
2.286869910581453,0.744,0.12,0.136
2.296575683114585,0.742,0.122,0.136
2.300998363164853,0.744,0.12,0.136
2.3068273598773534,0.746,0.12,0.134
2.3365836448179396,0.748,0.12,0.132
2.3476219024709453,0.746,0.12,0.134
2.3510560886672707,0.744,0.12,0.136
2.3650326348759605,0.746,0.12,0.134
2.3683721780892815,0.744,0.122,0.134
2.380120662478348,0.742,0.124,0.134
2.384864115871559,0.74,0.126,0.134
2.4095299088534357,0.742,0.124,0.134
2.417811176301219,0.74,0.126,0.134
2.4265515977964136,0.742,0.124,0.134
2.441056107042165,0.744,0.122,0.134
2.4775562499040515,0.746,0.12,0.134
2.4785812206077957,0.744,0.122,0.134
2.484256946907464,0.746,0.122,0.132
2.487796046357167,0.744,0.124,0.132
2.4882691359491047,0.742,0.126,0.132
2.496225118942725,0.74,0.128,0.132
2.4963947135184137,0.738,0.13,0.132
2.517071338318699,0.736,0.132,0.132
2.5262733565531534,0.738,0.132,0.13
2.5269504529547904,0.736,0.134,0.13
2.544390622733469,0.734,0.136,0.13
2.573298676781156,0.732,0.138,0.13
2.575748074903662,0.734,0.138,0.128
2.5785561677916324,0.732,0.138,0.13
