pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
0.15,0.5,0.1950845461615372,0.3125697144761701,0.492345739362293,0.0123740708309804,0.0228997392128922,0.0241016874907233,-0.1327936895900471,0.0699011659165079
0.15,0.55,0.1867373625152756,0.3023019664481731,0.5109606710365528,0.0120739440531442,0.0259153349179676,0.0272503457216537,-0.0936432618597933,0.0790810155575889
0.15,0.6,0.1787215864903904,0.290856793689589,0.5304216198200173,0.0116470229660481,0.0290423032585723,0.030436887256498,-0.0512919675591606,0.0885214937736426
0.15,0.65,0.171284412843017,0.2742334185090537,0.5544821686479274,0.0114142596154591,0.0296101382557327,0.0309876129159664,0.0060153316298199,0.090207889427432
0.15,0.7,0.1641159871125421,0.2556044883901786,0.580279524497276,0.0112151034544913,0.031047508360699,0.0324667568725047,0.0690705477169187,0.0945617735939028
0.15,0.75,0.1574247305854888,0.2295929341184312,0.6129823352960801,0.0111093016830825,0.0320215179573048,0.0333630770485245,0.1537964670592176,0.0974061129631342
0.15,0.8,0.1507739140095531,0.1993062993000784,0.6499197866903649,0.0103930688175098,0.0305781703777017,0.0321544641552314,0.2513071880902079,0.093310804910635
0.15,0.85,0.1445353849572256,0.1613787356960339,0.6940858793467397,0.0102172021604695,0.0335074550411502,0.0351263032423549,0.3713284079546718,0.1021412133246554
0.15,0.9,0.1382441950894334,0.1152108654593939,0.7465449394511714,0.0097575797271968,0.0287718183439553,0.0305633805430833,0.5161232085323836,0.0881070172309941
0.15,0.95,0.1324138429063423,0.0612077546939225,0.8063784023997359,0.0086535762367929,0.0242394707925415,0.0260146094882313,0.6839628930118907,0.0744935510733144
0.2,0.05,0.242245083879569,0.352031996444842,0.4057229196755877,0.0134043498120807,0.0156059062360089,0.0159502036269515,-0.2983410732140963,0.0471620160989694
0.2,0.1,0.2341683146317095,0.3528826797022583,0.4129490056660334,0.0134360129805968,0.0160927523706432,0.0166414595834243,-0.2928163537384833,0.0488269643247108
0.2,0.15,0.2269046772580848,0.3519108987890246,0.4211844239528918,0.0131158352683879,0.0169922418272079,0.0175975183106349,-0.2826373736251574,0.0515820019650508
0.2,0.2,0.2196217086990358,0.3523456282635274,0.4280326630374394,0.0130595938260823,0.0176546051608582,0.01842574405875,-0.2766585934896153,0.0537349543804666
0.2,0.25,0.2124285079435623,0.3509087879124559,0.4366627041439849,0.013021632620211,0.018125654363287,0.0187781669019612,-0.2651548716809269,0.0550294756285354
0.2,0.3,0.2056218197977993,0.3493215198311306,0.4450566603710689,0.0126815118034603,0.0193397849051829,0.0202993954568186,-0.2535863792911923,0.0589789652671846
0.2,0.35,0.1988913454060657,0.3463182979668937,0.4547903566270408,0.0125559624428979,0.0195667151513453,0.0203557837889304,-0.2378462393067466,0.0594892140916212
0.2,0.4,0.1923817353627375,0.3414949450061125,0.4661233196311524,0.0123764757023315,0.0205275750042549,0.0213156518267924,-0.2168665703810727,0.0623708018353023
0.2,0.45,0.1861464281746479,0.3363496278191319,0.4775039440062222,0.0121536963177914,0.0228773219131309,0.0237211628672883,-0.1951953116320416,0.0694758066935502
0.2,0.5,0.1802380846572606,0.3313090767692487,0.4884528385734907,0.0117614473059675,0.0232560485523609,0.0240600596424272,-0.1741653149650067,0.0705721567471492
0.2,0.55,0.174354071769803,0.3240161093211882,0.5016298189090098,0.0118609563661135,0.0245832116700909,0.0255077124646314,-0.1464023997333665,0.0746741358048133
0.2,0.6,0.1684783912898562,0.3097760248861229,0.5217455838240198,0.0112295643880381,0.0250997885475164,0.0261523769622,-0.0978064659482259,0.0763519540572329
0.2,0.65,0.1632860793245183,0.3031823130763247,0.5335316075991564,0.0110503813194103,0.026496347388192,0.0275970514883142,-0.072833018553493,0.0805897462646982
0.2,0.7,0.1579291189867782,0.281615264970557,0.5604556160426623,0.0112356415922899,0.0272579624709164,0.0285114567978269,-0.0027749138984518,0.0830273817396597
0.2,0.75,0.1528212420842117,0.2603914009554496,0.5867873569603383,0.0107179671502963,0.0292233279997597,0.030648652319876,0.066004555049439,0.0890953083193954
0.2,0.8,0.1475579380068873,0.2327028107988012,0.6197392511943106,0.0104310116443942,0.032080942800788,0.0335867781898258,0.1543336295967082,0.0977486637914019
0.2,0.85,0.142513276302631,0.1942623041884236,0.6632244195089456,0.0102463362746662,0.030669129792044,0.0321410237557203,0.2746998111320983,0.0934792833398083
0.2,0.9,0.1372587490278844,0.1439647816909235,0.7187764692811898,0.0093547633351739,0.0329935108700617,0.0344197783196967,0.4308469058993426,0.1004068000598201
0.2,0.95,0.1320533274080647,0.0825898233529615,0.7853568492389726,0.0091194688127721,0.0265190573567579,0.0282511274116121,0.6201772025330495,0.0812892421251279
0.25,0.05,0.2062711920897671,0.3681345406065999,0.4255942673036309,0.0127998047732893,0.0159894134119542,0.0162336627762356,-0.3106748139095689,0.0482124896001441
0.25,0.1,0.2013686257082537,0.3683097433618499,0.4303216309298943,0.0124874554827369,0.0160506089725495,0.0167211704749065,-0.3062978557938055,0.0488223884200056
0.25,0.15,0.1969346739251193,0.3667916898122434,0.4362736362626372,0.0127783479555935,0.0167609414293998,0.0171930898066156,-0.2973097433618496,0.0507149726654154
0.25,0.2,0.1924937229196752,0.3662333074102902,0.4412729696700361,0.0122806980228004,0.0169471467753863,0.0173206117210445,-0.2911936451505443,0.0512149052718172
0.25,0.25,0.1881533162981893,0.3652210865459396,0.4466255971558713,0.0121779327907694,0.0177775140049745,0.0182438064449747,-0.2838165759360079,0.0537988344549237
0.25,0.3,0.1839370069992226,0.3628436840351078,0.4532193089656723,0.0122285244088863,0.0187218264287004,0.0195182054164304,-0.2724680591045434,0.0569618582738313
0.25,0.35,0.1795494945006109,0.3594295078324639,0.4610209976669286,0.0121702743518786,0.018799443025791,0.019439904639229,-0.2578380179979992,0.057038790690811
0.25,0.4,0.1753385179424506,0.3559166759248984,0.4687448061326527,0.0116584425099933,0.0202196865206597,0.0210218479462748,-0.2430885457171441,0.0614612209875943
0.25,0.45,0.1714936118209084,0.3518796800355528,0.476626708143541,0.0114639429065402,0.0208978698900641,0.021594870119653,-0.2271326519275647,0.0633906098997813
0.25,0.5,0.1674435062770795,0.3468923452949694,0.4856641484279523,0.0112562551644351,0.0222181424430849,0.0231132951655719,-0.2081205421619865,0.0675495800517417
0.25,0.55,0.1635337184757236,0.3400613265192768,0.4964049550050002,0.0113465316112341,0.0225003707321589,0.0232348945888789,-0.1837176980335533,0.0682356360531967
0.25,0.6,0.1596004888345723,0.3314361737584718,0.5089633374069519,0.0108655283547409,0.024480821477285,0.0254457547241717,-0.1539090101099918,0.0744073976787417
0.25,0.65,0.1558775691589808,0.3195420508832344,0.5245803799577805,0.0110085576874094,0.0254872001289988,0.0265201895734396,-0.1145037218086884,0.0774945898314374
0.25,0.7,0.1519772247528041,0.3011380957671354,0.5468846794800566,0.0107478076889834,0.0275475898259346,0.0286985371235774,-0.0553915120542143,0.0837937167754467
0.25,0.75,0.1480928785690466,0.2853507388067978,0.5665563826241541,0.0106238325032619,0.0290969217875303,0.0302505750832722,-0.0041450949894416,0.088444418658333
0.25,0.8,0.1442149761137625,0.2532884123986212,0.602496611487613,0.0102017265489713,0.0316067631324783,0.0329173951761581,0.0959197866903706,0.0961309214411149
0.25,0.85,0.1403708476835895,0.2204071769803363,0.6392219753360718,0.0099519965078603,0.0320592172503862,0.0333471113079753,0.1984076213753992,0.0974655458087477
0.25,0.9,0.1361047661370944,0.1667893567381407,0.6971058771247675,0.0096031835319377,0.0312275743896952,0.0326357678681604,0.3635271636484859,0.0950909166475509
0.25,0.95,0.1316568159093418,0.1001499833351856,0.7681932007554706,0.0091815207185348,0.0294309352033562,0.03115370322893,0.5678932340850993,0.0900155736356425
0.3,0.05,0.1792366403732915,0.3809542273080764,0.4398091323186304,0.0121437956541368,0.0152232393313313,0.0157753890225792,-0.3220993222975224,0.0462218676852418
0.3,0.1,0.1767299188978993,0.3796604821686498,0.4436095989334528,0.0120985051089462,0.0158977861264719,0.016263224125657,-0.3157113654038467,0.0480587963786009
0.3,0.15,0.1741656482613043,0.3793957338073531,0.4464386179313417,0.0120335734899506,0.0166222086919151,0.0168818980515523,-0.3123528496833644,0.0501263154353826
0.3,0.2,0.1716611487612483,0.3778655704921677,0.4504732807465851,0.0114878704327738,0.017570882923163,0.0178741148157501,-0.3052578602377502,0.0530158806620761
0.3,0.25,0.1690131096544831,0.3748860126652586,0.4561008776802601,0.0116119117626913,0.0176164098025881,0.0181198552945729,-0.2936711476502572,0.0533526748997492
0.3,0.3,0.1668995667148097,0.3726291523164091,0.4604712809687833,0.0114326103187824,0.0181127091980317,0.018817169541938,-0.2847870236640349,0.0550425879380015
0.3,0.35,0.1640792134207295,0.3695516053771809,0.4663691812020894,0.0112589348264241,0.0185110425881485,0.0189985502688596,-0.2727340295522725,0.0560206354451568
0.3,0.4,0.1614203977335842,0.3657170314409523,0.4728625708254655,0.0113041644979779,0.0192094776349825,0.0198092374639013,-0.258571492056439,0.0582281927338664
0.3,0.45,0.1590803244083981,0.361763581824242,0.4791560937673607,0.0109744497480522,0.020715273222437,0.0213173421531153,-0.2443710698811234,0.0627478885979893
0.3,0.5,0.1565156093767351,0.3572543050772138,0.4862300855460502,0.0110362335406938,0.0219698351171637,0.0228199096619942,-0.2282785246083773,0.0667595798963216
0.3,0.55,0.1540047772469714,0.3484703921786474,0.4975248305743797,0.0110032055661489,0.0223073738668421,0.0232042637374317,-0.1994159537829152,0.0678190114711159
0.3,0.6,0.1516694811687567,0.3429653371847575,0.5053651816464845,0.0106488064353451,0.0230255587100789,0.0239781952984324,-0.1805654927230305,0.0700293127185903
0.3,0.65,0.1489432285301619,0.330863348516832,0.5201934229530051,0.0107004776102074,0.0247082755337728,0.0256803951393945,-0.1415332740806589,0.0750969462069402
0.3,0.7,0.1464840573269616,0.3158185757138115,0.5376973669592291,0.0105956802635499,0.0263143153565181,0.0273058065204636,-0.0939397844683939,0.0799344372334999
0.3,0.75,0.1438565714920539,0.2968110209976659,0.5593324075102754,0.0102398992714026,0.0280619028948442,0.0291273629212755,-0.0342896344850565,0.085251168710964
0.3,0.8,0.1411246528163524,0.2748365737140312,0.5840387734696141,0.0101425623517928,0.0285227912767108,0.0297605097553024,0.0343656260415516,0.0868060923087241
0.3,0.85,0.1381960893234066,0.2402686368181306,0.6215352738584617,0.009901430325094,0.0293495872319518,0.0306513930271621,0.1409980002222005,0.0893505674910657
0.3,0.9,0.134873125208309,0.188823241862015,0.6763036329296762,0.0097871520598741,0.0323353260172944,0.0338007317001723,0.2986571492056462,0.0984713837347611
0.3,0.95,0.1310996555938222,0.1111128763470728,0.7577874680591059,0.0091266983742593,0.0273654309863769,0.0290731614043628,0.5355617153649602,0.0838040233771168
0.35,0.05,0.1587693589601138,0.3910114431729798,0.4502191978669066,0.0117545035775947,0.0156104588207651,0.0158573029884537,-0.331803688479053,0.047078220629984
0.35,0.1,0.1575632707476931,0.3894839462281958,0.4529527830241096,0.0113449656838479,0.0161017456963522,0.0164581453416614,-0.326015109432282,0.0486616367343659
0.35,0.15,0.1562930785468262,0.3874425063881785,0.4562644150649952,0.0113931502754628,0.0164538090728626,0.0166928683779277,-0.3186205977113618,0.049600486523653
0.35,0.2,0.1550078880124424,0.3864210643261846,0.4585710476613728,0.0111678031260062,0.017417979747005,0.0178228842129705,-0.3142710809909964,0.0526588437069806
0.35,0.25,0.1538872347516932,0.3839818909010087,0.4621308743472973,0.0110671211918354,0.0175039870004804,0.0180895299061177,-0.3058329074547202,0.0530975039070786
0.35,0.3,0.1524942784135083,0.3825732696367064,0.464932451949785,0.0110473021107634,0.0176429650086706,0.0180006386639334,-0.3002140873236278,0.0532865686812748
0.35,0.35,0.1512614153982874,0.3790138873458503,0.4697246972558633,0.0109565094277725,0.0181815207287257,0.0186914056299204,-0.2883030774358373,0.0550544470873719
0.35,0.4,0.1499692256415934,0.3751223197422498,0.4749084546161536,0.0108419579797025,0.0189323190044133,0.0194117907085239,-0.275336184868346,0.0572764287173505
0.35,0.45,0.1485656038217952,0.3709274525052772,0.4805069436729277,0.0108415123532098,0.0203466721998848,0.0209039385337902,-0.2613479613376268,0.0615972829335599
0.35,0.5,0.1471248750138849,0.3646398177980225,0.4882353071880919,0.0106495260222351,0.0207640187966833,0.021462949003588,-0.2410443284079532,0.0629909865969547
0.35,0.55,0.1459075658260168,0.3594598377958002,0.4946325963781795,0.0105141444136893,0.0226848351973124,0.0234044772455153,-0.224287079213421,0.0687741476401402
0.35,0.6,0.1443942895233842,0.3501234307299189,0.5054822797466957,0.0103886244757399,0.0225937254526292,0.0234320706715762,-0.1947645817131422,0.0686195215768347
0.35,0.65,0.1428434618375719,0.3405132763026346,0.5166432618597941,0.0106463162002906,0.0246590814091366,0.0254016830453585,-0.1643832907454752,0.0747198458636317
0.35,0.7,0.1412500833240743,0.3284598377958014,0.5302900788801223,0.010109885494667,0.0248997138121953,0.0259552426818083,-0.1266295967114806,0.0757546703061991
0.35,0.75,0.1398545717142519,0.310379957782469,0.5497654705032787,0.0101140641044147,0.0268513491164971,0.027805267103419,-0.0709944450616593,0.0815079653364134
0.35,0.8,0.1379314520608807,0.2864525052771904,0.5756160426619282,0.0099514639119722,0.0293496203761293,0.0303199696632795,0.0027110321075473,0.0890192104155383
0.35,0.85,0.1359694478391283,0.2543192978557944,0.6097112543050781,0.0095509196657574,0.0301456655037252,0.0313547985871006,0.1010726585934893,0.0916461295945511
0.35,0.9,0.1336628152427497,0.2091108765692707,0.6572263081879784,0.009860807067836,0.031831380996299,0.0332387525006933,0.2390045550494369,0.0969015144932913
0.35,0.95,0.1307265859348951,0.1243329630041111,0.7449404510609946,0.0088756103263429,0.0310103909285557,0.0324683642296939,0.4962745250527722,0.0944891460868054
0.4,0.05,0.1425613820686578,0.3982728585712685,0.4591657593600738,0.0109224759932446,0.0151550353177818,0.0154629474229157,-0.3373799577824632,0.0457730180584794
0.4,0.1,0.1421612043106306,0.3983992889678904,0.4594395067214799,0.0110573409127413,0.0155485510416363,0.0158362078492782,-0.3373590712143008,0.0469333099325509
0.4,0.15,0.1418557938006871,0.3951497611376492,0.462994445061664,0.0109403677591718,0.0165730240048448,0.0169148512071922,-0.3273050772136345,0.0500608992168819
0.4,0.2,0.1415079435618245,0.3935411620931004,0.4649508943450748,0.0107368611285054,0.017042851220264,0.0174230890720091,-0.322131429841126,0.0515087915125372
0.4,0.25,0.1411493167425822,0.3906783690701009,0.4681723141873146,0.0108090359231829,0.0168874834598419,0.0172582661054396,-0.3131844239528871,0.0510332330251235
0.4,0.3,0.1407090323297393,0.387600933229639,0.4716900344406195,0.0109264966209647,0.017833802337013,0.018253283406583,-0.3035118320186585,0.0539208880806091
0.4,0.35,0.1402228641262062,0.3858417953560702,0.4739353405177217,0.0108127853054859,0.0184594833098118,0.0189241772701872,-0.2977482501944187,0.055843143889811
0.4,0.4,0.1397980224419498,0.3806533718475717,0.4795486057104766,0.0106209897257975,0.0184779644145981,0.0190071535802288,-0.2817581379846667,0.0559630824094251
0.4,0.45,0.139293745139428,0.3786754805021652,0.4820307743584071,0.0101628262574462,0.019807594162472,0.0204479297390077,-0.2753201866459234,0.0600631180639519
0.4,0.5,0.1388464615042764,0.3729567825797147,0.4881967559160089,0.0102472316575905,0.0200594011997242,0.0206528194074016,-0.2577168092434206,0.06077162180685
0.4,0.55,0.1383880679924437,0.3666729252305303,0.4949390067770268,0.0103336853622961,0.0221032805304721,0.0228217136242379,-0.2384068436840339,0.0670282746851823
0.4,0.6,0.1378423508499043,0.3599405621597595,0.5022170869903344,0.0101495774178919,0.0229003765149916,0.0235650820118356,-0.2176640373291847,0.0693658350418189
0.4,0.65,0.1372335296078199,0.3492039773358531,0.5135624930563272,0.0100360855625219,0.0234113540773404,0.0242804152848792,-0.184845461615379,0.07110312343956
0.4,0.7,0.136651260971002,0.3396403732918582,0.5237083657371385,0.0100394239995682,0.0248755857292195,0.0256992379049566,-0.1555723808465779,0.0754504093633956
0.4,0.75,0.1359090101099861,0.3240795467170326,0.540011443172981,0.009937540939287,0.0264134541570319,0.0273807958275564,-0.1081476502610842,0.0802077041416204
0.4,0.8,0.1351900899899999,0.3060734362848564,0.5587364737251421,0.0097371553912897,0.0282842407212835,0.0292750954371271,-0.0534103988445706,0.0858435768796943
0.4,0.85,0.1338827908010209,0.2678019108987884,0.5983152983001919,0.0096970748412721,0.0301699810465311,0.0312977016966355,0.062711476502615,0.0916376637896978
0.4,0.9,0.1323852905232742,0.2175134985001664,0.6501012109765596,0.0093532158015023,0.0308673265047046,0.0321012232317994,0.2150742139762267,0.0938358762412088
0.4,0.95,0.1302445283857346,0.1399796689256745,0.7297758026885892,0.0091640771677178,0.0290643448602759,0.0304631025811472,0.4498164648372402,0.0885917923016991
0.45,0.05,0.1293402955227189,0.4058114653927342,0.4648482390845493,0.0106663785107636,0.0154037190919432,0.0155508581206223,-0.3467746917009192,0.0463582963045089
0.45,0.1,0.1295317186979218,0.4022286412620804,0.4682396400399993,0.0106569705634476,0.016502327971406,0.0167112008227139,-0.3362176424841615,0.049715856765526
0.45,0.15,0.1297890234418392,0.4017910232196398,0.4684199533385203,0.0104731527435952,0.0160803880366258,0.0164589137496996,-0.3351620931007592,0.0486196898229513
0.45,0.2,0.130092656371513,0.3994478391289822,0.4704595044995032,0.0104133393330445,0.016455022065116,0.0169271428625089,-0.3284361737584613,0.049837186992741
0.45,0.25,0.130321964226196,0.396696589267858,0.4729814465059455,0.010182179136295,0.017337212339328,0.0178015913819414,-0.3204117320297706,0.0524760160605976
0.45,0.3,0.1306298189090092,0.3940781024330608,0.4752920786579278,0.0103260757126198,0.0174120778452122,0.0178834843895711,-0.3128641262081938,0.0527076400799955
0.45,0.35,0.1308841239862224,0.3908980113320732,0.4782178646817014,0.0103267836302695,0.0180773473177,0.0184185346484312,-0.303578157982445,0.0545732292838313
0.45,0.4,0.1311144317298073,0.3889778913454043,0.4799076769247867,0.0101910970694923,0.0189559272476906,0.0193966499957666,-0.2980481057660219,0.0573085044911478
0.45,0.45,0.1314089545606038,0.3834160648816797,0.4851749805577174,0.010166074508779,0.0198557543772805,0.0204149493308256,-0.281657149205642,0.0601264580853868
0.45,0.5,0.1315798244639474,0.3797260304410624,0.4886941450949889,0.0097857430088803,0.020299590557085,0.0208545891071337,-0.270757915787136,0.0614537702213038
0.45,0.55,0.1318225752694133,0.3744523941784236,0.4937250305521596,0.0099551977083177,0.0215318055466931,0.0221663870925138,-0.2551797578046875,0.0652299981859001
0.45,0.6,0.1318535718253521,0.366339073436285,0.5018073547383634,0.0098624709979341,0.0218770025061134,0.0225496389552677,-0.2308707921342067,0.0663036439674946
0.45,0.65,0.1320837684701687,0.3597549161204326,0.5081613154093967,0.0098059893181751,0.0228866806120978,0.023632171504177,-0.2113485168314686,0.0694055327283727
0.45,0.7,0.1321702033107424,0.3454077324741703,0.5224220642150864,0.0098178366508669,0.0237368761911356,0.0244728184319913,-0.1683934007332542,0.0719465708142627
0.45,0.75,0.1323024108432386,0.3344067325852696,0.5332908565714908,0.0098736508934115,0.025642702994994,0.0264949230723671,-0.1355226085990484,0.0777803290623552
0.45,0.8,0.1321170981002102,0.308159760026664,0.5597231418731267,0.0096524411339677,0.027214020620673,0.028126681815489,-0.0565963781802014,0.0825547230568351
0.45,0.85,0.1317811354293961,0.2816710365514933,0.5865478280191115,0.0094762676478072,0.028750526447796,0.0297944395633328,0.0232057549161248,0.0872954924589248
0.45,0.9,0.1313190756582586,0.2366221530941007,0.6320587712476383,0.0095565429285643,0.0321622137551247,0.03347012915357,0.1588144650594368,0.0977945566638196
0.45,0.95,0.1296137095878227,0.1509057882457501,0.7194805021664229,0.0091680233434648,0.0292244040114733,0.0306562859751839,0.4176689256749226,0.0891050939981307
0.5,0.05,0.1183216309298978,0.4104287301410935,0.4712496389290087,0.0099693300703147,0.015701855978003,0.0160011251733763,-0.3496078213531783,0.0474048371293823
0.5,0.1,0.1190347739140108,0.4081396511498709,0.4728255749361194,0.0099959442651336,0.0155741789814086,0.0158673464583008,-0.3434537273636223,0.0470157044211181
0.5,0.15,0.1197241417620276,0.4061765359404498,0.4740993222975244,0.0097914023737102,0.0161971550464564,0.0165200592071379,-0.3382537495833751,0.0489143693000507
