pi1,pi2,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
0.03,0.27,0.3276069770025548,0.0130034329518943,0.6593895900455451,0.0045665129152248,0.0013251173500145,0.0047529314297981,0.6333827241417564,0.0074031661298272
0.03,0.29,0.3229488834573955,0.0126623597378069,0.6643887568047965,0.0045750413632465,0.0013192997923633,0.0047515485451078,0.6390640373291825,0.0073901481298344
0.03,0.31,0.3185181757582521,0.0123395844906122,0.6691422397511274,0.0045935070896738,0.0012934787738667,0.0047622756050561,0.6444630707699031,0.0073492331527896
0.03,0.33,0.314311498722367,0.0121379068992334,0.6735505943783922,0.0044629245503896,0.0012854470111375,0.0046356253242334,0.6492747805799252,0.0072065193465085
0.03,0.35,0.3102187423619582,0.0118786801466503,0.6779025774913787,0.0044801005465345,0.0012723686887124,0.004644187289292,0.6541452171980779,0.0071889246667168
0.03,0.37,0.3062337295855999,0.011627808021331,0.6821384623930604,0.0043351634558163,0.0012442360285314,0.0044700902839443,0.6588828463503983,0.0069585623410071
0.03,0.39,0.3024289301188725,0.0113850683257415,0.6861860015553807,0.0043300429379067,0.0011970590435164,0.0044781458985211,0.6634158649038975,0.0068722639855539
0.03,0.41,0.2986355849350072,0.0111469170092212,0.6902174980557747,0.0043428865483341,0.0012048004420744,0.0044690085161427,0.6679236640373323,0.0068786094002917
0.03,0.43,0.295019153427398,0.0109661482057549,0.6940146983668549,0.0043584344532452,0.0012012038109188,0.004493232508835,0.6720824019553451,0.0068956401306727
0.03,0.45,0.2915461726474868,0.0107654260637706,0.6976884012887543,0.0042495739740421,0.001159193234349,0.0043807689468928,0.676157549161213,0.0066991554155909
0.03,0.47,0.2881733918453534,0.0105780246639262,0.7012485834907313,0.0043369002927969,0.0011772403360083,0.0044737648132629,0.6800925341628788,0.0068282454852795
0.03,0.49,0.2848903788467972,0.0104108987890234,0.7046987223641937,0.0041015770247299,0.0011639645292799,0.0042621853459253,0.6838769247861468,0.0065901144044852
0.05,0.01,0.4121751249861156,0.032680502166426,0.5551443728474538,0.0053594715793048,0.0022992053731237,0.0057877990202064,0.4897833685146016,0.0103862097664539
0.05,0.03,0.4029119097877983,0.0312458060215531,0.5658422841906479,0.0053733751370452,0.0021782542494523,0.0058001443146513,0.5033506721475415,0.0101566528135559
0.05,0.05,0.3943001999777795,0.0298522497500276,0.5758475502721991,0.005302348113389,0.0021173583369262,0.0057487015778782,0.516143050772144,0.0099834182517308
0.05,0.07,0.3864630041106587,0.0289271969781135,0.5846097989112359,0.0051891093259381,0.0020846343185785,0.0056172656034372,0.5267554049550088,0.0097865342405942
0.05,0.09,0.3788264748361312,0.0278221419842239,0.5933513831796464,0.0050262880167569,0.0020336660138376,0.0054199727887735,0.5377070992111986,0.0094873048164488
0.05,0.11,0.3718561048772341,0.0269569158982335,0.6011869792245278,0.0050236881873889,0.0019757145538692,0.0053467331039629,0.5472731474280607,0.0092981622117013
0.05,0.13,0.3650679924452819,0.0260227530274415,0.6089092545272686,0.0049590038047921,0.0019389470275263,0.0053273762470415,0.5568637484723856,0.0092052703020942
0.05,0.15,0.3587285079435617,0.0251773469614488,0.6160941450949812,0.0048559579082662,0.0018836362896577,0.0051477291805492,0.5657394511720835,0.0089150017598647
0.05,0.17,0.3527604155093919,0.0244345628263528,0.6228050216642573,0.0048611037389327,0.0018240125945204,0.0051647253666985,0.5739358960115517,0.0088127505557394
0.05,0.19,0.3471420397733605,0.0238025330518831,0.6290554271747634,0.0048096520103937,0.0018215409302875,0.0051293573063138,0.581450361070997,0.008772439166889
0.05,0.21,0.3417732029774459,0.0232169647816909,0.6350098322408718,0.0047114118732918,0.0018146784067044,0.0050082782564546,0.5885759026774898,0.0086376350698636
