arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20.0,6.5,0.3,0.3,7,10,0.3,0.159836166,0.3218066733,0.5183571607,0.0841024738,0.1208251079,0.1289717391,-0.125256186,0.3512077966,,,,,,,,
20.0,6.5,0.3,0.3,7,10,0.6,0.1657750562,0.2826985754,0.5515263684,0.0883274304,0.135992141,0.148843982,-0.0138707823,0.4022726656,,,,,,,,
20.0,6.5,0.3,0.3,7,10,0.9,0.2262596851,0.1927981755,0.5809421395,0.1064725197,0.1494789819,0.1754590178,0.1953457886,0.4513852036,,,,,,,,
