arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20,7,0.3,0.3,7,8,0.5,0.175624094,0.3625888528,0.4617870532,0.0896298404,0.1413571212,0.1462001608,-0.2633906523,0.4098139318,0.2963267933,0.1491214203,1.2847124219,0.3037324002,0.2729613969,0.9218774295,0.2175927977,0.1998609145
20,7,0.3,0.3,7,8,0.55,0.1776708323,0.3575856036,0.4647435641,0.0906893874,0.1464849984,0.1519784067,-0.2504276431,0.426134142,0.3031534616,0.1548987727,1.2956140965,0.3165728806,0.2843903014,0.9350686556,0.2258269522,0.2082214596
20,7,0.3,0.3,7,8,0.6,0.1767633092,0.356555861,0.4666808298,0.0908298337,0.1510241135,0.1557598795,-0.2464308923,0.4394689978,0.3096299675,0.1582976757,1.2991624094,0.3272252175,0.2924863603,0.9357511008,0.2318460746,0.2128968301
20,7,0.3,0.3,7,8,0.65,0.17931992,0.351379905,0.469300175,0.0920372053,0.1552311461,0.1613445137,-0.2334596351,0.4535798874,0.3159283929,0.1626828496,1.3123067233,0.338404149,0.3043242298,0.9506387275,0.2390125797,0.2198305296
20,7,0.3,0.3,7,8,0.7,0.183420145,0.3442004499,0.4723794051,0.0936107576,0.1610681411,0.1672441908,-0.2160214946,0.4712150111,0.3226632092,0.167882794,1.3295732067,0.3551139596,0.3163153253,0.9733698314,0.2481009864,0.2281719819
20,7,0.3,0.3,7,8,0.75,0.1887498125,0.3341357161,0.4771144714,0.0952834293,0.1657089594,0.1728666782,-0.1911569608,0.486053039,0.3295269933,0.1736437194,1.350312022,0.3722937718,0.3294770608,1.0019134623,0.2556339655,0.2353526837
20,7,0.3,0.3,7,8,0.8,0.1964196451,0.3181592102,0.4854211447,0.0977647731,0.1710126803,0.1802234272,-0.1508972757,0.5037832573,0.3396310922,0.1809404916,1.3869472632,0.3968663191,0.3479471065,1.0502808324,0.2662713119,0.2454731369
20,7,0.3,0.3,7,8,0.85,0.2020992252,0.3046903274,0.4932104474,0.0998784798,0.180487538,0.1885054227,-0.1161702074,0.5311364891,0.3526677081,0.189593475,1.4236492877,0.4290335749,0.3678645623,1.091196392,0.2831700124,0.2572147851
20,7,0.3,0.3,7,8,0.9,0.222252187,0.2905711072,0.4871767058,0.1023940074,0.1948764148,0.2048130487,-0.0939655086,0.5768335909,0.3620392402,0.1982900892,1.5174210447,0.4753318218,0.3975799832,1.2048035439,0.3027703449,0.2708775756
20,7,0.3,0.3,7,8,0.95,0.250215946,0.2639552612,0.4858287928,0.1112713262,0.1988862126,0.2095763193,-0.0420817296,0.5868035772,0.3605339915,0.200457747,1.8008409898,0.516492722,0.4059390852,1.4287553006,0.3159950591,0.2760696144
20,7,0.3,0.3,7,10,0.0,0.1635716071,0.3452256936,0.4912026993,0.0825818412,0.1061711224,0.1116344373,-0.1992486878,0.302293012,0.2794016496,0.1293689455,1.0415819122,0.245578772,0.2185332984,0.7638959417,0.1865759571,0.1644315719
20,7,0.3,0.3,7,10,0.05,0.1621784554,0.3384003999,0.4994211447,0.0828494547,0.1080488177,0.1140906906,-0.1773796551,0.3088191619,0.2890408648,0.1338386333,1.0459865803,0.2504156342,0.223812842,0.765437643,0.1899673333,0.1684515946
20,7,0.3,0.3,7,10,0.1,0.1600969758,0.3353169208,0.5045861035,0.0828868689,0.1119789309,0.1182724727,-0.1660477381,0.3216525348,0.2982699325,0.1382217143,1.0480182518,0.2609377537,0.2332880133,0.7655101023,0.1959301577,0.1746677671
20,7,0.3,0.3,7,10,0.15,0.1585341165,0.3300487378,0.5114171457,0.0830702292,0.1130735987,0.1205009796,-0.1486803299,0.3263034853,0.3060867283,0.1425828181,1.0537140715,0.264973578,0.2391931535,0.7648601389,0.1984294785,0.1795560421
20,7,0.3,0.3,7,10,0.2,0.1567345664,0.3267905524,0.5164748813,0.0829017708,0.1170516941,0.1249684206,-0.1371062234,0.3395769513,0.3154511372,0.1470402707,1.0532244503,0.2757552874,0.2500844869,0.7646893258,0.2052795083,0.186647031
20,7,0.3,0.3,7,10,0.25,0.1556988253,0.3218965259,0.5224046488,0.0831485078,0.1197680516,0.1277800328,-0.1213884029,0.3481697557,0.3238876531,0.1509435764,1.0604085517,0.284570048,0.2579625475,0.7638713804,0.2104125015,0.1925268351
20,7,0.3,0.3,7,10,0.3,0.1560134966,0.3191384654,0.524848038,0.083493928,0.1219306086,0.1303094893,-0.1134288928,0.3552487253,0.3283861535,0.1536656771,1.063439012,0.2909716261,0.2644563056,0.7680504364,0.214719463,0.1962788247
20,7,0.3,0.3,7,10,0.35,0.1542731817,0.3114373907,0.5342894276,0.0835845456,0.124562783,0.1341347948,-0.0885853537,0.3648273544,0.3406227193,0.1595922118,1.0680326713,0.302628212,0.277344439,0.7689602252,0.220056817,0.2046787067
20,7,0.3,0.3,7,10,0.4,0.1538812797,0.3069062734,0.5392124469,0.0840291865,0.1271702536,0.1372838315,-0.0746001,0.3734332379,0.3482648088,0.1635156556,1.0753544306,0.3121023792,0.2869851714,0.7718349739,0.2254383495,0.2103291957
20,7,0.3,0.3,7,10,0.45,0.1536588353,0.3002424394,0.5460987253,0.0841773462,0.13066703,0.140841328,-0.0543861535,0.3844221953,0.3588491627,0.1674952602,1.0764250604,0.3264210614,0.299058639,0.7750023,0.2320830293,0.217495115
20,7,0.3,0.3,7,10,0.5,0.1531554611,0.2940037491,0.5528407898,0.0846090326,0.1333264021,0.1444516747,-0.0351667083,0.3936204507,0.3685926018,0.1723174916,1.0834145951,0.3385541591,0.3115749577,0.7784281311,0.238077353,0.2247432182
20,7,0.3,0.3,7,10,0.55,0.1547058235,0.2842061985,0.561087978,0.085004519,0.1347038221,0.1462459966,-0.0073244189,0.3982246304,0.3780773557,0.176835359,1.0852067752,0.3516027065,0.3221155053,0.7815918277,0.2447649716,0.2311079228
20,7,0.3,0.3,7,10,0.6,0.1544581355,0.2771549613,0.5683869033,0.0853610622,0.1407154434,0.1525919106,0.0140769808,0.4172347874,0.3915803549,0.1829369266,1.0888223457,0.3744706323,0.3419611563,0.786777632,0.2546411847,0.2408377411
20,7,0.3,0.3,7,10,0.65,0.1559837541,0.2660044989,0.5780117471,0.0867493048,0.1420353775,0.1550060536,0.0460027493,0.4219881953,0.403224194,0.1879789528,1.101831273,0.391722974,0.3559674037,0.8015417601,0.2616276126,0.2491737591
20,7,0.3,0.3,7,10,0.7,0.1583946513,0.2518385404,0.5897668083,0.0874229033,0.1455810615,0.1600217684,0.0860897276,0.4343943414,0.4201737066,0.1945803772,1.1058000244,0.420790469,0.3798743186,0.8089825673,0.271729757,0.2587890874
20,7,0.3,0.3,7,10,0.75,0.1632951762,0.2390284929,0.5976763309,0.0884610805,0.1470022314,0.1625496266,0.1196193452,0.439629792,0.4298609098,0.1994817705,1.1106416986,0.4432630533,0.3936306586,0.8252180949,0.2815885959,0.266272161
20,7,0.3,0.3,7,10,0.8,0.1644473882,0.2270569858,0.6084956261,0.0910877135,0.1532594268,0.1709706438,0.1543816546,0.4604667756,0.4482594351,0.2087411859,1.1428085286,0.4777893027,0.4225426073,0.8507867678,0.2929387676,0.2803767057
20,7,0.3,0.3,7,10,0.85,0.1782164459,0.201375906,0.6204076481,0.0939156702,0.1499482337,0.1682756878,0.217655836,0.4496850585,0.4609132717,0.2075674129,1.1772947789,0.5224781067,0.4373691417,0.9064519604,0.2983284035,0.279125394
20,7,0.3,0.3,7,10,0.9,0.1852709323,0.1779157711,0.6368132967,0.0962758826,0.1508023278,0.1729910718,0.2809817546,0.4557276533,0.4836757061,0.2146503791,1.2142863643,0.5747568941,0.4708480711,0.9510393267,0.3082485922,0.2900038665
20,7,0.3,0.3,7,10,0.95,0.2048945264,0.1526010997,0.6425043739,0.1035529783,0.1587733222,0.1851804622,0.3373021745,0.482372034,0.4984117721,0.2232352521,1.3583656009,0.6491992835,0.4998744089,1.0902439908,0.3181084355,0.303690203
