pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.05,0.05,0.4946509087,0.1965231549,0.3088259364,0.0886504546,0.0725662275,0.0855705088,-0.0842203735,0.1945360479,0.2573747277,0.1149626837,0.1188079069,0.0899881607,0.1814909463,0.3081945432,0.135667535,0.2316041339
0.05,0.1,0.446319563,0.2018776734,0.3518027636,0.0916094325,0.0797553758,0.0981371031,-0.0519525833,0.2242177882,0.2191910594,0.1030544189,0.1641529716,0.1187559215,0.2472551713,0.339589776,0.1668833085,0.2586371507
0.05,0.15,0.3999338737,0.2005574321,0.3995086943,0.0918461722,0.0860585759,0.1064232048,-0.0016061699,0.2480780679,0.2107280323,0.1016202159,0.2230785283,0.1446204165,0.3314681146,0.3640363582,0.1883175349,0.2792937812
0.05,0.2,0.3567328168,0.1954818438,0.4477853394,0.0908822831,0.0920192914,0.1151115708,0.0568216517,0.2720995082,0.233015032,0.1204114385,0.2915895612,0.1668894299,0.4216399888,0.3886483685,0.197131969,0.2943326853
0.05,0.25,0.3171982719,0.1813422359,0.5014594923,0.0876216332,0.0960035645,0.1199720189,0.1387750205,0.288313824,0.281683222,0.1443490157,0.3715035067,0.1818267048,0.5081846541,0.4124054496,0.1957798344,0.298571503
0.05,0.3,0.2843973292,0.1675438283,0.5480588424,0.0851934036,0.0986551526,0.1240348848,0.2129711858,0.3000585955,0.3383512693,0.1609226131,0.4438873176,0.1906549078,0.5817961899,0.4389827033,0.1922774192,0.3038218475
0.05,0.35,0.2555164066,0.1507503124,0.593733281,0.0811531771,0.0983681857,0.1228932666,0.2922326561,0.3003238059,0.3993223837,0.1678963679,0.51517068,0.1911119055,0.6470646843,0.4652981652,0.1839407215,0.3084192772
0.05,0.4,0.2306623344,0.1341586032,0.6351790624,0.0777088956,0.0973300782,0.1222798328,0.366861856,0.2993636457,0.4579219481,0.1721611174,0.5804519747,0.1912195353,0.7034293311,0.5028927054,0.1762954453,0.3104445117
0.05,0.45,0.2110828007,0.1192509016,0.6696662977,0.0749604068,0.0959158643,0.1207797107,0.4311644946,0.2961827284,0.5081105438,0.1723630361,0.6349198353,0.1895134838,0.7478517487,0.5452929625,0.1701428158,0.3103980293
0.05,0.5,0.1931745635,0.1033467347,0.7034787018,0.0717596905,0.0902017084,0.1145741161,0.4967852323,0.279107268,0.5571986289,0.1663054721,0.6882118955,0.1808631991,0.7884996674,0.5829653607,0.1628890771,0.3055319798
0.05,0.55,0.1780117828,0.0890378834,0.7329503338,0.068792071,0.0880260949,0.1115343738,0.5548745671,0.2726657511,0.6015862463,0.1606691554,0.7352153684,0.1750805518,0.8229181443,0.6335840326,0.1561532268,0.3086929529
0.05,0.6,0.1655073375,0.0755855322,0.7589071304,0.0662475905,0.0818502221,0.1053729551,0.607736066,0.2544202148,0.6398995251,0.1527468964,0.7763156697,0.1656113528,0.851302468,0.6774464547,0.1503773708,0.298015054
0.05,0.65,0.1537811261,0.0627421716,0.7834767023,0.0638998231,0.0758184101,0.0993956106,0.6579923591,0.2365643153,0.6762819295,0.1450260964,0.8152394765,0.1564042603,0.8779201431,0.7243243271,0.1450486781,0.2875191177
0.05,0.7,0.1439003106,0.0505877816,0.8055119077,0.0619662231,0.0672643835,0.0915458723,0.7043363445,0.211209134,0.7084960189,0.1363497856,0.8499595457,0.1453439547,0.9003489881,0.7690128692,0.1406595247,0.2678465641
