pi1,pi2,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
0.01,0.01,0.1708165816,0.0184182526,0.8107651658,0.0681351858,0.043823847,0.0814255401,0.7739286607,0.1487572721,0.7163641233,0.1210575849,0.9061660244,0.9055070926,0.8904462162,0.0902810503,0.4423399523,0.0999662979
0.01,0.03,0.1680179955,0.0164794516,0.8155025529,0.066988107,0.0396611567,0.0775547532,0.7825436498,0.1360420903,0.7233031028,0.1160777225,0.8920224173,0.9247348367,0.8759255064,0.1063426496,0.4542708074,0.1138799698
0.01,0.05,0.1645417217,0.0186696183,0.81678866,0.0662637932,0.0434749281,0.0795615419,0.7794494234,0.1467949334,0.7253168851,0.1186582842,0.8797977425,0.9651907431,0.8569321916,0.123409437,0.5975452677,0.1366710627
0.01,0.07,0.1620680544,0.0154218588,0.8225100868,0.0655340653,0.0372592209,0.0757629199,0.7916663691,0.1302310636,0.7337961938,0.1134542185,0.8665122038,0.9656239001,0.8464753113,0.1409420359,0.5721272596,0.1497917215
0.01,0.09,0.1593144571,0.0156996465,0.8249858964,0.0649250319,0.0351368725,0.0735838502,0.7935866033,0.1233727213,0.7374820581,0.1103590861,0.854483835,0.9667524955,0.8307306008,0.1592805889,0.5956243434,0.1660162347
0.01,0.11,0.1573249545,0.0129224837,0.8297525619,0.0643336606,0.0315203999,0.0716281176,0.8039075945,0.1143474337,0.7446309851,0.1074323134,0.841151781,0.9658342557,0.8214302814,0.1781913654,0.6174430149,0.1816000783
0.01,0.13,0.1548627129,0.0117020745,0.8334352126,0.0645993243,0.0311466085,0.0713581324,0.8100310637,0.112917984,0.7501549613,0.1070246141,0.8296385743,0.9783098103,0.8112431076,0.2004451378,0.7207844527,0.2004951368
0.01,0.15,0.1540229228,0.0100839076,0.8358931696,0.0633870836,0.0260567915,0.0681544846,0.8157253544,0.0998648832,0.7538397543,0.1022317269,0.8132501387,0.9681739769,0.7975567784,0.2188342261,0.6119226006,0.2146780816
0.01,0.17,0.1510251009,0.010773021,0.8382018781,0.0632579917,0.0280168031,0.0691791089,0.816655836,0.1051843517,0.7573028172,0.1037686633,0.8049055707,1.023204607,0.7855078385,0.2410395262,0.7150647096,0.2371470742
0.01,0.19,0.1486221302,0.0108572857,0.8405205841,0.0622064815,0.0279192916,0.0678955451,0.8188060128,0.1037643653,0.7607808762,0.1018433177,0.7954167626,1.0479123076,0.7733821581,0.2602743616,0.7720025045,0.2551410508
0.01,0.21,0.1467633092,0.0115364016,0.8417002892,0.0620317607,0.0290754382,0.0680603217,0.818627486,0.1061745267,0.7625504338,0.1020904825,0.7845366414,1.0933414605,0.7580576019,0.2835773055,0.875429996,0.2771586888
0.01,0.23,0.1447095369,0.0094640626,0.8458264005,0.0610480184,0.024970762,0.0658983737,0.8268982754,0.0965157998,0.7687396008,0.0988475605,0.7762110324,1.0789711756,0.7561294533,0.3015254369,0.7598427648,0.2897621039
0.01,0.25,0.1429478345,0.0086664048,0.8483857607,0.0615706261,0.0227750776,0.0652849639,0.831052951,0.0911960553,0.7725786411,0.0979274459,0.7682240404,1.0761281108,0.7482012386,0.3265701891,0.7088559148,0.311397756
0.01,0.27,0.1418395401,0.0092612561,0.8488992038,0.0608485726,0.0241069293,0.0650593737,0.8303766915,0.0937012966,0.7733488057,0.0975890606,0.7577703946,1.112731307,0.7339461981,0.3451063636,0.8358871798,0.3284541229
0.01,0.29,0.1388995608,0.0101474631,0.850952976,0.0600934833,0.0255019777,0.0647375825,0.8306580498,0.0961899967,0.7764294641,0.0971063737,0.7591932389,1.167608098,0.7286797065,0.3654269081,0.9532820024,0.3462925202
0.01,0.31,0.1376298782,0.0083007819,0.8540693398,0.0593852132,0.021352878,0.0627965128,0.8374677759,0.0866756675,0.7811040097,0.0941947691,0.75493942,1.1278311034,0.7278395015,0.3802968786,0.7756136215,0.3612105388
0.01,0.33,0.1363102082,0.0089299104,0.8547598815,0.0596259887,0.0225480772,0.063534858,0.8369000607,0.0897218602,0.7821398222,0.095302287,0.7502804583,1.1749271866,0.7220197546,0.4086963765,0.8926539125,0.3794447507
0.01,0.35,0.1348612847,0.0083750491,0.8567636662,0.059580845,0.0235577499,0.0635883477,0.840013568,0.0914356889,0.7851454993,0.0953825215,0.7573029789,1.1970584905,0.7254170261,0.4209784571,1.0667070157,0.397159567
0.01,0.37,0.1324347485,0.0080208519,0.8595443996,0.0590534626,0.0221178891,0.0627749549,0.8435026957,0.0882194315,0.7893165994,0.0941624323,0.7688231316,1.2052490959,0.7339344518,0.4414351457,1.0122050241,0.4139768617
0.01,0.39,0.1308608562,0.0079580105,0.8611811333,0.0584943201,0.020932686,0.0618244555,0.8452651123,0.0851626854,0.7917716999,0.0927366832,0.7746386465,1.2120569858,0.7390369685,0.4659456687,0.9638353346,0.4258483639
0.01,0.41,0.1293240975,0.0064391045,0.8642367979,0.057671128,0.0180378656,0.0602330617,0.8513585889,0.0786405413,0.7963551969,0.0903495926,0.7880970751,1.1695503675,0.748954611,0.4803419106,0.8258321446,0.4463851222
0.01,0.43,0.1281129718,0.0075802478,0.8643067804,0.0575495575,0.0215117811,0.0610965907,0.8491462849,0.0857380745,0.7964601707,0.0916448861,0.8069724161,1.2573443374,0.7529010805,0.4985093134,1.1478577696,0.4713186469
0.01,0.45,0.1264969472,0.0071046524,0.8663984004,0.0572016652,0.0203279196,0.0604776155,0.8521890956,0.0831138425,0.7995976006,0.0907164232,0.8277360199,1.2495062969,0.7754879019,0.5261253663,1.1153701047,0.4829472462
0.01,0.47,0.1251122934,0.0075581105,0.8673295962,0.057142864,0.0200251175,0.0602238319,0.8522133752,0.0821957904,0.8009943943,0.0903357478,0.8493867583,1.2832891777,0.7921524835,0.5642276805,1.1044967775,0.5007759457
0.01,0.49,0.1242353697,0.0071246474,0.8686399829,0.0570558485,0.0200571534,0.06034066,0.854390688,0.0826195042,0.8029599743,0.0905109901,0.8828790498,1.2858110982,0.8147057165,0.5880267486,1.1944693687,0.5303978356
0.03,0.01,0.1707451709,0.0503317028,0.7789231264,0.0679840155,0.0699735012,0.0971473163,0.6782597208,0.2201065553,0.6687981576,0.1440973502,0.8933530796,0.7607076462,0.8530021275,0.1024845344,0.287209074,0.1179453052
0.03,0.03,0.1682972114,0.0460170672,0.7856857214,0.0670922716,0.0616217214,0.0907420196,0.6936515871,0.1961708842,0.6786592638,0.1355458866,0.8785291057,0.7437626988,0.8370023034,0.1193278329,0.3014311776,0.129386638
0.03,0.05,0.1654243582,0.0441496769,0.7904259649,0.0663907858,0.0640335354,0.0925515302,0.7021266112,0.2036753453,0.6857921234,0.1381860093,0.8650474638,0.7631254431,0.8196679484,0.1369460117,0.3158300211,0.1522883601
0.03,0.07,0.1625286536,0.0402356554,0.7972356911,0.0652068491,0.0583452037,0.087199201,0.7167643803,0.1863658028,0.6961009748,0.1296956673,0.8523736362,0.7577228142,0.8075292757,0.1539494212,0.3308710879,0.1627056487
0.03,0.09,0.1604234656,0.0383511265,0.8012254079,0.0651981186,0.0536816096,0.0837876814,0.7245231549,0.1727710294,0.7019141643,0.1253074439,0.8384112645,0.7470630642,0.7916491634,0.1743574528,0.3326098344,0.1757474256
