arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20,1,0.3,0.3,7,8,0.0,0.1818449673,0.382394687,0.4357603456,0.0652351751,0.0822820264,0.0841264506,-0.3290290285,0.2309599838,0.2110380262,0.0899434396,0.9228771664,0.1731974489,0.1537845886,0.6830236523,0.1282396525,0.1146120868
20,1,0.3,0.3,7,8,0.05,0.1882840718,0.3790168172,0.4326991109,0.0662605632,0.082541584,0.0845268243,-0.3253345235,0.2313700633,0.2065016603,0.0906831147,0.9389245832,0.1737587712,0.1546704664,0.7009711648,0.1288241386,0.1152455438
20,1,0.3,0.3,7,8,0.1,0.1966885422,0.375317742,0.4279937159,0.0673073135,0.0823510879,0.0843764439,-0.3226417681,0.2301908208,0.1998131181,0.0901421213,0.9651118649,0.1739332854,0.1549583588,0.7350873359,0.1286683207,0.1155625236
20,1,0.3,0.3,7,8,0.15,0.2043697647,0.3717442068,0.4238860285,0.0683694134,0.0820140257,0.0838347669,-0.3196023851,0.2282407797,0.193343307,0.0899019797,1.0061672011,0.1739581431,0.1551082844,0.7701287777,0.128736734,0.1152376791
20,1,0.3,0.3,7,8,0.2,0.21438269,0.3668615703,0.4187557396,0.0693231959,0.0819241698,0.083831791,-0.314967401,0.2274671716,0.1860774092,0.0894837572,1.0696498447,0.1755203036,0.1566343869,0.8203344847,0.1294777402,0.1166344346
20,1,0.3,0.3,7,8,0.25,0.2233671582,0.3614033634,0.4152294783,0.070566589,0.081882731,0.0838695145,-0.3075772485,0.2266532357,0.1800281358,0.0889687353,1.1449866676,0.1782739349,0.1581598087,0.8753536344,0.13064461,0.1177553661
20,1,0.3,0.3,7,8,0.3,0.2353814404,0.3563387725,0.4082797872,0.071781624,0.0820581085,0.0843130573,-0.3043977577,0.2267643508,0.1720514157,0.0883179479,1.2591965152,0.1818022705,0.1626530747,0.9482628601,0.1326240303,0.1207904303
20,1,0.3,0.3,7,8,0.35,0.2468228657,0.3493839397,0.4037931946,0.0729718504,0.0817158996,0.0841222517,-0.2949746849,0.2250440118,0.1646083479,0.087789139,1.3891160353,0.1859275657,0.1654803768,1.0142580946,0.1358327495,0.1221062934
20,1,0.3,0.3,7,8,0.4,0.2612406898,0.3442642197,0.3944950905,0.0744966498,0.0820989441,0.0841325027,-0.2940333488,0.2248927569,0.1554407112,0.0859300431,1.5737135431,0.1913913358,0.1729853251,1.0938292267,0.1388424755,0.1263966684
20,1,0.3,0.3,7,8,0.45,0.2767738065,0.3366298425,0.3865963509,0.0760952694,0.0820567322,0.0843967201,-0.2866633342,0.2240251836,0.1475895312,0.0840300904,1.7917164138,0.1992087012,0.1811192206,1.1731953853,0.1432104459,0.1307258958
20,1,0.3,0.3,7,8,0.5,0.296736673,0.3266960403,0.3765672868,0.0779824756,0.081005031,0.084092604,-0.2768247938,0.2200523926,0.1392544007,0.0804409933,2.093351862,0.2095865829,0.1916301383,1.2618962189,0.1480730423,0.1364407342
20,1,0.3,0.3,7,8,0.55,0.3177098582,0.3166928268,0.365597315,0.079303306,0.0808657123,0.0836296908,-0.2677883386,0.2182643521,0.1337162852,0.0773052339,2.4318507802,0.2237756207,0.2052008981,1.3245318748,0.1545084534,0.1423776423
20,1,0.3,0.3,7,8,0.6,0.345035027,0.3053360945,0.3496288785,0.0810789986,0.0794863014,0.0826956433,-0.2610433106,0.2127828304,0.1318756025,0.076389085,2.8893204128,0.2405923349,0.2283232597,1.3928583902,0.159930503,0.1500389096
