arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20.0,3.0,0.1,0.1,7,10,0.3,0.4565874246,0.2236541579,0.3197584175,0.0842833001,0.0702718502,0.0788957345,-0.1275498982,0.1846484741,,,,,,,,
20.0,3.0,0.1,0.1,7,10,0.6,0.5960234941,0.1668157961,0.2371607098,0.0827499314,0.062749778,0.071617814,-0.0964708823,0.159114548,,,,,,,,
20.0,3.0,0.1,0.1,7,10,0.9,0.8544248224,0.0598364694,0.0857387082,0.0596140268,0.0400548948,0.0472658145,-0.0339342307,0.0960253867,,,,,,,,
20.0,3.0,0.3,0.3,5,10,0.0,0.1815763547,0.2718052402,0.5466184051,0.0651647741,0.0749969582,0.0835592645,0.0030079246,0.2149437575,,,,,,,,
20.0,3.0,0.3,0.3,5,10,0.3,0.2408072268,0.2532920341,0.5059007391,0.0721294769,0.0733698712,0.084412673,-0.0006833292,0.2080144303,,,,,,,,
20.0,3.0,0.3,0.3,5,10,0.6,0.3571737066,0.2150208162,0.4278054772,0.0811170795,0.0693740613,0.0836428197,-0.0022361552,0.1915853986,,,,,,,,
20.0,3.0,0.3,0.3,5,10,0.7,0.426338545,0.1912128222,0.3824486328,0.0836709852,0.0666056485,0.0825094908,2.29885e-05,0.1817681357,,,,,,,,
20.0,3.0,0.3,0.3,5,10,0.8,0.5269114014,0.1581977583,0.3148908403,0.0844661395,0.0618061576,0.0783743966,-0.0015046762,0.1645557272,,,,,,,,
20.0,3.0,0.3,0.3,5,10,0.9,0.6894630628,0.1031292891,0.2074076481,0.0781796129,0.0513879604,0.0684230966,0.0011490699,0.1329112167,,,,,,,,
20.0,3.0,0.3,0.3,7,10,0.0,0.1640631113,0.3441824802,0.4917544085,0.062516001,0.0802426085,0.0840940891,-0.1966105519,0.2281056862,,,,,,,,
