arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20,1,0.4,0.2,7,8,0.5,0.3124715964,0.4368312208,0.2506971828,0.0780717662,0.0840533157,0.0732262661,-0.6229652587,0.2151409215,0.1835674653,0.0984141929,2.1613399288,0.1863579921,0.1220172488,1.2182666099,0.1279328301,0.085624695
20,1,0.4,0.2,7,8,0.55,0.3357183561,0.4221558896,0.2421257543,0.0796190123,0.0834386263,0.0724016106,-0.6021860249,0.2117064749,0.1747768772,0.0918102257,2.5251622919,0.2059888701,0.1286841535,1.2765011515,0.1341652236,0.0886290593
20,1,0.4,0.2,7,8,0.6,0.3624980898,0.4060886207,0.2314132895,0.0811343384,0.0829163621,0.0713041039,-0.5807639519,0.2081778147,0.1716113829,0.0869030363,2.9557849219,0.230167856,0.1388246858,1.3267576639,0.1400316408,0.0920851789
20,1,0.4,0.2,7,8,0.65,0.393284536,0.3853767987,0.2213386653,0.0823864618,0.0828354235,0.0706519033,-0.549414932,0.2063256175,0.1754532081,0.0852236424,3.4607928238,0.2644750241,0.1500815562,1.360919445,0.1466521336,0.0956965289
20,1,0.4,0.2,7,8,0.7,0.4316912201,0.3620482022,0.2062605777,0.083636052,0.0809862173,0.06827102,-0.5178358268,0.198356806,0.1953930803,0.0914617076,4.0965922036,0.3052393942,0.1681282719,1.3872861537,0.1492820569,0.0992775161
20,1,0.4,0.2,7,8,0.75,0.4763734781,0.3332676831,0.1903588389,0.0844418288,0.0796083667,0.0662309932,-0.4761765273,0.1921555119,0.235670868,0.1046450549,4.8383394261,0.3585991971,0.1901093184,1.4025714872,0.1503984013,0.1023109736
20,1,0.4,0.2,7,8,0.8,0.5322483665,0.2978288285,0.169922805,0.0843409409,0.0770977966,0.0632285294,-0.425734852,0.1828419362,0.3042660763,0.1175209594,5.7665905282,0.4258682982,0.2215039474,1.401347769,0.1479639484,0.1027640353
20,1,0.4,0.2,7,8,0.85,0.6026856143,0.2528212233,0.1444931624,0.0831155911,0.0738810346,0.0593585875,-0.3611492841,0.171768351,0.4048422894,0.1229017019,6.936930207,0.5124575897,0.2631388324,1.3809975132,0.1423359636,0.1004414407
20,1,0.4,0.2,7,8,0.9,0.6943128504,0.1943845467,0.1113026029,0.0780657244,0.0668301791,0.0533051352,-0.2774664905,0.152096794,0.5414896276,0.1170313635,8.4593519752,0.625115517,0.3197779298,1.2970920368,0.1288867741,0.0917327489
20,1,0.4,0.2,7,8,0.95,0.8193448781,0.1150156747,0.0656394473,0.0653463793,0.0540425205,0.0417653643,-0.164391902,0.1192321371,0.7290173171,0.098019569,10.5368072048,0.778184056,0.3985772106,1.085755226,0.1042248609,0.0721585342
20,1,0.4,0.2,7,10,0.0,0.1724094691,0.4822945692,0.3452959617,0.0639197188,0.0842263139,0.0802104464,-0.6192931767,0.2317199128,0.2466716892,0.1028374122,0.6975048075,0.138956363,0.1147235818,0.540969397,0.1055055115,0.0878250095
