lamb,f0_pool_avg,f1_pool_avg,f2_pool_avg,f0_pool_std,f1_pool_std,f2_pool_std,f0_trajs_avg,f1_trajs_avg,f2_trajs_avg,f0_trajs_std,f1_trajs_std,f2_trajs_std
0.0,0.17541142857142855,0.5034971428571429,0.3210914285714286,0.06621651338524219,0.08952581768770984,0.08433103265932272,0.17541142857142858,0.5034971428571429,0.3210914285714286,0.0035305824229010627,0.014931633042173322,0.015922228333435033
0.1,0.16792571428571426,0.48634857142857146,0.3457257142857143,0.06423406966806983,0.09134687046011561,0.08626262623937603,0.16792571428571423,0.4863485714285713,0.3457257142857143,0.004482641349627222,0.02239798022964005,0.023193029213141467
0.2,0.16218658892128282,0.47697959183673466,0.36083381924198255,0.06196329880718437,0.09341326182283491,0.09127285093005624,0.16218658892128276,0.4769795918367347,0.3608338192419825,0.004567619046957395,0.032701902248374236,0.03402866893987905
0.30000000000000004,0.1555885714285714,0.46196571428571426,0.3824457142857143,0.06013481887239976,0.09866333835165865,0.09898469327143876,0.15558857142857144,0.4619657142857143,0.38244571428571417,0.004761807237096571,0.03025095795413521,0.03245896171966022
0.4,0.14748,0.43457714285714283,0.41794285714285706,0.0592333383789079,0.10662318145923894,0.10902467797780126,0.14747999999999997,0.4345771428571429,0.4179428571428571,0.004154049904881369,0.03752330388830223,0.03993100171494804
0.5,0.14202285714285715,0.4057314285714285,0.45224571428571436,0.0577761151130034,0.11510123189468247,0.1198162608295872,0.14202285714285712,0.4057314285714286,0.4522457142857143,0.004580647846525375,0.04038295902471532,0.0432706531081767
0.6000000000000001,0.1349942857142857,0.34703428571428574,0.5179714285714285,0.05644043246048466,0.1181767115425895,0.12514402804409822,0.13499428571428573,0.34703428571428563,0.5179714285714286,0.004224414945605254,0.0497698175891488,0.05241854322154888
0.7000000000000001,0.13006857142857142,0.31874857142857144,0.5511828571428572,0.05558486242325553,0.14165725108046348,0.14976467538053403,0.13006857142857142,0.3187485714285714,0.5511828571428571,0.005186028325792132,0.09091412211532378,0.09500472185902238
0.8,0.11887428571428572,0.2218,0.6593257142857143,0.05201889484031897,0.1256637268462859,0.13569161627208445,0.1188742857142857,0.2218,0.6593257142857144,0.005203581184420696,0.07398102900785596,0.07791838241626518
0.9,0.11110857142857145,0.13218857142857143,0.7567028571428572,0.051495468871403764,0.11196345045029067,0.12431219041475491,0.11110857142857142,0.1321885714285714,0.756702857142857,0.004058205092331901,0.07091443789554293,0.07406825776379018
