pi1,pi2,lamb,trajs,used_iters,f2_avgs_trajs,f2_avg,f2_std_trajs,f2_std_pool,f1_avgs_trajs,f1_avg,f1_std_trajs,f1_std_pool,f0_avgs_trajs,f0_avg,f0_std_trajs,f0_std_pool
0.3,0.3,0.0,5,"[150, 150, 150, 150, 150]","[0.4817587641117052, 0.4666666666666667, 0.4755015033704182, 0.4867709023003141, 0.48755793226381455]",0.47965115374258377,0.007790590355204154,0.08946143700953223,"[0.32268568033273914, 0.34019607843137256, 0.3298850062491036, 0.31526491808844753, 0.31245989304812827]",0.3240983152299582,0.010080685357006928,0.09082805474354623,"[0.1955555555555555, 0.19313725490196076, 0.1946134903804782, 0.1979641796112384, 0.199982174688057]",0.19625053102745796,0.0024379145636540507,0.07025007612118718
0.3,0.3,0.3,5,"[0, 150, 150, 75, 150]","[0.547047619047619, 0.5295238095238094, 0.49638095238095237, 0.5239999999999999]",0.5242380952380952,0.01819539948333853,0.07859969335824994,"[0.26838095238095233, 0.2788571428571428, 0.33295238095238094, 0.2948571428571428]",0.29376190476190467,0.024512433792482538,0.07035263510839117,"[0.18457142857142855, 0.1916190476190476, 0.17066666666666663, 0.18114285714285713]",0.182,0.00755508868772334,0.0657282051707824
0.3,0.3,0.6,5,"[150, 100, 150, 75, 150]","[0.624, 0.6448571428571429, 0.6192885154061624, 0.6361904761904762, 0.6006330532212885]",0.6249938375350139,0.015145308458535456,0.10755959058381945,"[0.22419047619047613, 0.20971428571428563, 0.22331652661064424, 0.20419047619047614, 0.24081232492997193]",0.22044481792717083,0.0127785754680432,0.0986242532057251,"[0.15180952380952378, 0.1454285714285714, 0.15739495798319325, 0.15961904761904758, 0.15855462184873947]",0.1545613445378151,0.005301623360504935,0.0646807019921477
0.3,0.3,0.9,5,"[30, 150, 150, 150, 150]","[0.7971428571428573, 0.7977142857142856, 0.7767619047619048, 0.7285714285714285, 0.7937142857142857]",0.7787809523809524,0.026243886665309083,0.07931952045132468,"[0.05142857142857143, 0.05066666666666668, 0.06457142857142859, 0.13180952380952377, 0.0664761904761905]",0.07299047619047619,0.030120640274096777,0.06610745454254367,"[0.1514285714285714, 0.1516190476190476, 0.15866666666666665, 0.13961904761904756, 0.1398095238095238]",0.1482285714285714,0.007425542728128117,0.06003454356012838
0.4,0.2,0.0,5,"[150, 150, 150, 150, 150]","[0.318016806722689, 0.33699719887955176, 0.32878431372549016, 0.30482352941176466, 0.34038095238095234]",0.3258005602240896,0.013019047414137565,0.07765336833148762,"[0.4641848739495798, 0.45570308123249303, 0.4439103641456583, 0.47019047619047616, 0.4407619047619047]",0.4549501400560224,0.011325173278175326,0.08189327229761428,"[0.21779831932773105, 0.2072997198879552, 0.22730532212885152, 0.22498599439775907, 0.2188571428571428]",0.2192492997198879,0.006969372312396487,0.07425437230420269
0.4,0.2,0.3,5,"[150, 150, 150, 150, 125]","[0.4064374628639334, 0.380104405398523, 0.37085714285714283, 0.4191036414565825, 0.39657142857142863]",0.3946148162295221,0.017425756413155802,0.08987963626736611,"[0.3915920868347339, 0.4076248196248196, 0.4339047619047619, 0.3947394957983193, 0.40937142857142855]",0.4074465185468127,0.014943942876693867,0.0908698768304482,"[0.20197045030133265, 0.2122707749766573, 0.19523809523809524, 0.18615686274509802, 0.19405714285714282]",0.1979386652236652,0.008750255135218174,0.07289831711118198
0.4,0.2,0.6,5,"[150, 150, 150, 150, 150]","[0.5911148459383753, 0.4817142857142857, 0.48061064425770306, 0.5153781512605042, 0.5400746965452847]",0.5217785247432306,0.04119023610722338,0.12477305544598545,"[0.2223025210084033, 0.3525714285714285, 0.3531316526610644, 0.3172549019607844, 0.29985179526356]",0.3090224598930481,0.04798823929234804,0.11470745348601913,"[0.1865826330532213, 0.1657142857142857, 0.16625770308123247, 0.16736694677871147, 0.16007350819115523]",0.16919901536372123,0.009051145552958549,0.06576751069813573
0.4,0.2,0.9,5,"[150, 150, 125, 150, 100]","[0.7423809523809524, 0.6525074272133096, 0.7857275273745863, 0.5479999999999999, 0.6231596638655462]",0.6703551141668789,0.08487077179022001,0.13523672162846115,"[0.09629131652661063, 0.19536202359731766, 0.06719612936083523, 0.28895238095238096, 0.21942857142857142]",0.17344608437314318,0.08145957672232401,0.12447782674654485,"[0.16132773109243695, 0.1521305491893727, 0.14707634326457852, 0.16304761904761902, 0.15741176470588233]",0.15619880145997792,0.00590683369367223,0.059955959232831084
