pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
0.3,0.3,7,9,0.6,0.1411947013,0.2859238762,0.5728814225,0.0601300042,0.1187129715,0.1266347472,0.0010336702,0.3541672774,0.3829685436,0.1586411009,0.8996320563,0.3240534084,0.3256711679,0.6419631532,0.2161460009,0.2184369057
0.3,0.3,7,9,0.65,0.1381758132,0.2631120791,0.5987121077,0.0593775905,0.1208630249,0.1294805817,0.0724879494,0.3617892913,0.4160893705,0.1678079092,0.9119776529,0.3636039629,0.3697086136,0.6468438168,0.2322085256,0.2362733153
0.3,0.3,7,9,0.7,0.1350258864,0.2470261006,0.617948013,0.0587949224,0.1276818391,0.136666384,0.1238958118,0.383321442,0.4474652765,0.1730657137,0.9308552549,0.4070016169,0.4152332473,0.6521751134,0.2442648445,0.2478167481
0.3,0.3,7,9,0.75,0.1325015175,0.2199082372,0.6475902453,0.0581526931,0.1259785917,0.1358209006,0.2077737708,0.3792124906,0.4852949263,0.1795174928,0.9445105465,0.4573068297,0.4685922928,0.6570103606,0.2570896344,0.2613158783
0.3,0.3,7,9,0.8,0.1294594209,0.1959003106,0.6746402685,0.0577475154,0.1307264541,0.1411792013,0.2828396472,0.3945397119,0.526849002,0.1836500767,0.970221217,0.519360398,0.5310685839,0.6610731438,0.2669317105,0.2704583809
0.3,0.3,7,9,0.85,0.1258206877,0.1654611347,0.7087181776,0.0572261052,0.1303530534,0.1415783262,0.3777959082,0.3943794167,0.5750174956,0.1871536668,0.998698495,0.5907404101,0.6031598468,0.6720871867,0.2747804054,0.2792947271
0.3,0.3,7,9,0.9,0.1223772628,0.1097982647,0.7678244725,0.0563114823,0.1089220557,0.122453462,0.548227943,0.3314010715,0.6555200486,0.1730401408,1.026619238,0.7143155708,0.7239868992,0.6753226276,0.2563408906,0.2633672281
0.3,0.3,7,9,0.95,0.118247938,0.0624179669,0.819334095,0.0550787717,0.0980920306,0.1134261213,0.6944981612,0.3004353367,0.7345219052,0.149979583,1.0600444755,0.8447077006,0.8471413271,0.6813758122,0.2116629691,0.2292226441
0.3,0.3,7,10,0.0,0.1641828829,0.3431017246,0.4927153926,0.0623559115,0.0795614286,0.0844468535,-0.1934880566,0.2271506534,0.2587626308,0.105543547,0.7822865712,0.1835411045,0.1657790659,0.5824716482,0.1404794522,0.1237769463
0.3,0.3,7,10,0.05,0.16164566,0.3425822116,0.4957721284,0.0623751168,0.0822284606,0.0873782398,-0.1893922948,0.2359929625,0.2648934195,0.1083571376,0.785506096,0.190499824,0.172036724,0.5797224787,0.144169743,0.1277466877
0.3,0.3,7,10,0.1,0.1589898954,0.3357549898,0.5052551148,0.0619208388,0.0837108059,0.0887805609,-0.1662548649,0.2408787611,0.2766242368,0.1119308568,0.7819961676,0.1945400895,0.1760604026,0.576598517,0.1479580603,0.1318810004
0.3,0.3,7,10,0.15,0.1562562931,0.3331602814,0.5105834256,0.0615864274,0.0865841086,0.0917557269,-0.1557371371,0.2503046371,0.2849160924,0.1159609737,0.7825431005,0.2023705978,0.1837927064,0.5744104351,0.1527792493,0.1373476759
0.3,0.3,7,10,0.2,0.1537626308,0.3252390474,0.5209983218,0.0618767022,0.0882518223,0.0944930807,-0.1294797729,0.2566314072,0.2987121077,0.1208117874,0.7931007175,0.210166285,0.1942849629,0.5770348755,0.1568412407,0.1447616652
0.3,0.3,7,10,0.25,0.1501456779,0.3165712143,0.5332831078,0.0607849292,0.0911405875,0.097790518,-0.0998593209,0.2667189179,0.3158372907,0.1263310463,0.7919191448,0.2223244019,0.2095787011,0.5685786175,0.1647118122,0.1542570741
0.3,0.3,7,10,0.3,0.1480886921,0.3117270682,0.5401842397,0.0609800948,0.0935320492,0.1007177883,-0.0832698968,0.2747444997,0.3255345092,0.1313472188,0.8021525754,0.232138802,0.2204066884,0.5724468233,0.1698755917,0.1623224002
0.3,0.3,7,10,0.35,0.1448184382,0.3017349234,0.5534466383,0.0603803091,0.0961073832,0.1033213849,-0.0500232085,0.2831150596,0.3439997144,0.1359422058,0.8073663819,0.2471515965,0.2390900554,0.5739920833,0.1791970512,0.1723634694
0.3,0.3,7,10,0.4,0.1418638198,0.2948005856,0.5633355947,0.0599706702,0.0999562266,0.1075506699,-0.0262655765,0.2957295396,0.3599562609,0.1402073988,0.8188938113,0.2642210876,0.2585272787,0.5730881087,0.1874356966,0.1824638424
0.3,0.3,7,10,0.45,0.1390855857,0.2817777698,0.5791366444,0.0594906893,0.1009340257,0.1096373166,0.0155811047,0.3001812861,0.3802210162,0.1470748647,0.8255750165,0.2829606714,0.2823328878,0.579055457,0.1970696582,0.1954550479
0.3,0.3,7,10,0.5,0.1359670797,0.2676545149,0.5963784054,0.0586115995,0.1033760209,0.1120046447,0.0610693755,0.3080326156,0.4041427143,0.1526813512,0.8353472987,0.3103413942,0.3121932799,0.577900726,0.2082699256,0.2084632846
0.3,0.3,7,10,0.55,0.132805013,0.2511322169,0.61606277,0.0584003184,0.1048428993,0.1143880289,0.1137983361,0.313663626,0.4321433927,0.1576326469,0.8534398452,0.3429704139,0.3498225989,0.5857323042,0.2197716697,0.2209471663
0.3,0.3,7,10,0.6,0.1301978077,0.2333123862,0.6364898061,0.0578668135,0.1074841085,0.1177113091,0.1698650337,0.3227812295,0.4621203628,0.1628975832,0.8665689805,0.3840547006,0.3925494673,0.5888113269,0.2320496367,0.233877152
0.3,0.3,7,10,0.65,0.1271003678,0.2192526868,0.6536469454,0.0572497726,0.1104626498,0.1214526703,0.2151415717,0.3330302726,0.4874838433,0.168614129,0.8844237659,0.4188556092,0.4308025547,0.5929027913,0.2436687878,0.2452263769
0.3,0.3,7,10,0.7,0.1236651551,0.1951419288,0.6811929161,0.0566178439,0.1065084364,0.1179192233,0.2909090584,0.3215088666,0.5264119684,0.1667188426,0.9064571769,0.4709467191,0.4859670194,0.5993899902,0.2480988704,0.2501035494
0.3,0.3,7,10,0.75,0.1209497626,0.171232549,0.7078176884,0.0561747878,0.1067647598,0.1188551687,0.3653525904,0.3232038418,0.564753633,0.1711314622,0.9266412335,0.5313534031,0.5450948938,0.6044409357,0.2577961466,0.2601852742
0.3,0.3,7,10,0.8,0.1166304852,0.1436423037,0.7397272111,0.0550882146,0.1036750827,0.1164502815,0.4524426036,0.31480743,0.6120330632,0.1681264421,0.9555557081,0.6030692837,0.6184847076,0.6138043591,0.2580717759,0.2602922991
0.3,0.3,7,10,0.85,0.1139732924,0.1069011319,0.7791255757,0.0544620035,0.0918435815,0.1063650082,0.565323312,0.2803922004,0.6698425394,0.1557264175,0.977261637,0.6983000168,0.7087701253,0.6174524602,0.2427552237,0.246967461
0.3,0.3,7,10,0.9,0.1102788589,0.0753957939,0.8143253472,0.0535660882,0.080327399,0.0971045002,0.6635337594,0.2475159519,0.7221264327,0.143103619,1.0076142137,0.7859072477,0.7929614126,0.6252792201,0.2162034626,0.2282165899
0.3,0.3,7,10,0.95,0.1069471918,0.0383764773,0.8546763309,0.0530297471,0.0580965358,0.0787736109,0.7779233763,0.1823260321,0.7821028671,0.117693389,1.0410976926,0.8896661039,0.8894826781,0.63132444,0.1626361799,0.1905843959
0.4,0.2,7,8,0.0,0.1847745207,0.5192037705,0.2960217089,0.0657061063,0.0850774988,0.0776826182,-0.7423858321,0.2299962337,0.2860659835,0.1171220275,0.8798442148,0.1308830955,0.1077077931,0.6463744824,0.0989594001,0.0801151868
0.4,0.2,7,8,0.05,0.1825707859,0.5184832363,0.2989459778,0.0655431866,0.0866024896,0.0797493701,-0.7380204949,0.235558941,0.2862652194,0.1178873883,0.8802920149,0.1331680345,0.1105445696,0.6426110339,0.1008050329,0.082411207
0.4,0.2,7,8,0.1,0.1800992609,0.5204281073,0.2994726318,0.0655131457,0.0880867228,0.0818369243,-0.7413835827,0.2409637452,0.289903417,0.1193438517,0.8825630955,0.1359386939,0.1135589246,0.6427382868,0.101950826,0.0844539757
0.4,0.2,7,8,0.15,0.1780026422,0.5176113115,0.3043860463,0.0648626855,0.0908397175,0.0852017659,-0.7308365766,0.2507485043,0.2881402864,0.1209597194,0.8784111664,0.1403108407,0.1187681137,0.6356989257,0.1049179435,0.0881239235
0.4,0.2,7,8,0.2,0.1751155068,0.5172231942,0.307661299,0.0648562342,0.094350036,0.0888505963,-0.7267850894,0.2620728885,0.290936016,0.1225521964,0.8840022961,0.1453856179,0.123726257,0.6385758904,0.1094485703,0.0930060746
0.4,0.2,7,8,0.25,0.1731867033,0.512785018,0.3140282786,0.0647900974,0.096967903,0.0923707846,-0.7115417574,0.2713267722,0.2877819831,0.1235808724,0.8896408865,0.1498888798,0.1300781776,0.6380926108,0.1123750617,0.0974475567
0.4,0.2,7,8,0.3,0.1705145142,0.5124004713,0.3170850145,0.0643809255,0.1011477476,0.0965572396,-0.7077159282,0.2847196788,0.291229514,0.1258898038,0.894184366,0.1564295661,0.136500732,0.6357203719,0.1171391065,0.1024559977
0.4,0.2,7,8,0.35,0.1677466348,0.5107787339,0.3214746313,0.0638219239,0.1047570338,0.1013766592,-0.7000828364,0.297538942,0.2940943336,0.126884017,0.896643092,0.1619282934,0.1435446853,0.6359937906,0.1217322086,0.1094327149
0.4,0.2,7,8,0.4,0.1660002856,0.5043481987,0.3296515157,0.0640998835,0.1089845835,0.1059671462,-0.6790448816,0.3110230774,0.2922326561,0.1275155711,0.9073536012,0.1695613852,0.1527557082,0.642370163,0.1271744033,0.1162649295
0.4,0.2,7,8,0.45,0.1632016996,0.5018495376,0.3349487628,0.0636563867,0.1137571093,0.1111201678,-0.6687503124,0.3264703409,0.295659835,0.1294479337,0.9152259188,0.1774660927,0.1616524098,0.6437829593,0.1329309693,0.123286689
0.4,0.2,7,8,0.5,0.1611450709,0.4999260899,0.3389288392,0.0632936727,0.1204328551,0.1188638038,-0.6609233406,0.348422257,0.3019679009,0.1334113086,0.9220558597,0.1893500859,0.1741853908,0.6444586312,0.1392067778,0.1314319644
0.4,0.2,7,8,0.55,0.1588645696,0.497115364,0.3440200664,0.0629484195,0.126472125,0.1258857668,-0.6502106616,0.3682225716,0.3064105402,0.1376284784,0.931622479,0.1992356248,0.1863216253,0.6459620173,0.1466333657,0.1393002818
0.4,0.2,7,8,0.6,0.1560420609,0.4816860071,0.362271932,0.0620212255,0.1332592334,0.1328028358,-0.6011000821,0.3895698326,0.3068331131,0.1359873673,0.9369932242,0.2146376671,0.2043715585,0.6468852064,0.1581944807,0.1545710065
0.4,0.2,7,8,0.65,0.153790838,0.4764326775,0.3697764845,0.0622777329,0.146435923,0.1469424588,-0.5830888706,0.4309061427,0.3219477274,0.1437398313,0.9554407003,0.2372565277,0.2268712593,0.6557254461,0.1733603239,0.1706616319
0.4,0.2,7,8,0.7,0.1508651409,0.4585749991,0.39055986,0.0616939973,0.1579556472,0.1599819622,-0.5265901382,0.467835767,0.333154747,0.1479798513,0.9699394932,0.2661778688,0.2593313043,0.6596660839,0.1879165116,0.1889538253
0.4,0.2,7,8,0.75,0.1483889742,0.4338815296,0.4177294962,0.0609939935,0.168721318,0.1710668058,-0.450033563,0.5011509957,0.3440912986,0.1549626721,0.97984405,0.2984766053,0.2961977449,0.663892291,0.2084097619,0.2089968321
0.4,0.2,7,8,0.8,0.1455382583,0.4018495376,0.4526122041,0.0607776024,0.1811218711,0.1853966723,-0.3510868711,0.5408869913,0.368081551,0.1634413053,1.0015370883,0.3472312024,0.3488928682,0.6713099101,0.2281940127,0.2320976103
0.4,0.2,7,8,0.85,0.1425593602,0.3646831149,0.4927575249,0.0601378266,0.1969374591,0.2019976157,-0.236608705,0.5898153699,0.4049423358,0.1788253513,1.0208019424,0.4079527567,0.4109837912,0.6767573346,0.2566109431,0.2611122471
0.4,0.2,7,8,0.9,0.139180562,0.2944281787,0.5663912593,0.0594700516,0.2141501532,0.220894222,-0.022465098,0.64379432,0.4795053022,0.1976337138,1.0460802382,0.5283926212,0.5323339337,0.6829176818,0.2795496274,0.2831092309
0.4,0.2,7,8,0.95,0.1343060663,0.179000607,0.6866933267,0.0587621252,0.2016820123,0.2109917631,0.3286921127,0.6088517079,0.5993719427,0.2038835553,1.0868019259,0.7096349127,0.7134832063,0.6977048561,0.2764951079,0.2810047626
0.4,0.2,7,9,0.0,0.1787492413,0.4997511336,0.3214996251,0.0648170675,0.0848494791,0.0792122586,-0.6780026422,0.2315552762,0.2636348056,0.1103037841,0.7702365585,0.1362916414,0.1117353878,0.5743807603,0.101106739,0.0836709003
0.4,0.2,7,9,0.05,0.1760438462,0.4971921305,0.3267640233,0.0645590926,0.0867727321,0.0820368195,-0.6676202378,0.2388124967,0.2624243939,0.1111018665,0.7698025494,0.1395608241,0.1159879261,0.5697759454,0.1033070231,0.0868056551
0.4,0.2,7,9,0.1,0.1731038669,0.4944935195,0.3324026136,0.0641108879,0.0891917143,0.0852060125,-0.6565844253,0.2475696935,0.2630365623,0.1106991955,0.7664389785,0.1435698218,0.120950217,0.5677187557,0.1064407776,0.0910551276
0.4,0.2,7,9,0.15,0.1712046988,0.4938540365,0.3349412647,0.0638678602,0.0919634538,0.0884665237,-0.6527668083,0.2570300203,0.2654316778,0.1121694355,0.7666930326,0.148400757,0.1258690922,0.5660712995,0.1093499619,0.0950185451
0.4,0.2,7,9,0.2,0.1683968294,0.4885242975,0.3430788731,0.0634859188,0.0952338572,0.0924300546,-0.6339697219,0.2683019689,0.2641864534,0.1125358224,0.7681009159,0.1541464634,0.1331468881,0.5642786587,0.1142085155,0.1012850747
0.4,0.2,7,9,0.25,0.1653679437,0.4848887778,0.3497432785,0.0635261934,0.0981980999,0.0958474934,-0.6200342771,0.2781119783,0.265043382,0.112888818,0.7780857727,0.1597636305,0.140591111,0.5653808122,0.1181543306,0.106080799
0.4,0.2,7,9,0.3,0.1628267933,0.4772528296,0.359920377,0.063242336,0.1028975323,0.1017978634,-0.5945852823,0.2943070536,0.2651612097,0.1140170332,0.7839660673,0.1699660799,0.1535378044,0.5645593598,0.1246309565,0.1149294899
0.4,0.2,7,9,0.35,0.1605812833,0.4731095797,0.366309137,0.062938829,0.1070758412,0.1066334716,-0.5799100225,0.308189737,0.2692546506,0.1151263622,0.7877954041,0.1784346771,0.1628363189,0.5665145186,0.1300553263,0.122682893
0.4,0.2,7,9,0.4,0.1578312565,0.4670428821,0.3751258614,0.0626404066,0.1104826385,0.1112840454,-0.5589599029,0.3202237586,0.2717702717,0.1150968313,0.7954276137,0.1853822259,0.1737135297,0.5692314848,0.1371268405,0.1312885071
0.4,0.2,7,9,0.45,0.154949834,0.4560413468,0.3890088192,0.0620912027,0.1157364127,0.1167120701,-0.5230738744,0.3369332135,0.2751133645,0.1161445949,0.802718438,0.2001006891,0.1904578401,0.5704453522,0.1458383897,0.1421646657
0.4,0.2,7,9,0.5,0.1521169708,0.4430660192,0.40481701,0.0618410777,0.1212381955,0.1232823256,-0.4813150284,0.3551607494,0.2806785804,0.1188406581,0.8154423159,0.2167693791,0.2107852058,0.573740948,0.1573904355,0.1560856831
0.4,0.2,7,9,0.55,0.1497154283,0.4295665369,0.4207180348,0.0613064591,0.1264429463,0.1293850888,-0.4384150391,0.372332448,0.2878757096,0.1223810486,0.823111575,0.2353640161,0.2334642563,0.5756154303,0.16851868,0.1676211217
0.4,0.2,7,9,0.6,0.1464644553,0.4098975256,0.4436380191,0.0609260586,0.133401321,0.1374841042,-0.3761570322,0.3950406842,0.3019577249,0.1294766577,0.8396250937,0.2647081087,0.2661248324,0.5806959329,0.1832678111,0.1850887694
0.4,0.2,7,9,0.65,0.1435301889,0.3870568072,0.4694130039,0.0603987785,0.13956043,0.1450288309,-0.3047006106,0.4155318787,0.3199269825,0.1382206405,0.85351074,0.2975820331,0.3029552053,0.5856068442,0.2009428955,0.2038259934
0.4,0.2,7,9,0.7,0.1402367265,0.3617206413,0.4980426322,0.0598745351,0.1484531414,0.1547640936,-0.2253986503,0.4437520313,0.346952369,0.1512129898,0.8698707676,0.3411489985,0.3491898005,0.5949686438,0.2196711766,0.2220733659
0.4,0.2,7,9,0.75,0.1372117685,0.3310450959,0.5317431356,0.0591669349,0.1519499619,0.159014035,-0.1303470561,0.4553983785,0.3762571857,0.1627029404,0.8880965053,0.3899575106,0.4007308662,0.5970013628,0.233390964,0.2351609441
0.4,0.2,7,9,0.8,0.1330617346,0.2869307673,0.5800074981,0.058667884,0.1553044086,0.1633602122,0.0061459635,0.4667896651,0.4267667012,0.1768604353,0.9175853095,0.4650823009,0.4781615435,0.6078314152,0.2485362799,0.2487532786
0.4,0.2,7,9,0.85,0.1297043596,0.2353490199,0.6349466205,0.0582848348,0.1553799054,0.1651577074,0.1642485807,0.4689290469,0.4909881458,0.1903372743,0.9457350368,0.5567836612,0.5688028692,0.6138311027,0.2583102392,0.2577220116
0.4,0.2,7,9,0.9,0.123944014,0.1571175063,0.7189384797,0.0568166507,0.1382215339,0.1500802202,0.404703467,0.4192220278,0.5951483558,0.1895650567,0.9879847685,0.6975906024,0.707355329,0.6236628765,0.2450749664,0.2455739304
0.4,0.2,7,9,0.95,0.1192016282,0.0817113579,0.799087014,0.0555548547,0.1074902575,0.1219209809,0.6356642982,0.3282475068,0.7056568001,0.1599369318,1.0269344429,0.8425893527,0.8459527776,0.6309614918,0.1900561946,0.1976494393
0.4,0.2,7,10,0.0,0.1723376299,0.4830274574,0.3446349127,0.0635959748,0.0835532531,0.0792064914,-0.6214200021,0.2293882854,0.2469070232,0.1024218461,0.6930097408,0.1377012125,0.113285188,0.5394689639,0.1048499017,0.0867256462
0.4,0.2,7,10,0.05,0.1700428464,0.4793326668,0.3506244867,0.0636342837,0.0868632569,0.0834325756,-0.6080408469,0.2409474886,0.2474908059,0.1031334329,0.6961220579,0.1433299583,0.1196331796,0.5373115939,0.1090048684,0.0915515877
0.4,0.2,7,10,0.1,0.167322098,0.4721687435,0.3605091584,0.0633876605,0.0883043354,0.0855290239,-0.5838283286,0.2463647392,0.2440679116,0.1014513122,0.6946625589,0.1471027396,0.1243517869,0.5372444132,0.1109066631,0.0952287013
0.4,0.2,7,10,0.15,0.1638658193,0.4676945049,0.3684396758,0.0632002492,0.0918080138,0.0899353018,-0.5669493341,0.2585513505,0.2462595065,0.1019766119,0.6996320648,0.1539551337,0.1333347453,0.5349472685,0.1159205497,0.101356821
0.4,0.2,7,10,0.2,0.1609447638,0.4616345914,0.3774206448,0.0628158495,0.0946628143,0.0938151028,-0.5458485379,0.2688465159,0.2478035848,0.1019484021,0.703037846,0.1604524379,0.1418191149,0.5322632666,0.1209127613,0.1090388312
0.4,0.2,7,10,0.25,0.1585546471,0.455656086,0.385789267,0.0626675229,0.0986869256,0.0987260512,-0.525522905,0.2825256066,0.2516860071,0.1027671659,0.7080073519,0.1700269831,0.153258358,0.5331858643,0.1266150152,0.116528918
0.4,0.2,7,10,0.3,0.1552394044,0.4490330989,0.3957274967,0.061857316,0.1023259885,0.103736862,-0.502338701,0.295727919,0.2561650659,0.1043728176,0.7092330659,0.1788320522,0.1655533765,0.531911713,0.1335176898,0.1261456967
0.4,0.2,7,10,0.35,0.1530210305,0.4361084729,0.4108704967,0.0619785598,0.1055276192,0.1073863491,-0.4613464491,0.3061523651,0.2589854322,0.1053051089,0.7199985718,0.1920516044,0.1812965791,0.5346743842,0.142256383,0.1367390651
