pi1,pi2,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
0.03,0.33,0.1862229442639349,0.0423354161459644,0.7714416395901023,0.0178711578648151,0.0104310338837063,0.0202213045007257,0.6867708072981734,0.0410833722681385
0.03,0.35,0.1800979755061247,0.0398825293676586,0.7800194951262163,0.017143173521854,0.0101349492944316,0.0192074105450224,0.7002544363908989,0.0394773091338857
0.03,0.37,0.174208447888028,0.0383429142714327,0.7874486378405358,0.0171356802787444,0.010050093552047,0.0196637972876314,0.7107628092976702,0.0397639843917256
0.03,0.39,0.1699840039990009,0.0377825543614103,0.7922334416395871,0.0170269123467523,0.0093374357065313,0.0186763618346068,0.7166683329167663,0.0373512332476695
0.03,0.41,0.164331917020745,0.0351317170707328,0.800536365908519,0.0167065197916595,0.0092634170949996,0.0183588463605443,0.7302729317670532,0.0368856805505437
0.03,0.43,0.1605043739065231,0.034739815046239,0.804755811047236,0.0164529189922082,0.0093597295295207,0.0185276174088381,0.735276180954758,0.0372470764678796
0.03,0.45,0.1556970757310677,0.0334216445888533,0.8108812796800768,0.0163610578492503,0.0090012455468479,0.0183343980528953,0.7440379905023701,0.0363368891465913
0.03,0.47,0.1526198450387402,0.0325348662834296,0.8148452886778266,0.0160073013364522,0.009254396065566,0.0181572659952674,0.7497755561109674,0.0366660581263994
0.03,0.49,0.1487848037990506,0.0305183704073986,0.8206968257935521,0.0161127256855488,0.0086834454534915,0.0177959071817622,0.7596600849787548,0.0351627980887453
0.05,0.01,0.4433181704573882,0.3214821294676317,0.2351997000749823,0.0260066336201351,0.0314356762781435,0.0332171094454352,-0.4077645588602812,0.0960884620017222
0.05,0.03,0.3909472631842041,0.2325308672831804,0.3765218695326164,0.0249020374293543,0.0286955764791829,0.0330592737987992,-0.0885398650337444,0.0904504267571651
0.05,0.05,0.3526208447888035,0.1928352911772071,0.4545438640339941,0.0244831055094355,0.0238654795514658,0.0310585276206955,0.0688732816795799,0.0787894867236271
0.05,0.07,0.3274596350912258,0.1650977255686081,0.5074426393401639,0.022356585892457,0.0196264285422914,0.0260822597071675,0.1772471882029476,0.0653351167917504
0.05,0.09,0.3062444388902761,0.1500764808797801,0.54367908022994,0.0222853592004106,0.019050909406448,0.0256397929935834,0.2435261184703797,0.0637416118064796
0.05,0.11,0.2881549612596832,0.1335071232191949,0.5783379155211172,0.0215919888154092,0.0189216545721313,0.0257785915936821,0.3113236690827273,0.0636219007379448
0.05,0.13,0.2718960259934989,0.1252091977005751,0.6028947763059223,0.0206034751123038,0.0184972018257129,0.0251656745430395,0.352476380904772,0.0621600781944654
0.05,0.15,0.2588462884278918,0.1126118470382406,0.6285418645338671,0.0204989418469781,0.0179771396393474,0.025478781552944,0.4033181704573857,0.0614330608316389
0.05,0.17,0.2469502624343924,0.1049877530617351,0.6480619845038755,0.0201787456388179,0.0162740929079014,0.0244755011585207,0.4380864783804051,0.0570236869743236
0.05,0.19,0.2374026493376675,0.0970462384403906,0.6655511122219432,0.0198630834207395,0.0162653039157628,0.0243536126557777,0.4714586353411619,0.0568842204873034
0.05,0.21,0.226571857035743,0.0908217945513625,0.6826063484129,0.0192725944744228,0.0150369040988755,0.0227397284435759,0.500962759310175,0.052813536641327
