interac_r,mcs
35.0,5.028331169930583
40.0,6.071055179090029
45.0,5.879104751421758
50.0,5.702663261583364
55.0,5.63643013899049
60.0,5.459383753501401
65.0,5.425149700598802
70.0,6.352272727272728
75.0,8.627906976744185
80.0,9.352941176470589
90.0,17.0
100.0,
110.0,
