binCenters,prob,dprob,poisson
0.0,0.0018288474810213941,0.00025098170246619177,0.0075892584439668336
1.0,0.019496204278812976,0.0008121766181860202,0.03704333283008959
2.0,0.07291235334713596,0.0015272557344972741,0.09040465002556647
3.0,0.14371980676328502,0.002060710912621452,0.14708901029924576
4.0,0.19475500345065563,0.0023262647448798477,0.17948615152561173
5.0,0.20069013112491374,0.0023527262895587844,0.17521514910697605
6.0,0.173015873015873,0.0022219913840629173,0.1425381485592361
7.0,0.11487232574189096,0.0018731022097625602,0.09939025036971834
8.0,0.054865424430641824,0.001337663899423992,0.0606407423020074
9.0,0.018461007591442376,0.0007907374145285981,0.03288764005867476
10.0,0.004416839199447895,0.0003895340039044917,0.016052527472669643
11.0,0.000966183574879227,0.00018250330306802815,0.007122975456628602
