binCenters,prob,dprob,poisson
0.0,0.012296747967479675,0.00015711795810134142,0.022911463911869438
1.0,0.059829268292682924,0.00033812529232437087,0.08651638867615169
2.0,0.1458069105691057,0.0005031349998236636,0.16334804136380937
3.0,0.22227642276422765,0.0005927571217461881,0.20560715355538836
4.0,0.23807520325203252,0.0006071983523718098,0.19409921251670645
5.0,0.18047357723577237,0.0005482842142396055,0.1465883016155134
6.0,0.09685365853658537,0.00042165235209321386,0.0922557846058203
7.0,0.034833333333333334,0.00026140634436531073,0.04976695976478608
8.0,0.007896341463414634,0.00012618534933986578,0.02349073836356906
9.0,0.001540650406504065,5.5915819474801814e-05,0.009855977477135675
10.0,0.00011178861788617886,1.5072731610204975e-05,0.0037217332837188037
11.0,6.0975609756097564e-06,3.5204177376384588e-06,0.0012776094200216148
