boxCenters,counts,prob
0.5,333,0.02287087912087912
1.5,1994,0.13695054945054946
2.5,4129,0.2835851648351648
3.5,4234,0.2907967032967033
4.5,2692,0.1848901098901099
5.5,968,0.06648351648351648
6.5,184,0.012637362637362638
7.5,26,0.0017857142857142857
