binCenters,prob,dprob,poisson
0.0,0.0085535230352303,0.0008474595524257,0.02064564913312975
1.0,0.0484417344173441,0.0019757835394722,0.08011029403639387
2.0,0.1291497289972899,0.003086244457655,0.15542401135499215
3.0,0.2162093495934959,0.0037883413313086,0.20102804178700961
4.0,0.255250677506775,0.0040123641179018,0.1950097988354761
5.0,0.200880758807588,0.0036871159203366,0.1513373808103632
6.0,0.1002710027100271,0.0027641102758394,0.09787116240358543
7.0,0.0327743902439024,0.0016384871191552,0.05425209203212686
8.0,0.0077913279132791,0.0008091314433603,0.026313964607977514
9.0,0.0006775067750677,0.0002394536604958,0.011344975444221559
