binCenters,prob,dprob,poisson
0.0,0.0010162601626016,0.0002073378020812,0.0007926930182271276
1.0,0.0053777100271002,0.0004759097630392,0.005659887226179635
2.0,0.0171070460704607,0.000843795982517,0.0202060083011181
3.0,0.0384485094850948,0.0012511888249807,0.04809080171260351
4.0,0.0685975609756097,0.0016448255842902,0.0858429770577067
5.0,0.107130758807588,0.0020125554340706,0.12258505074077322
6.0,0.1441819105691057,0.0022858248456533,0.14587773300523077
7.0,0.1706046747967479,0.0024477839631409,0.1487968407577309
8.0,0.1640413279132791,0.0024097160581205,0.13280256652570602
9.0,0.1291920731707317,0.0021826090444415,0.10535780246708704
10.0,0.0877371273712737,0.0018409777324412,0.0752262561483749
11.0,0.0427676151761517,0.0013166278531298,0.048829188653836286
12.0,0.0175728319783197,0.0008550034953578,0.029053670501672152
13.0,0.0053353658536585,0.0004740424900656,0.015957336356029674
14.0,0.0006775067750677,0.0001693193071165,0.008138326486745439
15.0,0.0002117208672086,9.4674426399205e-05,0.0038738838420139332
