binCenters,prob,dprob
0.0,0.00033875338753387534,0.00016934800287255603
1.0,0.002625338753387534,0.00047090539683581543
2.0,0.009993224932249323,0.000915342742559826
3.0,0.01947831978319783,0.0012717922492313976
4.0,0.03946476964769648,0.0017917328784407371
5.0,0.06106029810298103,0.0022034852078450817
6.0,0.09137872628726287,0.0026517087901781803
7.0,0.12220528455284553,0.0030140697759304
8.0,0.143970189701897,0.0032306697154863054
9.0,0.1467649051490515,0.003256546561713473
10.0,0.13008130081300814,0.0030956980705523153
11.0,0.10865514905149051,0.0028639132828481725
12.0,0.06707317073170732,0.0023020250102920342
13.0,0.03709349593495935,0.0017392129916941898
14.0,0.012533875338753388,0.0010238011574216143
15.0,0.005928184281842819,0.0007064502056305967
16.0,0.0012703252032520325,0.0003277881597468476
17.0,8.468834688346883e-05,8.468476074949236e-05
