pi1,pi2,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
0.01,0.01,0.3329924662,0.1837383511,0.4832691827,0.0948555408,0.1745464283,0.1935673691,0.1157924805,0.5265059978,0.3347091084,0.1691970784,0.6852882693,1.8952708489,0.4941143293,0.1281249643,1.9435998791,0.2269822511
0.01,0.03,0.308102403,0.1018145464,0.5900830507,0.0895543904,0.1079503637,0.1347645996,0.3864539579,0.3291871815,0.4037488485,0.1703661236,0.6640398503,1.233845126,0.548605072,0.1445733001,1.2589735012,0.1925140529
0.01,0.05,0.2906359125,0.075383297,0.6339807905,0.086408633,0.0863303878,0.1174405179,0.4832141964,0.2667611988,0.4574838433,0.1627936345,0.6396065974,1.0915905785,0.5476499266,0.1632704224,1.115637254,0.1951308616
0.01,0.07,0.274549077,0.0620711965,0.6633797265,0.0831995442,0.0736032665,0.107261226,0.5392373335,0.2305975465,0.4975765344,0.1550366478,0.6195691968,1.0601957288,0.5378573045,0.1809426575,1.0363173705,0.2035389452
0.01,0.09,0.262322705,0.0536074553,0.6840698397,0.0812510458,0.0659830001,0.1011847009,0.5768549291,0.2088877786,0.527431285,0.1483004447,0.5972541892,1.0611180221,0.5226561213,0.2002925489,1.0182971217,0.2143558959
0.01,0.11,0.2503759774,0.0461223266,0.703501696,0.0793013189,0.058682434,0.0954855934,0.6112570429,0.1882468211,0.555850466,0.1415383074,0.579689795,1.0491612811,0.5128825601,0.2188022714,0.9763353771,0.2248586423
0.01,0.13,0.2399047381,0.0422524369,0.717842825,0.0773917024,0.0540423871,0.0913025167,0.6333379512,0.1747940935,0.5771284322,0.1358001953,0.5640091216,1.0493171469,0.4989528881,0.2350722475,0.9866164729,0.2352655053
0.01,0.15,0.230947406,0.0374143607,0.7316382333,0.076091833,0.0496580058,0.0880703927,0.6568095119,0.1627413696,0.5976062413,0.131638011,0.5488058754,1.0387552001,0.4902320028,0.252269694,0.9844015164,0.2467638599
0.01,0.17,0.2221297533,0.0345150855,0.7433551612,0.0744778939,0.0466917453,0.0854197632,0.6743249902,0.1545199306,0.6151032242,0.127891558,0.5385849793,1.0490117471,0.4823510821,0.2667225252,0.9997821078,0.2575166828
0.01,0.19,0.2138506802,0.0310925126,0.7550568072,0.0726675035,0.0432256529,0.0822944262,0.6928717821,0.1447989226,0.6326274146,0.1232891653,0.5318704418,1.0282451609,0.4800127239,0.2788894675,1.003017675,0.2660072636
0.01,0.21,0.2065772128,0.0287468133,0.7646759739,0.0718345791,0.0405718129,0.0803764638,0.7071823473,0.1376123043,0.6470351698,0.1204868324,0.5260750934,1.0238435947,0.4766424551,0.2953562996,1.0099883878,0.2776559644
0.01,0.23,0.1998637483,0.0259875031,0.7741487485,0.070604507,0.0376657107,0.0781837788,0.7221737423,0.129924407,0.6612340486,0.1172339827,0.5255031952,1.0382077814,0.4787281856,0.3048793971,0.9671605844,0.2862132214
0.01,0.25,0.1937534188,0.0250537366,0.7811928446,0.0695609084,0.0370463313,0.077052777,0.7310853715,0.127939577,0.6717937658,0.1155619518,0.5260278757,1.0786258991,0.4792848632,0.317209696,1.0100857347,0.294920221
0.01,0.27,0.18875981,0.0231425001,0.7880976899,0.0688828311,0.0342028518,0.0754133118,0.7418126897,0.1207924849,0.6821548898,0.113084797,0.5270407841,1.0844289245,0.4789483421,0.3301421553,0.9482527376,0.3082538596
0.01,0.29,0.1834787018,0.0219088085,0.7946124897,0.0676562548,0.0341107644,0.0743330234,0.7507948727,0.1200113451,0.6919208769,0.1114906321,0.5329884168,1.1235224527,0.4890715092,0.341177354,1.0126218964,0.3135006081
0.01,0.31,0.1779585104,0.0208884922,0.8011529975,0.066328622,0.0319762678,0.0721526824,0.7593760131,0.1138154065,0.7017307816,0.1082235736,0.5438411899,1.126496852,0.4922341461,0.3531360146,0.9736064338,0.327423218
0.01,0.33,0.1731361445,0.020560717,0.8063031385,0.0658678241,0.0318291998,0.0720358468,0.7651817046,0.1138812404,0.7094555647,0.1080500414,0.5546538092,1.1727036336,0.5074833223,0.3754327459,1.0174526214,0.337601882
0.01,0.35,0.1688129396,0.018585068,0.8126019924,0.0651091941,0.0302242454,0.070500813,0.7754318563,0.1091499411,0.7189038455,0.105747333,0.5760403047,1.1754815582,0.5221974108,0.3827891023,0.9984940963,0.3506979118
0.01,0.37,0.1645448638,0.0176710108,0.8177841254,0.0642785583,0.0288037147,0.0693119235,0.7824421038,0.1054840556,0.726677902,0.103958879,0.5935978742,1.1818201323,0.5323686941,0.4027343554,0.9782251871,0.371746146
0.01,0.39,0.1606991109,0.0176518727,0.8216490163,0.0635485953,0.0290505551,0.0688068499,0.7863452708,0.1057823632,0.7324737387,0.1032092734,0.6087598802,1.2219274705,0.5551438174,0.4317434695,1.0496072515,0.3793168388
0.01,0.41,0.1568132253,0.0172512586,0.8259355161,0.0628593459,0.0283698621,0.0679215255,0.7914329989,0.1037617492,0.7389032742,0.1018822883,0.6433596145,1.2480292784,0.5750620288,0.4425755607,1.0577951645,0.3965331104
0.01,0.43,0.1531057236,0.0159634377,0.8309308387,0.0620176671,0.026548803,0.0664253312,0.7990039633,0.0988616482,0.7463964723,0.0996369295,0.6751119595,1.2416411453,0.5913205909,0.4622937371,0.9941284861,0.4216233192
0.01,0.45,0.1495910308,0.0156129539,0.8347960153,0.0612807731,0.0265486567,0.065746676,0.8035701075,0.0984184787,0.7521940229,0.098620014,0.7061767664,1.270212796,0.6209470366,0.4925807168,1.0519344041,0.4379579659
0.01,0.47,0.1463646945,0.014625915,0.8390093905,0.0607590731,0.025380105,0.064867922,0.8097575606,0.0954207018,0.7585140858,0.097301883,0.7365688575,1.2707714024,0.6549137499,0.5357416404,1.0269476279,0.4547008649
0.01,0.49,0.1431439283,0.014509087,0.8423469847,0.0601388978,0.0249690491,0.0642747826,0.8133288106,0.0943455852,0.763520477,0.0964121739,0.7868935224,1.2929785173,0.6869434431,0.5605399444,1.0445387361,0.4805910392
0.03,0.01,0.3237417788,0.3966656907,0.2795925304,0.0921693204,0.1843165941,0.1875490104,-0.513738851,0.5407117233,0.2713762988,0.155793377,0.6448165363,1.136676688,0.2681513394,0.1463026114,0.7798822641,0.2047738472
0.03,0.03,0.2991607812,0.2666304852,0.4342087335,0.0878314574,0.1522005113,0.1626482973,-0.0990522369,0.4504715862,0.2599583675,0.1514199699,0.6291243068,0.8035250024,0.357246395,0.1634207933,0.6637407677,0.2064738501
