pi1,pi2,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
0.01,0.01,0.3263777556,0.0497416646,0.6238805799,0.0551908693,0.037766224,0.0667221843,0.5243972507,0.1257823976,0.4363406398,0.0987432279,0.7000430645,0.5337479773,0.6610076374,0.0731294645,0.3768268519,0.0819149586
0.01,0.03,0.3045538615,0.0417940015,0.653652137,0.052886954,0.0331828868,0.0617898257,0.570064134,0.1116535345,0.4805435891,0.0924737596,0.6752737076,0.5500202307,0.6382673394,0.0839572734,0.3903601501,0.090731041
0.01,0.05,0.2870432892,0.0358552362,0.6771014746,0.0507896867,0.0293333518,0.0580900537,0.6053910022,0.1006322593,0.5156660085,0.0870815517,0.6516512883,0.5640420609,0.6167024263,0.0945905198,0.3912040007,0.0998919872
0.01,0.07,0.2724944264,0.0310024494,0.6965031242,0.0490285818,0.0263490849,0.0548359878,0.6344982254,0.0915368705,0.5447579105,0.0822413535,0.6290217075,0.5722068483,0.5966523291,0.105444216,0.4039388437,0.1086894719
0.01,0.09,0.2601347663,0.0278965259,0.7119687078,0.0478325396,0.0240873046,0.0529187596,0.6561756561,0.0854778984,0.5679530617,0.0793781395,0.6071413579,0.5893544899,0.5756916624,0.1173475754,0.3979664876,0.1194131795
0.01,0.11,0.2483666083,0.0248626343,0.7267707573,0.0466069342,0.0219101885,0.0507412969,0.6770454886,0.0791199292,0.5901562109,0.0761116029,0.588819827,0.5923864534,0.5593163286,0.129157561,0.4036977062,0.1290621881
0.01,0.13,0.2382197451,0.0229397651,0.7388404899,0.0455282845,0.0208564108,0.0493321881,0.6929609598,0.0759294686,0.6082612597,0.0739952014,0.570678768,0.6042596637,0.5415092481,0.1413721335,0.4282241388,0.1402399273
0.01,0.15,0.2294637841,0.0216029993,0.7489332167,0.0448281888,0.0196083816,0.0481120099,0.7057272182,0.0723332237,0.623399825,0.0721680149,0.5522384364,0.6199400293,0.5225191912,0.1548902211,0.4203963542,0.1518780865
0.01,0.17,0.2206575356,0.0196192452,0.7597232192,0.0438405411,0.0184902682,0.0469460104,0.7204847288,0.0694200093,0.6395848288,0.0704190156,0.5378817108,0.6362168387,0.5102295076,0.1674772576,0.4249790185,0.163283002
0.01,0.19,0.2127703074,0.0187409648,0.7684887278,0.0430734448,0.0179173847,0.0461087137,0.7310067983,0.0677760519,0.6527330917,0.0691630706,0.5239720994,0.6502316349,0.4952151955,0.1808237315,0.4439359834,0.1757430508
0.01,0.21,0.2058833292,0.0176149463,0.7765017246,0.0422778657,0.0171367494,0.0449334369,0.741271832,0.0651476361,0.6647525869,0.0674001554,0.5096278361,0.6529872746,0.4813006144,0.1934464353,0.4656009222,0.186069429
