pi1,pi2,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
0.01,0.01,0.3359074517,0.0539429428,0.6101496055,0.0957985102,0.0724508052,0.121737798,0.5022637198,0.240000584,0.4329296247,0.1523179313,0.6874159473,0.8916669812,0.6443736915,0.1269357384,0.8252524211,0.1484907505
0.01,0.03,0.3112179098,0.0414232156,0.6473588746,0.0906621936,0.0544470176,0.1046049123,0.5645124433,0.1848625508,0.476655479,0.1463630715,0.6646956536,0.8550534815,0.6290501559,0.1439201804,0.6634980386,0.1535027246
0.01,0.05,0.2920705538,0.0372464027,0.6706830435,0.086347833,0.0509889396,0.0979878833,0.5961902382,0.1717329644,0.5084464598,0.1418373883,0.6423005925,0.9064162531,0.6057581755,0.1607656903,0.7164843667,0.1681661695
0.01,0.07,0.2754054344,0.0315271182,0.6930674474,0.0844770141,0.0447228021,0.0943144968,0.630013211,0.1562488889,0.5408319349,0.1383717214,0.622873478,0.9024691786,0.5903823916,0.1812963701,0.7109853807,0.1852271322
0.01,0.09,0.2641696719,0.0284228943,0.7074074339,0.08162212,0.0406499935,0.089532003,0.6505616453,0.1436597701,0.5618074053,0.1324542413,0.5977796424,0.9143128503,0.566439408,0.1986343708,0.7161168639,0.1990989045
0.01,0.11,0.2526204163,0.0274674189,0.7199121648,0.0790344874,0.0386981825,0.0865954189,0.6649773271,0.1377994749,0.580179955,0.1289973476,0.578247073,0.9339422287,0.5441174876,0.2157993218,0.767432109,0.214667429
0.01,0.13,0.2411161495,0.0241475345,0.7347363159,0.0774001732,0.0375495637,0.0846064189,0.6864412468,0.1339887426,0.6023165637,0.126226214,0.5645761093,0.9456516483,0.5347007614,0.2335128469,0.8690695442,0.2296299298
0.01,0.15,0.2333409505,0.0226986111,0.7439604385,0.0766132815,0.0332798893,0.082737288,0.6985632163,0.1242678272,0.6160499161,0.1237510341,0.5455086238,0.9354377732,0.5159203522,0.2508592302,0.803514126,0.242930001
0.01,0.17,0.2232484736,0.0202213732,0.7565301532,0.0745269783,0.0316206629,0.0797951589,0.7160874067,0.1182897251,0.6348262934,0.119587837,0.5389164663,0.9821931252,0.5113285991,0.2639581004,0.8005684741,0.2551179825
0.01,0.19,0.2155625379,0.0189124148,0.7655250473,0.072641692,0.0305105946,0.0779220522,0.7277002178,0.1150968554,0.6483293462,0.1167209682,0.5288318339,1.014523716,0.5029825615,0.2764705927,0.8279862884,0.265037632
