n,stdn
0.08679928,0.2815407
0.3960217,0.4927526
0.920434,0.6968011
1.6003617,0.8804484
2.448463,1.0370889
3.5949366,1.242166
4.911392,1.3598877
6.432188,1.4418865
8.121158,1.6264548
9.949368,1.7160957
11.992766,1.8220929
14.350814,1.8476975
16.915009,1.876383
19.511755,1.9018183
22.35624,1.9229307
25.435804,2.0108047
28.835443,1.918792
32.846294,1.4332052
35.0,0.0
35.0,0.0
