binCenters,prob,dprob,poisson
1.0,0.0253727064220183,0.0018827794344841,0.048042076155940555
2.0,0.0941800458715596,0.0034970122575195,0.10932051561057919
3.0,0.1784690366972477,0.0045844809460157,0.16584039227851052
4.0,0.2059919724770642,0.004842106738898,0.188686237602428
5.0,0.1973910550458715,0.0047655441346538,0.17174342521221
6.0,0.1588302752293578,0.0043762812491501,0.13026830713965123
7.0,0.0924598623853211,0.0034682173475863,0.08469360695997805
8.0,0.036697247706422,0.0022511006392208,0.048180415599293695
9.0,0.0093176605504587,0.0011503166790943,0.024363402052216748
10.0,0.0008600917431192,0.0003509799488576,0.011087862505071351
11.0,0.0004300458715596,0.0002482337065467,0.004587383481169271
