N,lamb,valid_trajs,avgs_trajs,avg,std_trajs,std_pool
10,0.3,5,"[0.47540740740740733, 0.5193333333333334, 0.4953333333333333, 0.5106666666666666, 0.4606666666666666]",0.4922814814814814,0.021741032239827648,0.1887908585125019
10,0.6,5,"[0.4453333333333333, 0.5833333333333334, 0.614, 0.586, 0.6093333333333333]",0.5675999999999999,0.06233757561321528,0.2059212794573046
10,0.9,5,"[0.6226666666666666, 0.49399999999999994, 0.638148148148148, 0.6881481481481482, 0.7246666666666666]",0.6335259259259258,0.07860915244255358,0.2145370744736936
20,0.3,5,"[0.5866666666666667, 0.509, 0.5493333333333333, 0.5329999999999999, 0.5026666666666666]",0.5361333333333332,0.030311420656614286,0.1355521383904445
20,0.6,5,"[0.5396666666666667, 0.6706666666666666, 0.5506666666666667, 0.5826666666666667, 0.5726666666666667]",0.5832666666666666,0.046292980029373744,0.15032186209005735
20,0.9,5,"[0.7796666666666667, 0.8043333333333333, 0.7929999999999999, 0.633, 0.8039999999999999]",0.7627999999999999,0.06552407530400138,0.13768137128892927
35,0.3,3,"[0.547047619047619, 0.5295238095238094, 0.5239999999999999]",0.5335238095238095,0.009825076282690935,0.07439527939575119
35,0.6,3,"[0.624, 0.6192156862745097, 0.589204481792717]",0.6108067226890755,0.01539945936852349,0.11219674699460468
35,0.9,4,"[0.7977142857142856, 0.7767619047619048, 0.7285714285714285, 0.7937142857142857]",0.7741904761904761,0.027487535827177008,0.08037660787175907
