interac_r,mcs
4.0,2.1830633881499995
4.3,2.9494232549605077
4.6,4.191861936332811
4.9,6.239103191361521
5.2,9.75186713137492
5.5,16.542931218545068
5.8,29.575029547889674
6.1,45.568396712016344
6.3,50.670281243810656
6.4,50.56389267849022
6.5,50.47576939748591
6.6,42.98386805513754
6.7,32.932125901178125
6.8,24.91714422158548
6.9,18.631027918781726
7.0,19.41838538597525
7.3,9.561029738126942
7.6,5.634104541559554
7.9,3.4991624790619764
8.2,2.733788395904437
8.5,2.5402298850574714
8.8,2.44
9.1,2.942857142857143
9.4,3.511627906976744
9.7,1.1428571428571428
10.0,1.2857142857142858
