interac_r,mcs
4.0,2.1419188764597883
4.3,2.871818007295066
4.6,3.9736764734706678
4.9,5.701846216271049
5.2,8.457820738137082
5.5,12.675141916710395
5.8,18.651625870361066
6.1,24.964227775838346
6.2,27.17216215556586
6.3,28.278124353250746
6.4,28.893650970351406
6.5,28.51353699145794
6.7,25.63434149463914
7.0,18.071180237877403
7.2,14.398420221169037
7.3,12.958196721311475
7.4,12.373727087576375
7.5,13.770696843359142
7.6,13.460377358490566
7.7,14.035616438356165
7.9,4.040673211781206
8.2,2.8972972972972975
8.5,2.6129032258064515
8.8,2.306451612903226
9.1,2.6
9.4,2.7966101694915255
9.7,3.0
10.0,2.3333333333333335
