interac_r,mcs
4.0,2.2430722197792994
4.3,3.071616642551903
4.6,4.396978414524948
4.9,6.693148761374315
5.2,11.063233140233905
5.5,20.064183454504693
5.8,39.68448113437602
6.1,72.39790624954969
6.2,82.50447718405505
6.3,91.7737765144249
6.4,93.25689486766143
6.5,79.70197268588771
6.7,45.83778321960961
7.0,11.070149887735907
7.3,6.44592077486651
7.6,4.778165503489531
7.9,4.391659111514053
8.2,3.1547518923465097
8.5,2.51496062992126
8.8,2.559681697612732
9.1,2.3189655172413794
9.4,1.6984126984126984
9.7,1.523076923076923
10.0,1.5789473684210527
