coms,counts,probs
1,2343,0.4489365778884844
2,826,0.15826786740754933
3,402,0.07702625023950949
4,264,0.05058440314236444
5,197,0.037746694769112854
6,110,0.021076834642651848
7,96,0.01839432841540525
8,84,0.016095037363479593
9,51,0.009771986970684038
10,44,0.00843073385706074
11,43,0.008239126269400269
12,36,0.006897873155776969
13,36,0.006897873155776969
14,25,0.004790189691511784
15,26,0.004981797279172255
16,22,0.00421536692853037
17,19,0.003640544165548956
18,15,0.0028741138149070704
19,16,0.003065721402567542
20,15,0.0028741138149070704
21,16,0.003065721402567542
22,16,0.003065721402567542
23,10,0.0019160758766047135
24,6,0.0011496455259628281
25,8,0.001532860701283771
26,10,0.0019160758766047135
27,9,0.0017244682889442423
28,7,0.0013412531136232995
29,8,0.001532860701283771
30,8,0.001532860701283771
31,3,0.0005748227629814141
32,12,0.0022992910519256562
33,4,0.0007664303506418854
34,7,0.0013412531136232995
35,11,0.002107683464265185
36,5,0.0009580379383023567
37,5,0.0009580379383023567
38,2,0.0003832151753209427
39,3,0.0005748227629814141
40,4,0.0007664303506418854
41,4,0.0007664303506418854
42,1,0.00019160758766047136
43,8,0.001532860701283771
44,3,0.0005748227629814141
45,2,0.0003832151753209427
46,3,0.0005748227629814141
47,1,0.00019160758766047136
48,3,0.0005748227629814141
50,2,0.0003832151753209427
51,2,0.0003832151753209427
52,1,0.00019160758766047136
53,2,0.0003832151753209427
54,3,0.0005748227629814141
55,2,0.0003832151753209427
56,2,0.0003832151753209427
57,2,0.0003832151753209427
58,2,0.0003832151753209427
59,1,0.00019160758766047136
60,3,0.0005748227629814141
61,3,0.0005748227629814141
62,1,0.00019160758766047136
63,3,0.0005748227629814141
66,1,0.00019160758766047136
67,3,0.0005748227629814141
68,2,0.0003832151753209427
69,1,0.00019160758766047136
70,2,0.0003832151753209427
71,4,0.0007664303506418854
73,3,0.0005748227629814141
74,3,0.0005748227629814141
75,3,0.0005748227629814141
77,1,0.00019160758766047136
78,2,0.0003832151753209427
79,1,0.00019160758766047136
82,2,0.0003832151753209427
83,2,0.0003832151753209427
84,2,0.0003832151753209427
86,2,0.0003832151753209427
89,1,0.00019160758766047136
90,1,0.00019160758766047136
91,2,0.0003832151753209427
92,2,0.0003832151753209427
94,3,0.0005748227629814141
95,2,0.0003832151753209427
97,1,0.00019160758766047136
98,1,0.00019160758766047136
99,1,0.00019160758766047136
100,1,0.00019160758766047136
101,1,0.00019160758766047136
103,1,0.00019160758766047136
104,2,0.0003832151753209427
105,3,0.0005748227629814141
108,1,0.00019160758766047136
110,1,0.00019160758766047136
112,1,0.00019160758766047136
113,1,0.00019160758766047136
117,1,0.00019160758766047136
122,1,0.00019160758766047136
124,1,0.00019160758766047136
125,2,0.0003832151753209427
127,1,0.00019160758766047136
128,1,0.00019160758766047136
132,2,0.0003832151753209427
138,1,0.00019160758766047136
139,1,0.00019160758766047136
140,1,0.00019160758766047136
141,2,0.0003832151753209427
142,1,0.00019160758766047136
148,1,0.00019160758766047136
154,1,0.00019160758766047136
156,2,0.0003832151753209427
157,1,0.00019160758766047136
161,1,0.00019160758766047136
163,1,0.00019160758766047136
165,1,0.00019160758766047136
166,2,0.0003832151753209427
167,1,0.00019160758766047136
170,1,0.00019160758766047136
172,1,0.00019160758766047136
173,1,0.00019160758766047136
182,2,0.0003832151753209427
187,1,0.00019160758766047136
191,1,0.00019160758766047136
198,1,0.00019160758766047136
200,1,0.00019160758766047136
205,1,0.00019160758766047136
211,1,0.00019160758766047136
213,1,0.00019160758766047136
223,1,0.00019160758766047136
229,1,0.00019160758766047136
230,1,0.00019160758766047136
231,1,0.00019160758766047136
232,1,0.00019160758766047136
233,1,0.00019160758766047136
235,1,0.00019160758766047136
241,1,0.00019160758766047136
242,3,0.0005748227629814141
244,1,0.00019160758766047136
247,1,0.00019160758766047136
249,1,0.00019160758766047136
251,1,0.00019160758766047136
252,1,0.00019160758766047136
253,1,0.00019160758766047136
254,2,0.0003832151753209427
263,1,0.00019160758766047136
265,2,0.0003832151753209427
266,1,0.00019160758766047136
267,1,0.00019160758766047136
268,1,0.00019160758766047136
270,1,0.00019160758766047136
272,1,0.00019160758766047136
275,1,0.00019160758766047136
276,1,0.00019160758766047136
277,2,0.0003832151753209427
279,1,0.00019160758766047136
281,2,0.0003832151753209427
284,1,0.00019160758766047136
285,1,0.00019160758766047136
287,3,0.0005748227629814141
288,1,0.00019160758766047136
289,2,0.0003832151753209427
290,1,0.00019160758766047136
294,1,0.00019160758766047136
296,2,0.0003832151753209427
298,1,0.00019160758766047136
302,2,0.0003832151753209427
303,1,0.00019160758766047136
307,2,0.0003832151753209427
308,3,0.0005748227629814141
312,1,0.00019160758766047136
315,1,0.00019160758766047136
317,1,0.00019160758766047136
320,1,0.00019160758766047136
324,1,0.00019160758766047136
325,1,0.00019160758766047136
326,2,0.0003832151753209427
327,2,0.0003832151753209427
329,1,0.00019160758766047136
334,3,0.0005748227629814141
336,3,0.0005748227629814141
340,2,0.0003832151753209427
342,3,0.0005748227629814141
343,1,0.00019160758766047136
344,1,0.00019160758766047136
345,1,0.00019160758766047136
346,1,0.00019160758766047136
348,2,0.0003832151753209427
349,1,0.00019160758766047136
350,1,0.00019160758766047136
351,1,0.00019160758766047136
352,1,0.00019160758766047136
353,1,0.00019160758766047136
355,1,0.00019160758766047136
356,1,0.00019160758766047136
358,3,0.0005748227629814141
361,1,0.00019160758766047136
363,2,0.0003832151753209427
365,2,0.0003832151753209427
367,1,0.00019160758766047136
368,2,0.0003832151753209427
371,1,0.00019160758766047136
372,1,0.00019160758766047136
373,1,0.00019160758766047136
380,2,0.0003832151753209427
383,2,0.0003832151753209427
384,1,0.00019160758766047136
386,3,0.0005748227629814141
387,2,0.0003832151753209427
391,2,0.0003832151753209427
392,2,0.0003832151753209427
393,1,0.00019160758766047136
395,1,0.00019160758766047136
396,2,0.0003832151753209427
397,1,0.00019160758766047136
398,2,0.0003832151753209427
399,1,0.00019160758766047136
402,1,0.00019160758766047136
405,2,0.0003832151753209427
406,1,0.00019160758766047136
407,1,0.00019160758766047136
408,1,0.00019160758766047136
409,2,0.0003832151753209427
410,4,0.0007664303506418854
411,3,0.0005748227629814141
412,1,0.00019160758766047136
414,2,0.0003832151753209427
415,3,0.0005748227629814141
416,3,0.0005748227629814141
417,4,0.0007664303506418854
418,3,0.0005748227629814141
419,1,0.00019160758766047136
421,4,0.0007664303506418854
422,1,0.00019160758766047136
423,1,0.00019160758766047136
424,2,0.0003832151753209427
425,3,0.0005748227629814141
427,6,0.0011496455259628281
428,2,0.0003832151753209427
429,5,0.0009580379383023567
430,4,0.0007664303506418854
431,4,0.0007664303506418854
432,1,0.00019160758766047136
433,2,0.0003832151753209427
434,1,0.00019160758766047136
435,2,0.0003832151753209427
436,1,0.00019160758766047136
437,4,0.0007664303506418854
438,4,0.0007664303506418854
439,1,0.00019160758766047136
440,2,0.0003832151753209427
441,2,0.0003832151753209427
442,4,0.0007664303506418854
443,3,0.0005748227629814141
446,1,0.00019160758766047136
447,3,0.0005748227629814141
448,1,0.00019160758766047136
449,1,0.00019160758766047136
450,1,0.00019160758766047136
451,1,0.00019160758766047136
452,4,0.0007664303506418854
454,2,0.0003832151753209427
455,2,0.0003832151753209427
457,1,0.00019160758766047136
459,1,0.00019160758766047136
460,1,0.00019160758766047136
461,1,0.00019160758766047136
463,1,0.00019160758766047136
464,1,0.00019160758766047136
466,1,0.00019160758766047136
467,1,0.00019160758766047136
469,1,0.00019160758766047136
476,1,0.00019160758766047136
