interac_r,mcs
3.5,2.394804
3.8,6.088563
4.0,9.446905
4.2,4.1278563
4.5,2.0988863
5.0,1.3769507
5.5,1.1680217
6.0,1.1558442
6.5,1.1111112
7.0,1.0
