interac_r,mcs
4.0,1.80144578313253
4.3,2.2643269657929808
4.6,2.834210346477141
4.9,3.4891725552769546
5.2,4.33421962244084
5.5,4.937591859807801
5.8,5.620932009167303
6.1,5.978002639683238
6.2,6.480916030534351
6.3,6.576008590274582
6.4,6.223827987310539
6.5,6.690471204188482
6.6,6.640060240963855
6.7,6.578947368421052
6.8,6.584348468069399
6.9,6.415896487985212
7.0,6.108695652173913
7.3,5.381909547738694
7.6,4.588850174216028
7.9,3.0657894736842106
8.2,2.505376344086021
8.5,2.142857142857143
8.8,1.48
9.1,1.5333333333333334
9.4,1.8
9.7,1.3333333333333333
10.0,1.4
