radius,N,varN,stdN
1.0,0.08,0.0736,0.2712932
2.0,0.34,0.2844,0.53329164
3.0,0.755,0.704975,0.8396279
4.0,1.4,1.4300002,1.1958262
5.0,2.185,2.4207754,1.5558841
6.0,3.195,3.5769749,1.8912892
7.0,4.205,3.8329754,1.9577986
8.0,5.5,4.6399994,2.1540658
9.0,6.95,5.9575005,2.4407992
10.0,8.625,6.404373,2.5306864
11.0,10.49,7.39991,2.7202775
12.0,12.58,9.103607,3.0172184
13.0,14.69,8.713913,2.9519339
14.0,17.11,8.6979065,2.9492214
15.0,19.7,8.079987,2.8425317
16.0,22.405,8.340942,2.888069
17.0,25.25,6.637512,2.5763369
18.0,28.465,5.1187744,2.262471
19.0,31.64,2.6504517,1.6280208
20.0,35.0,0.0,0.0
