"bot_type","pi1","pi2","N","lambda","parameter","stat.value","sv.sd"
"kilombo",0.3,0.3,10,0.9,"f0",0.2526171875,0.148368470322941
"kilombo",0.3,0.3,10,0.9,"f1",0.176506076388889,0.19703879467623
"kilombo",0.3,0.3,10,0.9,"f2",0.570876736111111,0.236855337646042
"kilombo",0.3,0.3,10,0.9,"Q",0.217864583333333,0.597679401173482
"kilombo",0.3,0.3,11,0.3,"f0",0.169385258838384,0.112656122724363
"kilombo",0.3,0.3,11,0.3,"f1",0.320628156565657,0.154736370487035
"kilombo",0.3,0.3,11,0.3,"f2",0.50998658459596,0.164863320040875
"kilombo",0.3,0.3,11,0.3,"Q",-0.131269728535354,0.447008954070422
"kilombo",0.3,0.3,11,0.6,"f0",0.181376262626263,0.116243900518212
"kilombo",0.3,0.3,11,0.6,"f1",0.278109217171717,0.176015148546742
"kilombo",0.3,0.3,11,0.6,"f2",0.54051452020202,0.192711902147885
"kilombo",0.3,0.3,11,0.6,"Q",-0.0157039141414141,0.519881080614194
"kilombo",0.3,0.3,11,0.9,"f0",0.228847064393939,0.135022466333005
"kilombo",0.3,0.3,11,0.9,"f1",0.16322601010101,0.185971458687367
"kilombo",0.3,0.3,11,0.9,"f2",0.60792692550505,0.222441234628485
"kilombo",0.3,0.3,11,0.9,"Q",0.28147490530303,0.565234886076294
"kilombo",0.3,0.3,12,0.3,"f0",0.16591796875,0.107541966940158
"kilombo",0.3,0.3,12,0.3,"f1",0.320446325231481,0.15104694322219
"kilombo",0.3,0.3,12,0.3,"f2",0.513635706018518,0.161283569585957
"kilombo",0.3,0.3,12,0.3,"Q",-0.127256944444444,0.43794713663758
"kilombo",0.3,0.3,12,0.6,"f0",0.174616608796296,0.110752566374837
"kilombo",0.3,0.3,12,0.6,"f1",0.271936487268518,0.169621347860579
"kilombo",0.3,0.3,12,0.6,"f2",0.553446903935185,0.186226202328334
"kilombo",0.3,0.3,12,0.6,"Q",0.00957392939814816,0.50213219701978
"kilombo",0.3,0.3,12,0.9,"f0",0.208228443287037,0.123946875133595
"kilombo",0.3,0.3,12,0.9,"f1",0.178927951388889,0.191824573308884
"kilombo",0.3,0.3,12,0.9,"f2",0.612843605324074,0.225027727902088
"kilombo",0.3,0.3,12,0.9,"Q",0.254987702546296,0.584779258194385
"kilombo",0.3,0.3,13,0.3,"f0",0.163404780982906,0.102740510044625
"kilombo",0.3,0.3,13,0.3,"f1",0.323420806623932,0.147456288799667
"kilombo",0.3,0.3,13,0.3,"f2",0.513174412393162,0.157229716852914
"kilombo",0.3,0.3,13,0.3,"Q",-0.133667200854701,0.428383554091317
"kilombo",0.3,0.3,13,0.6,"f0",0.166786858974359,0.102898759347276
"kilombo",0.3,0.3,13,0.6,"f1",0.265294471153846,0.160150608430497
"kilombo",0.3,0.3,13,0.6,"f2",0.567918669871795,0.175810499958083
"kilombo",0.3,0.3,13,0.6,"Q",0.0373297275641025,0.474806266407749
"kilombo",0.3,0.3,13,0.9,"f0",0.18844484508547,0.111612583372194
"kilombo",0.3,0.3,13,0.9,"f1",0.162449919871795,0.176226691243539
"kilombo",0.3,0.3,13,0.9,"f2",0.649105235042735,0.206019981434828
"kilombo",0.3,0.3,13,0.9,"Q",0.324205395299145,0.5373574610602
"kilombo",0.3,0.3,14,0.3,"f0",0.162268518518519,0.0976222427954113
"kilombo",0.3,0.3,14,0.3,"f1",0.32067791005291,0.14045052964022
"kilombo",0.3,0.3,14,0.3,"f2",0.517053571428571,0.150603638494111
"kilombo",0.3,0.3,14,0.3,"Q",-0.124302248677249,0.40907489639856
"kilombo",0.3,0.3,14,0.6,"f0",0.163856929796527,0.0991494113973672
"kilombo",0.3,0.3,14,0.6,"f1",0.264105278576755,0.159433246869974
"kilombo",0.3,0.3,14,0.6,"f2",0.572037791626718,0.173705511539956
