"bot_type","pi1","pi2","N","lambda","parameter","stat.value","sv.sd"
"kilombo",0.3,0.3,33,0.6,"Q",0.129546957671958,0.336062553984664
"kilombo",0.3,0.3,33,0.9,"f0",0.110063464380011,0.0554886661341836
"kilombo",0.3,0.3,33,0.9,"f1",0.0916478938061672,0.0965520890383657
"kilombo",0.3,0.3,33,0.9,"f2",0.798288641813822,0.111575774846581
"kilombo",0.3,0.3,33,0.9,"Q",0.614992854201487,0.295166583212223
"kilombo",0.3,0.3,34,0.3,"f0",0.14796626984127,0.0612433902754156
"kilombo",0.3,0.3,34,0.3,"f1",0.321593429038282,0.0968335555339079
"kilombo",0.3,0.3,34,0.3,"f2",0.530440301120448,0.103027136739064
"kilombo",0.3,0.3,34,0.3,"Q",-0.112746556956116,0.283906132151326
"kilombo",0.3,0.3,34,0.6,"f0",0.130439765834391,0.0569863839768085
"kilombo",0.3,0.3,34,0.6,"f1",0.249133046503973,0.109520546007345
"kilombo",0.3,0.3,34,0.6,"f2",0.620427187661635,0.118485564539326
"kilombo",0.3,0.3,34,0.6,"Q",0.122161094653689,0.328009285053923
"kilombo",0.3,0.3,34,0.9,"f0",0.109827264239029,0.0530406835464511
"kilombo",0.3,0.3,34,0.9,"f1",0.0888859710550887,0.0853999401938504
"kilombo",0.3,0.3,34,0.9,"f2",0.801286764705882,0.0997839590535226
"kilombo",0.3,0.3,34,0.9,"Q",0.623514822595705,0.260773437952785
"kilombo",0.3,0.3,35,0.3,"f0",0.147784863945578,0.0603680890318405
"kilombo",0.3,0.3,35,0.3,"f1",0.322208049886621,0.0933292258422944
"kilombo",0.3,0.3,35,0.3,"f2",0.5300070861678,0.0989459127276863
"kilombo",0.3,0.3,35,0.3,"Q",-0.114409013605442,0.272661575891735
"kilombo",0.3,0.3,35,0.6,"f0",0.130181405895692,0.0559685982412124
"kilombo",0.3,0.3,35,0.6,"f1",0.24375141723356,0.107168991391559
"kilombo",0.3,0.3,35,0.6,"f2",0.626067176870748,0.116898434315748
"kilombo",0.3,0.3,35,0.6,"Q",0.138564342403628,0.32193465199253
"kilombo",0.3,0.3,35,0.9,"f0",0.109486961451247,0.0531791244704748
"kilombo",0.3,0.3,35,0.9,"f1",0.0900977891156463,0.0900528041263437
"kilombo",0.3,0.3,35,0.9,"f2",0.800415249433107,0.10431725212249
"kilombo",0.3,0.3,35,0.9,"Q",0.620219671201814,0.275040495015506
