interac_r,mcs
4.0,5.676075311928665
4.3,7.424107046041075
4.6,9.594516977047297
4.9,12.808850882366285
5.2,17.08642120627148
5.5,22.580544747081714
5.8,30.69560470324748
6.1,41.08258174543308
6.2,44.49613063542776
6.3,48.1744684135376
6.4,51.88264399083256
6.5,55.37947011999525
6.7,57.46485729740049
7.0,58.7891793051522
7.3,49.53238242097147
7.6,45.301598332175125
7.9,27.5664194200944
8.2,8.055555555555555
8.5,6.7234432234432235
8.8,5.36676217765043
9.1,5.883620689655173
9.4,4.338235294117647
9.7,2.4625
10.0,2.061224489795918
