interac_r,avg,std
3.5,1.1321222770614228,0.35957152541327836
3.8,1.2339357429718876,0.4736256871585985
4.0,1.312901257879906,0.5438060015835817
4.5,1.5482137942423075,0.7049088914559496
5.0,1.8412870159453303,0.8570135935622449
5.5,2.1978392030307283,0.9947894081500437
6.5,3.107475862981087,1.2436540370828695
7.0,3.6568844319913483,1.3716067051015295
7.5,4.256394044462574,1.5060952403745762
8.0,4.901721277267129,1.6347815302612303
8.5,5.591002003396622,1.7646701038777677
9.0,6.326745959133882,1.8979872791774646
