interac_r,avg,std
3.5,1.123757904245709,0.3427467126756857
3.8,1.2348190248279989,0.47196835981691426
4.0,1.321419582179713,0.5487892982032613
4.5,1.5546005079117016,0.7143888763833529
5.0,1.829137294394092,0.8603439055007736
5.5,2.16969132930045,0.9916948190848208
6.5,2.980271810609382,1.2681150737183782
7.0,3.474537037037037,1.4133702722238202
7.5,4.002300503235083,1.5702098744705184
8.0,4.551032110091743,1.736920014446152
8.5,5.150786838340486,1.8964265270734477
9.0,5.7633609602743645,2.053726972366107
