interac_r,mcs
4.0,5.150038342010736
4.3,6.47374426855329
4.6,8.111187644621427
4.9,10.234662232010427
5.2,13.162540378815873
5.5,16.577545046510114
5.8,20.91409547589323
6.1,25.764635815747834
6.2,27.34075864847752
6.3,28.830657603936448
6.4,29.799213963703618
6.5,30.454484811165845
6.7,31.028387877972488
7.0,28.665046446316698
7.2,26.096356519120746
7.3,26.38076728071658
7.4,23.483854538046245
7.5,22.03512243383626
7.6,21.135500575373992
7.7,21.750283584508182
7.9,20.689446560609454
8.2,17.315173674588664
8.5,7.74888178913738
8.8,4.895744680851064
9.1,4.879815100154083
9.4,5.233766233766234
9.7,5.798679867986799
10.0,5.692682926829268
