interac_r,mcs
3.5,1.7311609
3.8,2.7032788
4.0,3.091319
4.2,3.360851
4.3,3.140625
4.4,2.9671152
4.5,2.407098
5.0,1.5098039
5.5,1.0
6.0,1.0
7.0,
