binCenters,prob,dprob
1.0,0.02359694397560399,0.00043343209102657206
2.0,0.08566326655414495,0.0007991513120458992
3.0,0.1770178485523022,0.0010898892139202519
4.0,0.24999388468970915,0.0012364475892893633
5.0,0.23419192289816784,0.0012092735251291848
6.0,0.14701205939189355,0.0010111755120437997
7.0,0.061944016372724085,0.0006883236265548164
8.0,0.01691902513800217,0.0003682654117229483
9.0,0.0031391926159666673,0.00015973675594105604
10.0,0.00048107107621307374,6.261505293481125e-05
11.0,3.261498821783551e-05,1.6307228172385244e-05
12.0,8.153747054458877e-06,8.153713812595601e-06
