coms,prob,stdprob
1.4142135623730951,0.4715234453612397,0.0070815774620601535
2.449489742783178,0.16623062990541357,0.0052813383943650614
3.4641016151377544,0.08090158985711411,0.003868343551249051
4.47213595499958,0.05312940229422419,0.0031818395970236936
5.477225575051661,0.03964580398470517,0.0027680876357167867
6.48074069840786,0.022137250955926745,0.00208721072163463
7.483314773547883,0.01931978265244516,0.0019526766233333222
8.48528137423857,0.016904809820889516,0.001828809343692885
9.486832980505138,0.010263634534111492,0.0014298018515611346
10.406051233438614,0.010686706276127552,0.0016039327449558721
11.268286469114377,0.009644677994840554,0.0014644218834543908
12.20196567378117,0.007456754725894213,0.0012382823055323445
13.213008624889502,0.006886173148466279,0.0011435304869244157
14.307825606864208,0.004416147057057408,0.0008810047607288382
15.493358054032997,0.007830199658102947,0.0011247199574688641
16.7771225611883,0.0028622876720552355,0.0006553971985264679
18.167258540821297,0.0020867913055126557,0.0005379933305786278
19.672579829187786,0.003982699447359331,0.0007130791388133233
21.30263056840223,0.0037965917416634735,0.0006689843756617484
23.067745718867474,0.001753040636856703,0.0004375539993851343
24.979116585705285,0.0008094500761687028,0.00028595335076313423
27.048861774642898,0.0024294138870609573,0.0004751991362270346
29.290104027234957,0.0013806265627547992,0.00034460049669692494
31.717053422576853,0.0015140420025671981,0.00034668034824795763
34.345097473030705,0.0013246004800920189,0.00031164532783133943
37.19089868519521,0.0008154958015699251,0.00023512893001843233
40.27250020468208,0.000690337156005302,0.00020791396914026587
43.60944021451537,0.0008113807128930516,0.00021654491664446142
47.22287581247038,0.00037464743602905084,0.00014150364478376294
51.135717152767896,0.00034597988118961347,0.00013067596225691861
55.37277270261803,0.0004107933410334036,0.00013680705063092707
59.96090653457934,0.00042151105177307255,0.00013315930563098983
64.92920865200907,0.0002724802860278336,0.00010291530088483219
70.30917942751388,0.0004313664585668669,0.00012437431762788906
76.13492932379029,0.0003319656956818091,0.00010487108545399733
82.44339516313862,0.00018393845664879525,7.504721015997262e-05
89.27457431685772,0.0002264849536124648,8.001003803651433e-05
96.67177829934406,0.0002352989331628564,7.83619154624915e-05
104.68190737474997,0.0001931503574017116,6.823396961248184e-05
113.35574791728112,8.918536639924376e-05,4.457473123303301e-05
122.7482944104778,0.00010295126665523839,4.60180360708139e-05
132.91909812704208,7.605885124047672e-05,3.801411586695277e-05
143.93264469993437,0.00010535838411646652,4.298640392531189e-05
155.85876297864237,8.10804099032936e-05,3.624201380698886e-05
168.7730677628805,8.985148559662436e-05,3.665956236455019e-05
182.75743922077126,1.3829360318474557e-05,1.3827968684728293e-05
197.9005420311492,2.5542309808003637e-05,1.8057505342960454e-05
214.29838754148727,1.1793922048883634e-05,1.1792735239114705e-05
