binCenters,prob,dprob,poisson
1.0,0.0090025721634752,0.0011291005012714,0.018100057648980327
2.0,0.0362960845955987,0.002235706203644,0.0521585828164243
3.0,0.1004572735067162,0.0035934749562989,0.1002029133158057
4.0,0.145898828236639,0.0042198167506359,0.14437638967751773
5.0,0.1730494426979137,0.0045220765051924,0.16641864957055288
6.0,0.1670477279222635,0.0044590606147388,0.1598551246660841
7.0,0.1530437267790797,0.0043037921771197,0.1316146835429001
8.0,0.1226064589882823,0.0039207298782641,0.09481786611625191
9.0,0.0591597599314089,0.0028202277036961,0.0607188431012142
10.0,0.0248642469276936,0.0018613722113933,0.03499446098825623
11.0,0.0070020005715918,0.0009967776432748,0.018335064571414567
12.0,0.0014289797084881,0.0004515600796116,0.008805966279583362
13.0,0.0001428979708488,0.000142887760569,0.0039039970979417877
